title:شويكي اختر, start timestamp:1703500573.201712, stop timestamp:1703500583.984617, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1382      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703500573.201712,1703500573.202260,2.000000,0.000000,4284.230957,4287.436035,4294.102539,4308.333496,4254.102539,4243.205078,4243.333496,4284.358887,4258.974121,4240.256348,4505.897461,4509.615234,4394.487305,4428.846191,5412.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500573.209520,1703500573.209968,3.000000,0.000000,4295.128418,4294.230957,4305.256348,4309.230957,4248.974121,4236.922852,4243.461426,4288.589844,4265.512695,4262.051270,4513.589844,4521.666504,4396.922852,4429.871582,5415.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500573.217328,1703500573.217876,4.000000,0.000000,4295.897461,4292.820313,4311.282227,4311.538574,4239.615234,4231.410156,4239.102539,4284.871582,4266.922852,4265.384766,4525.128418,4530.512695,4400.128418,4443.333496,5352.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,1.000000,0.000000,0.614729,0.287354,-0.640442,0.359680,0.990844,-0.100110,0.013185,-12.025780,-37.504990,61.750397
1703500573.225136,1703500573.225684,5.000000,0.000000,4292.563965,4290.897461,4311.153809,4311.794922,4235.128418,4231.922852,4233.717773,4277.563965,4265.641113,4260.128418,4523.589844,4528.589844,4400.384766,4449.871582,5307.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500573.232944,1703500573.233592,6.000000,0.000000,4295.641113,4294.230957,4308.205078,4311.666504,4252.948730,4241.794922,4235.512695,4280.128418,4266.922852,4260.384766,4511.922852,4525.641113,4399.102539,4440.128418,4577.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500573.240752,1703500573.241400,7.000000,0.000000,4293.205078,4294.871582,4298.589844,4311.153809,4267.820313,4254.102539,4244.102539,4276.794922,4265.128418,4253.974121,4496.538574,4512.051270,4390.512695,4422.179688,5212.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500573.248561,1703500573.249308,8.000000,0.000000,4282.307617,4292.820313,4291.794922,4310.256348,4259.615234,4260.384766,4248.717773,4264.102539,4260.000000,4246.922852,4487.820313,4490.897461,4383.846191,4411.282227,5427.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.000000,100.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,0.000000,0.615015,0.287354,-0.640442,0.359192,0.976193,-0.104505,0.012209,-11.989868,-37.471157,61.775356
1703500573.256369,1703500573.257116,9.000000,0.000000,4282.948730,4294.358887,4293.205078,4310.897461,4258.974121,4262.692383,4247.436035,4264.743652,4255.897461,4239.358887,4495.000000,4492.948730,4390.384766,4414.358887,5445.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500573.264176,1703500573.265024,10.000000,0.000000,4290.256348,4296.282227,4297.179688,4310.384766,4267.436035,4264.743652,4249.358887,4275.769043,4257.436035,4224.487305,4502.820313,4507.692383,4395.128418,4428.974121,6083.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500573.271985,1703500573.272832,11.000000,0.000000,4287.692383,4293.974121,4294.358887,4308.717773,4256.153809,4259.230957,4251.153809,4282.179688,4261.666504,4228.974121,4503.846191,4507.307617,4397.820313,4439.230957,6344.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
