title:ليال اختر, start timestamp:1703407768.369099, stop timestamp:1703407779.144210, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1381      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703407768.369099,1703407768.369485,71.000000,0.000000,4166.025879,4149.743652,4251.410156,4220.000000,4140.384766,4138.077148,4122.179688,4140.769043,4141.794922,4146.538574,4567.179688,4427.051270,4357.307617,4472.436035,5048.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.376907,1703407768.377393,72.000000,0.000000,4159.743652,4146.538574,4252.179688,4216.025879,4142.307617,4133.717773,4116.794922,4137.563965,4139.871582,4138.333496,4564.615234,4428.077148,4353.846191,4467.820313,4829.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,18.000000,0.000000,0.725915,-0.155090,-0.663086,-0.096497,0.986449,-0.093273,0.076670,-14.815784,-41.661533,65.463219
1703407768.384715,1703407768.385201,73.000000,0.000000,4155.897461,4148.974121,4251.282227,4220.769043,4155.897461,4134.615234,4117.948730,4132.436035,4137.692383,4136.538574,4563.333496,4426.410156,4352.692383,4462.563965,5100.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.392523,1703407768.393109,74.000000,0.000000,4156.794922,4147.179688,4249.743652,4225.512695,4156.282227,4135.384766,4117.051270,4125.128418,4129.102539,4136.282227,4557.179688,4418.717773,4346.666504,4455.256348,5903.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.400331,1703407768.400917,75.000000,0.000000,4157.179688,4144.487305,4250.769043,4217.307617,4150.897461,4136.538574,4115.769043,4122.307617,4126.025879,4139.743652,4556.153809,4420.769043,4342.948730,4456.282227,6095.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.408139,1703407768.408824,76.000000,0.000000,4153.461426,4142.820313,4257.436035,4207.948730,4151.922852,4139.871582,4120.384766,4130.256348,4133.077148,4145.897461,4562.051270,4430.512695,4347.051270,4463.846191,6604.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,19.000000,0.000000,0.725872,-0.155029,-0.663147,-0.096497,0.986937,-0.089855,0.068856,-14.700873,-41.745380,65.383568
1703407768.415947,1703407768.416632,77.000000,0.000000,4159.615234,4141.538574,4262.692383,4211.922852,4148.846191,4139.615234,4119.487305,4134.615234,4135.128418,4145.641113,4564.615234,4429.230957,4354.230957,4477.307617,7182.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.423755,1703407768.424341,78.000000,0.000000,4167.436035,4144.871582,4259.615234,4220.641113,4146.794922,4137.948730,4109.102539,4134.743652,4134.871582,4141.025879,4566.666504,4427.436035,4357.692383,4485.000000,5903.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.431563,1703407768.432149,79.000000,0.000000,4163.077148,4147.948730,4254.871582,4220.256348,4153.589844,4139.358887,4105.128418,4137.051270,4139.102539,4139.102539,4569.487305,4431.153809,4355.256348,4477.179688,6095.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.439371,1703407768.439857,80.000000,0.000000,4157.820313,4146.025879,4252.179688,4215.897461,4157.436035,4142.179688,4108.589844,4139.743652,4142.051270,4144.487305,4568.333496,4427.692383,4355.641113,4471.025879,6604.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,20.000000,0.000000,0.725833,-0.155212,-0.663147,-0.096497,0.992309,-0.104993,0.069344,-14.714119,-41.587509,65.295212
1703407768.447179,1703407768.447665,81.000000,0.000000,4152.692383,4145.384766,4248.333496,4217.820313,4153.461426,4140.384766,4106.282227,4139.487305,4141.282227,4152.179688,4569.487305,4426.410156,4361.282227,4467.179688,7182.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.454987,1703407768.455373,82.000000,0.000000,4145.384766,4142.820313,4245.128418,4217.948730,4151.794922,4136.025879,4098.461426,4132.051270,4140.512695,4148.974121,4571.410156,4430.769043,4360.256348,4462.436035,5903.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.462795,1703407768.463281,83.000000,0.000000,4142.563965,4136.666504,4245.769043,4213.077148,4150.128418,4135.000000,4097.051270,4125.897461,4138.077148,4140.769043,4568.846191,4424.358887,4356.282227,4458.333496,6095.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.470604,1703407768.471089,84.000000,0.000000,4142.436035,4139.230957,4250.384766,4214.102539,4141.025879,4136.410156,4099.358887,4128.205078,4131.922852,4141.410156,4567.563965,4416.538574,4357.436035,4449.358887,6604.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,21.000000,0.000000,0.725738,-0.155396,-0.663208,-0.096497,0.982053,-0.091808,0.070809,-14.759374,-41.612091,65.349022
1703407768.478412,1703407768.478897,85.000000,0.000000,4145.769043,4141.794922,4253.077148,4219.230957,4140.897461,4136.922852,4095.128174,4127.436035,4127.179688,4140.769043,4568.846191,4416.922852,4354.615234,4447.948730,7182.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.486220,1703407768.486605,86.000000,0.000000,4153.461426,4138.846191,4247.436035,4220.256348,4155.897461,4136.410156,4089.358887,4124.230957,4130.769043,4138.333496,4565.384766,4417.051270,4350.256348,4453.974121,5903.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.494028,1703407768.494513,87.000000,0.000000,4150.128418,4139.358887,4244.358887,4215.641113,4160.000000,4136.025879,4090.897461,4133.461426,4138.461426,4143.717773,4562.051270,4417.307617,4352.948730,4447.563965,6095.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.000000,91.666664,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,,,,,,,,,,,,
1703407768.501836,1703407768.502322,88.000000,0.000000,4143.974121,4138.717773,4248.846191,4214.487305,4149.487305,4135.897461,4092.435791,4140.256348,4139.743652,4142.692383,4562.179688,4418.589844,4352.820313,4435.641113,6604.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,22.000000,0.000000,0.725751,-0.155334,-0.663208,-0.096497,0.979123,-0.091320,0.063973,-14.700103,-41.567551,65.497452
1703407768.509644,1703407768.510230,89.000000,0.000000,4149.743652,4137.307617,4249.102539,4213.974121,4148.461426,4138.205078,4091.666748,4131.922852,4135.256348,4136.794922,4559.871582,4417.051270,4345.769043,4444.871582,7182.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.517452,1703407768.518038,90.000000,0.000000,4150.256348,4136.538574,4243.846191,4204.358887,4152.692383,4140.256348,4092.179443,4126.282227,4128.461426,4137.179688,4554.487305,4416.538574,4342.948730,4447.820313,5903.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.525260,1703407768.525946,91.000000,0.000000,4143.589844,4133.974121,4242.820313,4198.846191,4146.025879,4137.948730,4091.153809,4125.897461,4120.384766,4137.179688,4553.333496,4417.820313,4345.769043,4436.410156,6095.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.533068,1703407768.533854,92.000000,0.000000,4151.922852,4136.153809,4246.282227,4210.769043,4145.897461,4135.128418,4088.333252,4126.410156,4125.128418,4136.922852,4560.769043,4419.615234,4349.102539,4447.563965,6604.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,23.000000,0.000000,0.725695,-0.155334,-0.663269,-0.096497,0.981565,-0.087901,0.067391,-14.680093,-41.660793,65.381042
1703407768.540876,1703407768.541663,93.000000,0.000000,4162.436035,4145.256348,4252.563965,4221.410156,4154.871582,4135.512695,4087.435791,4134.871582,4144.230957,4149.743652,4569.615234,4428.589844,4358.589844,4467.948730,7182.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.548684,1703407768.549471,94.000000,0.000000,4151.153809,4145.128418,4257.820313,4217.692383,4152.179688,4137.820313,4087.692383,4143.717773,4151.410156,4158.846191,4573.717773,4438.077148,4362.563965,4458.205078,5903.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.556492,1703407768.557379,95.000000,0.000000,4142.051270,4138.717773,4254.615234,4214.358887,4144.230957,4138.333496,4084.358887,4141.025879,4140.641113,4146.153809,4573.717773,4432.820313,4350.384766,4438.974121,6095.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.564300,1703407768.565188,96.000000,0.000000,4149.743652,4141.794922,4251.538574,4214.871582,4151.538574,4135.128418,4079.487061,4135.897461,4139.487305,4135.128418,4566.922852,4420.128418,4340.641113,4436.538574,6604.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,24.000000,0.000000,0.725679,-0.155151,-0.663330,-0.096497,0.988402,-0.106458,0.072763,-14.628750,-41.528049,65.442940
1703407768.572108,1703407768.573095,97.000000,0.000000,4153.461426,4145.641113,4255.384766,4213.205078,4158.205078,4134.487305,4077.692383,4137.179688,4143.077148,4138.461426,4561.282227,4415.128418,4345.256348,4432.179688,7182.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.579916,1703407768.580903,98.000000,0.000000,4146.410156,4140.641113,4254.487305,4212.563965,4150.000000,4136.794922,4080.256348,4137.948730,4129.358887,4142.179688,4560.897461,4415.128418,4346.922852,4424.102539,5903.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.587724,1703407768.588611,99.000000,0.000000,4148.589844,4138.846191,4247.820313,4213.974121,4147.692383,4137.948730,4085.897461,4133.846191,4122.563965,4140.384766,4562.563965,4414.743652,4343.333496,4430.769043,6095.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.595532,1703407768.596419,100.000000,0.000000,4153.589844,4140.769043,4245.641113,4215.384766,4153.333496,4142.820313,4086.281982,4126.666504,4128.077148,4131.538574,4557.051270,4411.666504,4341.922852,4434.487305,6604.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,25.000000,0.000000,0.725846,-0.155151,-0.663147,-0.096497,0.989867,-0.103040,0.076670,-14.565875,-41.475243,65.515312
1703407768.603340,1703407768.604127,101.000000,0.000000,4151.410156,4137.436035,4246.666504,4211.922852,4156.153809,4151.410156,4083.333252,4122.820313,4123.974121,4125.897461,4551.666504,4412.051270,4342.820313,4431.666504,7182.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.611148,1703407768.612036,102.000000,0.000000,4163.717773,4136.794922,4244.743652,4213.974121,4157.820313,4152.436035,4080.512939,4128.589844,4125.384766,4135.641113,4558.974121,4421.153809,4350.128418,4446.025879,5903.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.618956,1703407768.619844,103.000000,0.000000,4175.641113,4141.025879,4245.897461,4224.871582,4156.794922,4144.615234,4076.666748,4137.051270,4138.333496,4143.589844,4571.025879,4429.743652,4359.102539,4462.692383,6095.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.626764,1703407768.627752,104.000000,0.000000,4169.743652,4141.410156,4255.512695,4223.974121,4152.563965,4140.897461,4073.333252,4136.666504,4139.487305,4139.230957,4572.307617,4431.153809,4357.179688,4458.846191,6604.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,26.000000,0.000000,0.725828,-0.155457,-0.663086,-0.096558,0.982053,-0.080088,0.078135,-14.392621,-41.577721,65.597115
1703407768.634573,1703407768.635560,105.000000,0.000000,4162.563965,4139.102539,4260.256348,4217.692383,4151.538574,4145.000000,4074.871826,4134.871582,4134.230957,4142.307617,4568.589844,4430.128418,4353.077148,4455.384766,7182.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.642381,1703407768.643468,106.000000,0.000000,4170.897461,4141.794922,4255.128418,4227.436035,4156.922852,4153.974121,4081.666748,4146.153809,4146.025879,4153.974121,4580.384766,4434.358887,4360.128418,4471.025879,5903.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.650189,1703407768.651276,107.000000,0.000000,4181.025879,4143.974121,4250.769043,4235.897461,4156.794922,4163.077148,4086.794922,4155.384766,4160.769043,4157.692383,4589.871582,4431.666504,4365.897461,4480.256348,6095.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.657997,1703407768.659085,108.000000,0.000000,4172.948730,4139.743652,4250.512695,4227.820313,4150.384766,4160.897461,4083.205078,4147.051270,4154.102539,4155.128418,4575.897461,4420.000000,4359.358887,4459.487305,6604.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,27.000000,0.000000,0.725686,-0.155640,-0.663208,-0.096497,0.987914,-0.095226,0.067879,-14.403358,-41.503281,65.504066
1703407768.665805,1703407768.666793,109.000000,0.000000,4164.743652,4140.000000,4256.025879,4225.512695,4151.410156,4153.717773,4074.102539,4138.333496,4141.794922,4148.205078,4566.538574,4420.512695,4353.077148,4439.230957,7182.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.673613,1703407768.674601,110.000000,0.000000,4167.051270,4144.487305,4263.333496,4235.512695,4162.820313,4157.692383,4073.076904,4138.461426,4138.589844,4146.153809,4572.692383,4429.102539,4356.538574,4443.974121,5903.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.681421,1703407768.682309,111.000000,0.000000,4164.358887,4142.948730,4257.948730,4234.487305,4167.307617,4169.230957,4079.743652,4138.461426,4137.436035,4146.410156,4571.153809,4423.205078,4360.641113,4444.358887,6095.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.689229,1703407768.690117,112.000000,0.000000,4149.743652,4137.692383,4246.282227,4217.692383,4161.153809,4177.563965,4086.410156,4137.692383,4132.436035,4141.794922,4565.256348,4415.256348,4357.692383,4434.871582,6604.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,28.000000,0.000000,0.725769,-0.155518,-0.663208,-0.096069,0.993285,-0.090831,0.075204,-14.463023,-41.602951,65.503662
1703407768.697037,1703407768.697825,113.000000,0.000000,4151.153809,4137.307617,4244.871582,4210.384766,4163.589844,4185.641113,4094.871826,4138.461426,4133.974121,4144.615234,4576.282227,4422.692383,4360.128418,4446.282227,7182.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.704845,1703407768.705733,114.000000,0.000000,4173.717773,4142.692383,4251.538574,4222.948730,4164.487305,4187.692383,4097.051270,4142.563965,4144.743652,4153.846191,4590.000000,4433.974121,4371.794922,4463.333496,5903.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.712653,1703407768.713541,115.000000,0.000000,4188.846191,4152.307617,4266.666504,4236.282227,4155.897461,4176.282227,4092.692383,4152.051270,4154.102539,4154.871582,4598.717773,4449.102539,4382.692383,4470.128418,6095.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.720461,1703407768.721449,116.000000,0.000000,4195.897461,4163.974121,4286.282227,4242.820313,4156.153809,4166.794922,4090.769287,4159.615234,4155.000000,4153.077148,4608.846191,4469.358887,4389.230957,4485.641113,6604.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,29.000000,0.000000,0.725692,-0.155579,-0.663330,-0.095703,0.987914,-0.103040,0.079600,-14.416720,-41.709324,65.453293
1703407768.728269,1703407768.729257,117.000000,0.000000,4203.205078,4171.282227,4289.487305,4248.846191,4164.743652,4166.922852,4090.256348,4161.025879,4151.410156,4154.871582,4612.820313,4476.922852,4391.666504,4490.641113,7182.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.736077,1703407768.737165,118.000000,0.000000,4201.666504,4171.410156,4280.512695,4248.205078,4162.948730,4166.794922,4090.000000,4160.769043,4149.615234,4154.487305,4611.025879,4470.897461,4390.512695,4478.717773,5903.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.743885,1703407768.744974,119.000000,0.000000,4180.897461,4162.692383,4271.282227,4233.974121,4151.922852,4166.025879,4089.487061,4149.358887,4142.179688,4150.641113,4596.666504,4449.871582,4378.717773,4470.256348,6095.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.751693,1703407768.752882,120.000000,0.000000,4163.077148,4152.563965,4254.871582,4224.358887,4151.922852,4168.077148,4084.615479,4133.846191,4133.717773,4147.051270,4573.846191,4423.205078,4360.897461,4457.563965,6604.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,30.000000,0.000000,0.725687,-0.155640,-0.663330,-0.095642,0.981077,-0.087413,0.070321,-14.475049,-41.788391,65.507965
1703407768.759501,1703407768.760690,121.000000,0.000000,4173.333496,4151.794922,4245.384766,4229.102539,4158.461426,4169.487305,4082.179443,4137.307617,4145.000000,4148.461426,4572.948730,4418.589844,4357.692383,4447.179688,7182.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.767310,1703407768.768498,122.000000,0.000000,4187.436035,4156.410156,4255.256348,4233.333496,4159.871582,4169.102539,4087.692383,4143.589844,4153.589844,4151.666504,4586.025879,4429.358887,4363.077148,4460.512695,5903.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407768.775118,1703407768.776305,123.000000,0.000000,4180.128418,4158.974121,4265.128418,4233.205078,4162.179688,4172.179688,4086.025635,4141.410156,4143.205078,4145.384766,4576.794922,4428.846191,4358.205078,4460.384766,6095.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
