title:مريان اختر 2, start timestamp:1703413615.084803, stop timestamp:1703413626.383052, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1448      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703413615.084803,1703413615.085562,121.000000,0.000000,4281.666504,4222.179688,4302.307617,4277.179688,4218.846191,4238.717773,4303.974121,4240.769043,4225.897461,4189.615234,4535.897461,4473.717773,4376.410156,4493.461426,6491.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413615.092611,1703413615.093470,122.000000,0.000000,4275.000000,4232.948730,4299.615234,4275.128418,4222.563965,4231.666504,4301.666504,4247.436035,4218.974121,4185.769043,4539.615234,4476.794922,4365.641113,4487.563965,5841.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413615.100419,1703413615.101278,123.000000,0.000000,4276.025879,4248.846191,4298.461426,4282.436035,4231.025879,4238.846191,4302.692383,4245.769043,4215.641113,4184.871582,4532.563965,4472.820313,4363.077148,4490.128418,6085.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413615.108227,1703413615.109086,124.000000,0.000000,4274.230957,4237.820313,4298.205078,4282.436035,4231.410156,4242.948730,4305.384766,4247.692383,4220.641113,4188.205078,4521.153809,4465.128418,4374.615234,4491.538574,6526.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,31.000000,0.000000,0.372004,0.631226,-0.257263,0.630066,0.987425,0.157246,0.083018,-18.895155,-32.215385,65.277550
1703413615.116035,1703413615.116894,125.000000,0.000000,4272.179688,4227.948730,4296.922852,4276.794922,4223.461426,4230.512695,4303.077148,4247.948730,4220.641113,4194.871582,4521.922852,4471.538574,4381.922852,4486.922852,6491.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413615.123843,1703413615.124602,126.000000,0.000000,4279.358887,4243.333496,4300.897461,4289.230957,4222.948730,4233.077148,4302.307617,4246.538574,4229.230957,4207.436035,4547.051270,4488.846191,4386.922852,4498.974121,5841.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413615.131651,1703413615.132410,127.000000,0.000000,4284.102539,4254.487305,4306.538574,4295.512695,4232.692383,4245.512695,4305.512695,4246.153809,4235.000000,4218.974121,4558.589844,4491.410156,4398.461426,4508.717773,59.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413615.139459,1703413615.140118,0.000000,0.000000,4284.487305,4249.871582,4309.230957,4286.538574,4239.487305,4238.846191,4305.128418,4243.846191,4225.641113,4219.743652,4545.128418,4485.128418,4401.153809,4500.000000,3607.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,0.372172,0.631348,-0.257019,0.629944,0.982053,0.155292,0.075204,-18.855639,-32.193844,65.266457
1703413615.147267,1703413615.147926,1.000000,0.000000,4282.436035,4246.282227,4306.410156,4285.641113,4235.256348,4229.230957,4302.948730,4245.128418,4218.333496,4216.538574,4541.538574,4489.615234,4391.025879,4493.461426,5437.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413615.155075,1703413615.155634,2.000000,0.000000,4279.230957,4248.589844,4303.589844,4289.487305,4231.538574,4236.025879,4303.846191,4249.230957,4218.077148,4215.769043,4547.051270,4492.692383,4387.948730,4496.153809,5135.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413615.162883,1703413615.163442,3.000000,0.000000,4276.922852,4245.128418,4301.794922,4283.205078,4232.820313,4236.794922,4302.307617,4249.615234,4220.769043,4210.000000,4538.077148,4483.589844,4385.641113,4492.563965,5308.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413615.170691,1703413615.171150,4.000000,0.000000,4271.282227,4229.743652,4301.538574,4276.666504,4230.641113,4228.333496,4300.128418,4249.358887,4224.487305,4203.846191,4531.410156,4477.179688,4378.589844,4487.436035,5158.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,1.000000,0.000000,0.372486,0.631287,-0.256714,0.629944,0.970822,0.154316,0.077646,-18.770075,-32.207794,65.206482
1703413615.178499,1703413615.179058,5.000000,0.000000,4264.743652,4228.205078,4300.769043,4279.230957,4227.307617,4227.179688,4301.410156,4248.333496,4222.051270,4200.897461,4542.179688,4477.051270,4383.717773,4490.769043,4472.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413615.186308,1703413615.186866,6.000000,0.000000,4264.487305,4239.230957,4298.974121,4279.615234,4228.205078,4229.871582,4302.051270,4244.230957,4218.461426,4195.641113,4541.282227,4475.512695,4385.512695,4486.794922,2763.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.000000,91.666664,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,
1703413615.194116,1703413615.194674,7.000000,0.000000,4267.307617,4237.307617,4301.153809,4280.641113,4232.179688,4230.256348,4301.922852,4245.000000,4220.128418,4202.563965,4530.384766,4475.641113,4376.922852,4485.128418,4729.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413615.201923,1703413615.202382,8.000000,0.000000,4268.333496,4237.179688,4302.051270,4283.846191,4231.922852,4231.538574,4304.230957,4250.769043,4223.205078,4220.641113,4535.512695,4477.051270,4377.307617,4489.743652,4355.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,2.000000,0.000000,0.372693,0.631104,-0.256714,0.630005,0.974728,0.143084,0.074716,-18.876400,-32.020348,65.035835
1703413615.209732,1703413615.210290,9.000000,0.000000,4267.307617,4248.077148,4295.384766,4285.256348,4232.436035,4231.538574,4303.461426,4251.153809,4224.358887,4216.410156,4541.410156,4469.358887,4382.179688,4481.538574,5327.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413615.217540,1703413615.218098,10.000000,0.000000,4264.871582,4246.794922,4289.615234,4285.384766,4232.179688,4223.333496,4297.307617,4245.641113,4218.974121,4203.461426,4533.461426,4463.717773,4377.051270,4475.256348,5893.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413615.225348,1703413615.226006,11.000000,0.000000,4272.307617,4242.948730,4294.615234,4291.794922,4230.128418,4219.102539,4295.769043,4241.794922,4212.436035,4213.077148,4532.692383,4473.205078,4381.666504,4492.948730,6082.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413615.233156,1703413615.233814,12.000000,0.000000,4286.410156,4251.410156,4301.025879,4296.666504,4238.846191,4231.153809,4298.974121,4245.512695,4222.820313,4220.512695,4550.128418,4482.179688,4399.102539,4511.282227,6566.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,3.000000,0.000000,0.372712,0.631104,-0.256836,0.629944,0.981565,0.149921,0.071786,-18.822094,-32.034981,65.115585
1703413615.240964,1703413615.241722,13.000000,0.000000,4281.922852,4250.000000,4298.333496,4286.410156,4249.871582,4237.820313,4299.358887,4251.025879,4237.179688,4212.436035,4551.922852,4479.358887,4397.307617,4504.743652,6497.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413615.248772,1703413615.249530,14.000000,0.000000,4267.179688,4243.589844,4294.487305,4279.358887,4250.256348,4232.948730,4299.230957,4247.948730,4230.000000,4211.794922,4544.102539,4473.461426,4380.897461,4494.487305,5893.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413615.256580,1703413615.257438,15.000000,0.000000,4264.358887,4251.282227,4292.692383,4283.589844,4245.000000,4239.487305,4303.077148,4243.461426,4222.179688,4217.563965,4546.153809,4467.692383,4377.179688,4494.871582,6082.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413615.264388,1703413615.265245,16.000000,0.000000,4266.410156,4251.666504,4293.077148,4282.820313,4240.641113,4249.102539,4304.230957,4239.871582,4230.769043,4216.922852,4538.333496,4462.692383,4385.384766,4491.153809,0.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,4.000000,0.000000,0.372918,0.631165,-0.256836,0.629761,0.980100,0.158711,0.077646,-18.973217,-32.064816,65.154022
1703413615.272196,1703413615.273153,17.000000,0.000000,4262.307617,4237.436035,4292.179688,4277.563965,4234.615234,4236.666504,4298.461426,4233.333496,4230.384766,4207.948730,4522.051270,4460.641113,4382.436035,4479.230957,0.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413615.280004,1703413615.280961,18.000000,0.000000,4255.897461,4227.692383,4288.333496,4276.410156,4230.128418,4225.000000,4296.538574,4229.615234,4218.333496,4191.794922,4516.666504,4456.153809,4370.512695,4469.358887,0.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413615.287812,1703413615.288869,19.000000,0.000000,4254.743652,4233.717773,4288.974121,4277.051270,4231.922852,4235.000000,4299.102539,4231.153809,4214.871582,4187.692383,4517.948730,4453.717773,4370.641113,4472.563965,0.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413615.295620,1703413615.296677,20.000000,0.000000,4256.794922,4235.641113,4297.179688,4278.589844,4235.384766,4241.153809,4301.153809,4238.461426,4214.615234,4204.358887,4524.871582,4462.051270,4376.922852,4481.153809,0.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,5.000000,0.000000,0.373190,0.631042,-0.256592,0.629822,0.986449,0.154316,0.080576,-18.992563,-32.075001,65.255287
1703413615.303428,1703413615.304385,21.000000,0.000000,4263.461426,4229.743652,4303.461426,4281.282227,4236.794922,4233.205078,4301.794922,4248.461426,4215.897461,4218.205078,4543.461426,4473.846191,4380.256348,4489.230957,0.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
