title:مضر اختر, start timestamp:1703402579.061810, stop timestamp:1703402589.829116, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1380      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703402579.061810,1703402579.062222,96.000000,0.000000,4316.410156,4220.769043,4355.384766,4329.230957,4194.615234,4152.307617,4200.000000,4154.487305,4149.871582,4211.922852,4725.641113,4521.282227,4493.589844,4597.692383,6591.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,24.000000,0.000000,0.691137,-0.064148,-0.692749,0.195740,0.922476,-0.365767,0.034672,-30.470102,-5.828970,76.952988
1703402579.069618,1703402579.069930,97.000000,0.000000,4319.871582,4228.589844,4356.410156,4323.846191,4202.051270,4153.846191,4199.487305,4159.102539,4157.179688,4218.846191,4731.794922,4525.897461,4497.692383,4608.846191,6282.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402579.077426,1703402579.077738,98.000000,0.000000,4316.410156,4226.794922,4358.589844,4327.436035,4192.051270,4157.436035,4203.589844,4169.487305,4167.563965,4231.410156,4736.282227,4525.128418,4504.230957,4613.717773,5809.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402579.085235,1703402579.085446,99.000000,0.000000,4312.307617,4230.000000,4360.384766,4335.384766,4187.948730,4156.538574,4203.589844,4169.871582,4171.922852,4226.025879,4733.589844,4523.077148,4507.692383,4613.717773,6135.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402579.093042,1703402579.093254,100.000000,0.000000,4311.282227,4235.256348,4359.487305,4329.358887,4191.025879,4155.641113,4202.820313,4165.897461,4168.461426,4211.922852,4725.000000,4523.333496,4503.974121,4613.461426,6591.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,25.000000,0.000000,0.691137,-0.064148,-0.692749,0.195740,0.930289,-0.360884,0.039556,-30.389759,-5.779406,77.124359
1703402579.100850,1703402579.100962,101.000000,0.000000,4306.538574,4223.461426,4357.820313,4322.820313,4187.307617,4157.307617,4205.256348,4167.179688,4166.025879,4215.384766,4717.563965,4522.307617,4497.563965,4607.820313,6282.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402579.108659,1703402579.108770,102.000000,0.000000,4302.436035,4220.128418,4352.948730,4333.717773,4188.846191,4160.897461,4204.871582,4160.769043,4159.871582,4216.666504,4709.358887,4519.871582,4491.922852,4601.153809,5809.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402579.116467,1703402579.116478,103.000000,0.000000,4301.538574,4229.871582,4341.538574,4339.871582,4201.153809,4166.666504,4204.358887,4148.974121,4148.461426,4198.717773,4695.769043,4518.846191,4481.666504,4598.846191,6135.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402579.124275,1703402579.124286,104.000000,0.000000,4297.436035,4226.794922,4334.230957,4328.589844,4204.743652,4165.128418,4205.512695,4149.743652,4149.230957,4195.512695,4684.743652,4514.871582,4474.487305,4597.179688,6591.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,26.000000,0.000000,0.691180,-0.064148,-0.692688,0.195801,0.915639,-0.354047,0.039067,-30.384117,-5.834799,77.211922
1703402579.132083,1703402579.131994,105.000000,0.000000,4294.615234,4220.128418,4336.153809,4325.128418,4193.333496,4160.641113,4202.563965,4151.025879,4155.000000,4206.922852,4679.230957,4507.436035,4473.333496,4596.410156,6282.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
