title:ملاح اختر, start timestamp:1703495783.069879, stop timestamp:1703495793.884020, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1386      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703495783.069879,1703495783.070097,67.000000,0.000000,4241.410156,4253.333496,4287.820313,4278.589844,4260.384766,4253.333496,4282.820313,4233.717773,4231.666504,4227.179688,4592.179688,4398.205078,4423.205078,4475.128418,5512.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495783.077687,1703495783.077805,68.000000,0.000000,4228.717773,4246.410156,4289.487305,4271.153809,4242.179688,4250.128418,4275.641113,4233.077148,4228.205078,4222.692383,4582.820313,4391.153809,4411.410156,4473.461426,5369.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,17.000000,0.000000,0.665710,0.244690,-0.677002,0.196533,0.990844,0.062996,-0.028324,-16.946226,-38.103432,62.848644
1703495783.085495,1703495783.085613,69.000000,0.000000,4234.358887,4243.461426,4294.487305,4273.589844,4233.717773,4239.487305,4269.871582,4233.333496,4221.410156,4218.205078,4582.948730,4393.333496,4394.102539,4475.897461,4968.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495783.093303,1703495783.093321,70.000000,0.000000,4248.333496,4255.384766,4301.153809,4282.436035,4234.743652,4233.717773,4267.563965,4234.358887,4218.846191,4220.128418,4596.025879,4405.384766,4391.794922,4490.897461,3438.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495783.101112,1703495783.101129,71.000000,0.000000,4255.641113,4258.589844,4304.615234,4277.051270,4226.153809,4229.615234,4264.615234,4232.179688,4216.794922,4219.615234,4598.974121,4415.384766,4392.436035,4505.897461,3613.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495783.108920,1703495783.108837,72.000000,0.000000,4263.717773,4262.948730,4308.846191,4278.205078,4241.794922,4228.717773,4273.077148,4230.000000,4214.615234,4225.256348,4605.256348,4423.333496,4393.717773,4510.512695,3279.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,18.000000,0.000000,0.665829,0.244873,-0.676819,0.196533,0.996215,0.063973,-0.042974,-16.868271,-38.176422,62.730446
1703495783.116727,1703495783.116645,73.000000,0.000000,4269.871582,4275.769043,4309.743652,4296.282227,4267.820313,4231.538574,4284.230957,4234.871582,4215.641113,4237.948730,4618.717773,4422.307617,4397.051270,4508.846191,5764.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495783.124536,1703495783.124353,74.000000,0.000000,4266.153809,4275.384766,4304.487305,4297.436035,4249.230957,4230.000000,4276.922852,4241.153809,4224.615234,4237.179688,4612.051270,4415.000000,4393.077148,4501.922852,5993.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495783.132344,1703495783.132261,75.000000,0.000000,4258.333496,4262.051270,4300.384766,4283.333496,4224.615234,4230.512695,4269.102539,4238.589844,4234.615234,4230.128418,4597.307617,4411.025879,4387.563965,4491.282227,6235.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495783.140152,1703495783.140069,76.000000,0.000000,4250.897461,4253.205078,4295.512695,4275.512695,4236.666504,4234.743652,4273.717773,4234.358887,4235.897461,4229.615234,4589.615234,4403.846191,4382.179688,4488.717773,6648.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,19.000000,0.000000,0.665947,0.245178,-0.676575,0.196594,0.985960,0.068368,-0.019045,-16.798111,-38.292114,62.790737
