title:منى اختر, start timestamp:1703411360.393233, stop timestamp:1703411371.418200, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1413      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703411360.393233,1703411360.393732,78.000000,0.000000,4234.743652,4202.179688,4321.025879,4283.205078,4192.179688,4174.230957,4222.436035,4182.051270,4184.102539,4168.589844,4518.077148,4268.205078,4366.282227,4482.307617,5958.000000,3.000000,65.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411360.401041,1703411360.401440,79.000000,0.000000,4231.410156,4198.333496,4315.128418,4272.051270,4193.717773,4185.000000,4228.205078,4178.077148,4183.717773,4176.538574,4519.358887,4272.563965,4373.589844,4475.128418,6130.000000,3.000000,65.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411360.408849,1703411360.409248,80.000000,0.000000,4217.948730,4195.384766,4304.487305,4260.000000,4185.769043,4189.487305,4231.666504,4176.025879,4177.436035,4170.512695,4528.461426,4278.333496,4376.410156,4472.820313,6611.000000,3.000000,65.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,20.000000,0.000000,0.687176,0.230286,-0.634277,0.269165,0.995239,-0.025882,0.093761,-16.275139,-39.261517,66.835609
1703411360.416657,1703411360.416956,81.000000,0.000000,4214.743652,4190.000000,4303.205078,4258.589844,4183.717773,4176.922852,4225.897461,4182.051270,4175.897461,4164.743652,4538.205078,4280.256348,4380.128418,4480.256348,7002.000000,3.000000,65.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411360.424465,1703411360.424764,82.000000,0.000000,4228.589844,4186.922852,4309.871582,4262.820313,4188.589844,4171.794922,4224.487305,4195.641113,4189.871582,4202.563965,4555.000000,4289.230957,4393.589844,4491.410156,5958.000000,3.000000,65.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411360.432273,1703411360.432472,83.000000,0.000000,4233.205078,4186.922852,4310.512695,4262.436035,4181.538574,4181.922852,4233.205078,4203.077148,4196.282227,4228.717773,4567.179688,4300.128418,4394.102539,4493.461426,6130.000000,3.000000,65.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411360.440081,1703411360.440380,84.000000,0.000000,4224.743652,4180.641113,4303.589844,4253.205078,4172.820313,4185.512695,4235.384766,4200.641113,4185.384766,4183.461426,4565.000000,4297.692383,4388.333496,4497.051270,6611.000000,3.000000,65.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,21.000000,0.000000,0.687149,0.230225,-0.634277,0.269287,0.994262,-0.026370,0.076670,-16.230957,-39.285366,66.868713
1703411360.447889,1703411360.448188,85.000000,0.000000,4226.025879,4174.102539,4299.615234,4246.025879,4177.179688,4179.871582,4231.410156,4198.333496,4182.051270,4157.179688,4558.717773,4292.692383,4396.153809,4505.000000,7002.000000,3.000000,65.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411360.455697,1703411360.456096,86.000000,0.000000,4232.179688,4179.230957,4305.769043,4251.794922,4184.871582,4182.948730,4233.077148,4201.538574,4195.641113,4194.358887,4557.436035,4299.615234,4396.538574,4500.384766,5958.000000,3.000000,65.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411360.463506,1703411360.463905,87.000000,0.000000,4232.820313,4189.358887,4311.282227,4263.589844,4192.051270,4185.256348,4232.179688,4202.820313,4207.051270,4202.436035,4555.000000,4310.256348,4381.282227,4490.897461,6130.000000,3.000000,65.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411360.471314,1703411360.471813,88.000000,0.000000,4233.077148,4187.436035,4303.974121,4266.153809,4196.922852,4176.794922,4227.563965,4192.948730,4202.820313,4171.666504,4542.820313,4302.307617,4374.615234,4487.948730,6611.000000,3.000000,65.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,22.000000,0.000000,0.687082,0.229919,-0.634460,0.269287,0.992797,-0.024905,0.079111,-16.291195,-39.356831,66.948509
1703411360.479122,1703411360.479621,89.000000,0.000000,4231.666504,4184.102539,4295.000000,4260.512695,4190.897461,4176.922852,4227.051270,4185.128418,4197.563965,4173.461426,4534.102539,4279.487305,4380.384766,4487.436035,7002.000000,3.000000,65.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411360.486930,1703411360.487528,90.000000,0.000000,4230.128418,4196.025879,4296.282227,4264.230957,4184.743652,4184.230957,4231.153809,4190.769043,4201.794922,4191.666504,4539.102539,4273.717773,4384.487305,4490.512695,5958.000000,3.000000,65.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
