title:نوار اختر, start timestamp:1703161360.632561, stop timestamp:1703161371.407671, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1381      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703161360.632561,1703161360.632320,26.000000,0.000000,4174.615234,4137.563965,4262.436035,4218.461426,4121.410156,4110.256348,4122.436035,4139.358887,4117.307617,4154.102539,4663.974121,4460.384766,4407.563965,4551.538574,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161360.640369,1703161360.640228,27.000000,0.000000,4171.410156,4142.563965,4258.717773,4218.461426,4125.256348,4112.307617,4115.769043,4136.282227,4115.769043,4149.743652,4656.538574,4454.358887,4401.666504,4546.153809,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161360.648178,1703161360.648037,28.000000,0.000000,4170.641113,4141.538574,4250.384766,4217.179688,4125.897461,4117.692383,4113.589844,4134.487305,4104.743652,4139.487305,4649.487305,4445.897461,4400.128418,4542.051270,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,7.000000,0.000000,0.556427,0.445190,-0.469849,0.520996,0.989867,0.050299,0.153827,-17.219099,-32.495544,65.278412
1703161360.655985,1703161360.655944,29.000000,0.000000,4159.743652,4136.538574,4243.461426,4216.025879,4125.897461,4123.846191,4119.230957,4135.769043,4105.641113,4133.461426,4637.948730,4434.487305,4388.846191,4527.563965,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161360.663793,1703161360.663752,30.000000,0.000000,4149.102539,4135.512695,4243.717773,4214.615234,4128.846191,4124.358887,4121.153809,4137.692383,4122.307617,4131.410156,4632.051270,4430.641113,4380.000000,4517.820313,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161360.671602,1703161360.671660,31.000000,0.000000,4158.077148,4143.589844,4247.563965,4213.333496,4127.692383,4122.436035,4120.256348,4139.615234,4136.922852,4134.487305,4639.615234,4439.871582,4390.128418,4527.051270,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161360.679410,1703161360.679468,32.000000,0.000000,4170.000000,4151.666504,4249.615234,4212.820313,4125.769043,4123.077148,4122.563965,4142.820313,4140.641113,4140.512695,4640.000000,4446.538574,4388.974121,4532.948730,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,8.000000,0.000000,0.556699,0.445129,-0.469788,0.520813,0.979612,0.046881,0.155292,-17.213856,-32.395988,65.300568
1703161360.687218,1703161360.687376,33.000000,0.000000,4163.333496,4149.230957,4249.102539,4208.205078,4132.051270,4120.000000,4120.256348,4137.692383,4133.333496,4140.256348,4626.666504,4437.051270,4368.589844,4521.922852,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161360.695026,1703161360.695184,34.000000,0.000000,4158.077148,4145.897461,4245.512695,4199.871582,4134.871582,4114.743652,4111.282227,4124.615234,4125.256348,4133.461426,4627.436035,4427.820313,4371.794922,4518.974121,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161360.702834,1703161360.703092,35.000000,0.000000,4173.717773,4154.358887,4248.333496,4201.282227,4125.000000,4113.974121,4112.307617,4125.384766,4124.102539,4136.922852,4647.692383,4437.563965,4394.230957,4534.743652,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
