title:الما اختر, start timestamp:1703404713.035126, stop timestamp:1703404723.849275, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1386      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703404713.035126,1703404713.035869,7.000000,0.000000,4224.487305,4185.512695,4287.820313,4250.641113,4130.000000,4140.128418,4287.948730,4156.666504,4141.282227,4155.256348,4610.128418,4448.077148,4393.205078,4526.794922,5151.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404713.042934,1703404713.043777,8.000000,0.000000,4233.589844,4187.051270,4296.410156,4251.922852,4151.282227,4141.922852,4289.102539,4148.974121,4115.897461,4151.666504,4613.333496,4449.615234,4394.487305,4530.897461,4911.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,2.000000,0.000000,0.677434,0.040222,-0.724976,0.117798,0.980588,-0.121109,-0.017092,-13.195289,-41.003025,62.761288
1703404713.050742,1703404713.051585,9.000000,0.000000,4225.128418,4185.512695,4295.641113,4247.692383,4158.205078,4139.871582,4285.641113,4142.051270,4125.512695,4134.871582,4607.820313,4447.436035,4386.282227,4526.025879,5075.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.000000,91.666664,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,
1703404713.058550,1703404713.059293,10.000000,0.000000,4214.615234,4182.820313,4288.717773,4243.717773,4139.743652,4136.153809,4284.743652,4137.820313,4135.897461,4135.256348,4599.743652,4440.641113,4383.589844,4519.743652,5948.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404713.066358,1703404713.067101,11.000000,0.000000,4217.436035,4175.128418,4283.717773,4239.358887,4138.333496,4136.794922,4284.102539,4139.743652,4126.794922,4149.230957,4597.436035,4436.666504,4382.692383,4520.512695,6194.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404713.074166,1703404713.074809,12.000000,0.000000,4220.641113,4173.974121,4283.717773,4234.743652,4154.615234,4139.487305,4286.282227,4150.769043,4137.051270,4148.717773,4606.538574,4445.384766,4379.743652,4523.205078,6633.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,3.000000,0.000000,0.677669,0.040649,-0.724731,0.117798,0.990355,-0.121109,-0.014650,-13.025760,-41.019390,62.835159
1703404713.081974,1703404713.082617,13.000000,0.000000,4216.282227,4183.974121,4287.948730,4238.974121,4155.769043,4141.025879,4290.256348,4153.717773,4147.307617,4145.384766,4616.282227,4450.897461,4383.717773,4521.666504,6534.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404713.089782,1703404713.090325,14.000000,0.000000,4220.000000,4189.102539,4292.820313,4248.205078,4153.205078,4142.820313,4291.282227,4151.666504,4143.974121,4153.461426,4619.487305,4449.487305,4395.000000,4529.743652,5948.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404713.097590,1703404713.098133,15.000000,0.000000,4229.615234,4182.051270,4292.948730,4245.512695,4151.922852,4144.230957,4292.179688,4154.743652,4146.922852,4156.666504,4619.871582,4453.205078,4399.487305,4537.692383,6194.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404713.105398,1703404713.105841,16.000000,0.000000,4230.769043,4176.794922,4289.487305,4238.333496,4143.461426,4140.769043,4292.563965,4151.410156,4148.205078,4151.538574,4613.974121,4452.563965,4390.256348,4528.974121,0.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,4.000000,0.000000,0.678042,0.040955,-0.724365,0.117798,0.990844,-0.124527,-0.017580,-12.989851,-40.850784,63.051643
