title:جمعة اختر, start timestamp:1703163356.910741, stop timestamp:1703163367.709261, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1384      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703163356.910741,1703163356.911428,40.000000,0.000000,4177.051270,4170.641113,4275.512695,4231.666504,4135.512695,4121.410156,4156.153809,4134.743652,4113.589844,4126.410156,4588.205078,4440.000000,4391.410156,4498.205078,0.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,10.000000,0.000000,0.709401,0.008728,-0.683594,0.171387,0.978147,-0.208033,0.064461,-11.073837,-44.354843,65.195671
1703163356.918549,1703163356.919336,41.000000,0.000000,4187.051270,4175.256348,4281.025879,4235.256348,4140.128418,4124.871582,4155.256348,4137.436035,4121.153809,4117.692383,4600.769043,4448.205078,4394.871582,4517.051270,0.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163356.926358,1703163356.927144,42.000000,0.000000,4172.948730,4173.077148,4271.025879,4228.333496,4140.512695,4124.102539,4154.743652,4138.461426,4125.000000,4117.307617,4594.871582,4445.897461,4388.846191,4504.615234,0.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163356.934166,1703163356.934852,43.000000,0.000000,4160.897461,4168.461426,4260.256348,4211.410156,4127.051270,4121.538574,4156.025879,4141.410156,4121.153809,4129.615234,4587.692383,4438.205078,4384.871582,4489.743652,0.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163356.941974,1703163356.942660,44.000000,0.000000,4170.769043,4166.922852,4264.743652,4211.538574,4123.589844,4119.358887,4153.846191,4145.384766,4122.820313,4133.846191,4597.692383,4442.307617,4389.743652,4492.307617,0.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,11.000000,0.000000,0.709356,0.008789,-0.683655,0.171326,0.970822,-0.207545,0.053717,-10.983120,-44.419357,65.192772
1703163356.949782,1703163356.950368,45.000000,0.000000,4174.743652,4165.000000,4270.897461,4226.922852,4138.077148,4118.846191,4154.102539,4144.358887,4130.256348,4128.974121,4603.974121,4448.461426,4390.769043,4498.077148,0.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163356.957590,1703163356.958176,46.000000,0.000000,4171.410156,4161.025879,4272.307617,4232.692383,4137.179688,4119.743652,4155.641113,4145.000000,4132.307617,4131.153809,4605.769043,4450.512695,4389.230957,4505.000000,0.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163356.965398,1703163356.965884,47.000000,0.000000,4181.025879,4166.922852,4282.307617,4238.717773,4131.794922,4121.794922,4150.256348,4149.230957,4136.025879,4138.589844,4617.436035,4457.948730,4399.743652,4521.025879,0.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163356.973206,1703163356.973692,48.000000,0.000000,4191.794922,4170.641113,4288.846191,4248.717773,4148.846191,4122.948730,4144.871582,4145.512695,4137.051270,4139.871582,4623.846191,4460.769043,4415.769043,4528.717773,0.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,12.000000,0.000000,0.709327,0.008789,-0.683655,0.171448,0.968868,-0.219753,0.069344,-10.868141,-44.477421,65.306831
1703163356.981014,1703163356.981400,49.000000,0.000000,4184.487305,4153.589844,4281.922852,4239.615234,4143.077148,4119.487305,4147.820313,4137.436035,4128.974121,4135.641113,4619.615234,4451.282227,4420.897461,4513.589844,0.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163356.988822,1703163356.989208,50.000000,0.000000,4170.769043,4141.666504,4275.769043,4222.820313,4113.461426,4119.743652,4150.512695,4135.384766,4120.897461,4132.051270,4617.051270,4445.641113,4415.128418,4504.615234,0.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163356.996630,1703163356.996916,51.000000,0.000000,4171.282227,4146.922852,4277.307617,4223.717773,4126.153809,4124.358887,4151.794922,4133.205078,4119.102539,4124.358887,4614.358887,4447.820313,4412.820313,4511.794922,0.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163357.004438,1703163357.004724,52.000000,0.000000,4173.461426,4144.743652,4277.948730,4225.769043,4148.205078,4114.358887,4149.871582,4126.666504,4115.000000,4114.871582,4610.512695,4444.102539,4415.000000,4498.717773,0.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,13.000000,0.000000,0.709355,0.008850,-0.683594,0.171570,0.950800,-0.214382,0.060554,-10.981327,-44.529678,65.242813
1703163357.012246,1703163357.012432,53.000000,0.000000,4162.820313,4137.692383,4270.128418,4208.846191,4122.948730,4098.205078,4145.512695,4125.897461,4105.000000,4111.410156,4599.487305,4433.974121,4409.358887,4480.384766,0.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163357.020054,1703163357.020340,54.000000,0.000000,4169.230957,4151.538574,4272.563965,4206.538574,4112.436035,4111.410156,4148.077148,4135.128418,4109.487305,4120.000000,4598.333496,4438.077148,4408.846191,4504.487305,0.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163357.027862,1703163357.028148,55.000000,0.000000,4187.948730,4161.538574,4279.230957,4217.948730,4138.461426,4132.307617,4155.512695,4142.436035,4123.717773,4125.384766,4613.717773,4448.589844,4415.769043,4520.897461,0.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163357.035670,1703163357.036057,56.000000,0.000000,4177.692383,4152.436035,4268.846191,4215.384766,4140.769043,4125.769043,4155.000000,4138.974121,4119.487305,4116.922852,4615.897461,4445.384766,4413.846191,4491.153809,0.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,14.000000,0.000000,0.709372,0.008728,-0.683594,0.171509,0.961055,-0.220242,0.064949,-11.049861,-44.510044,65.301865
1703163357.043478,1703163357.043865,57.000000,0.000000,4165.769043,4149.743652,4258.461426,4214.615234,4122.820313,4115.641113,4148.974121,4136.538574,4107.948730,4118.846191,4605.641113,4437.179688,4411.410156,4491.153809,0.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
