title:حلاق اختر, start timestamp:1703153207.803704, stop timestamp:1703153218.680310, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1394      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703153207.803704,1703153207.804390,117.000000,0.000000,4225.769043,4210.769043,4279.358887,4261.922852,4216.153809,4197.820313,4312.948730,4167.307617,4098.205078,4180.641113,4536.410156,4457.692383,4369.487305,4465.897461,7147.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153207.811512,1703153207.812098,118.000000,0.000000,4217.948730,4211.794922,4279.358887,4262.051270,4216.025879,4201.666504,4313.589844,4167.307617,4100.256348,4180.897461,4541.666504,4457.179688,4371.666504,4455.897461,5958.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153207.819320,1703153207.819906,119.000000,0.000000,4228.589844,4213.717773,4280.384766,4262.179688,4216.410156,4204.487305,4313.205078,4175.000000,4109.487305,4190.256348,4553.333496,4465.769043,4377.563965,4461.025879,6351.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153207.827128,1703153207.827614,120.000000,0.000000,4228.205078,4215.000000,4278.205078,4261.922852,4219.615234,4205.000000,4313.333496,4182.563965,4116.922852,4192.692383,4554.743652,4469.871582,4380.256348,4475.256348,6763.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,30.000000,0.000000,0.638463,0.407288,-0.544434,0.360657,0.992797,0.128434,0.082041,-16.504833,-30.792320,65.384743
1703153207.834936,1703153207.835422,121.000000,0.000000,4217.563965,4215.000000,4275.769043,4263.205078,4219.358887,4207.563965,4311.794922,4177.179688,4114.102539,4186.666504,4546.666504,4464.871582,4375.256348,4471.282227,7147.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153207.842744,1703153207.843130,122.000000,0.000000,4214.615234,4215.256348,4277.051270,4263.974121,4214.358887,4206.666504,4310.384766,4174.743652,4115.256348,4186.922852,4547.307617,4462.563965,4376.282227,4461.666504,5958.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153207.850552,1703153207.850938,123.000000,0.000000,4214.230957,4216.153809,4279.358887,4263.974121,4217.307617,4201.538574,4309.102539,4178.461426,4122.051270,4189.487305,4552.948730,4462.820313,4381.666504,4463.717773,6351.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153207.858360,1703153207.858646,124.000000,0.000000,4212.692383,4214.102539,4280.384766,4263.717773,4225.384766,4202.051270,4309.102539,4182.307617,4127.436035,4193.461426,4556.538574,4463.846191,4387.692383,4480.256348,6763.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,31.000000,0.000000,0.638355,0.407104,-0.544617,0.360779,0.993285,0.139665,0.082041,-16.471018,-30.729755,65.179604
1703153207.866168,1703153207.866554,125.000000,0.000000,4223.974121,4215.384766,4284.743652,4269.230957,4222.307617,4209.230957,4313.461426,4191.025879,4135.000000,4202.436035,4563.846191,4473.974121,4394.871582,4491.282227,7147.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153207.873976,1703153207.874363,126.000000,0.000000,4233.205078,4225.769043,4282.948730,4276.666504,4215.000000,4213.461426,4313.333496,4196.538574,4140.000000,4208.846191,4569.743652,4480.128418,4397.051270,4482.820313,5958.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
