title:رشيد اختر, start timestamp:1703406428.498877, stop timestamp:1703406439.234946, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1376      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703406428.498877,1703406428.499566,34.000000,0.000000,4206.153809,4172.179688,4266.794922,4238.205078,4166.666504,4199.358887,4217.948730,4174.871582,4161.025879,4166.282227,4615.128418,4453.846191,4410.769043,4511.410156,0.000000,4.000000,79.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406428.506685,1703406428.507274,35.000000,0.000000,4199.102539,4159.743652,4265.641113,4229.102539,4158.077148,4198.974121,4217.692383,4171.666504,4154.358887,4156.410156,4613.461426,4443.974121,4411.794922,4506.538574,0.000000,4.000000,79.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406428.514493,1703406428.515082,36.000000,0.000000,4200.641113,4163.077148,4265.897461,4229.615234,4161.025879,4197.307617,4216.282227,4173.589844,4154.615234,4155.128418,4615.384766,4450.000000,4414.102539,4508.846191,0.000000,4.000000,79.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,9.000000,0.000000,0.607080,0.271973,-0.636353,0.390564,0.984984,-0.164083,0.044927,-12.830579,-44.067181,64.171013
1703406428.522301,1703406428.522790,37.000000,0.000000,4210.641113,4166.922852,4268.461426,4233.077148,4169.230957,4198.589844,4218.589844,4179.230957,4162.307617,4165.769043,4622.820313,4461.410156,4425.256348,4516.025879,0.000000,4.000000,79.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406428.530109,1703406428.530598,38.000000,0.000000,4212.179688,4156.794922,4269.102539,4227.307617,4168.717773,4197.948730,4218.205078,4175.512695,4168.333496,4171.282227,4628.205078,4461.538574,4438.589844,4520.128418,0.000000,4.000000,79.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406428.537917,1703406428.538306,39.000000,0.000000,4206.025879,4147.307617,4271.282227,4222.692383,4165.769043,4187.307617,4215.769043,4168.846191,4164.871582,4168.077148,4630.256348,4458.846191,4441.410156,4517.820313,0.000000,4.000000,79.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406428.545725,1703406428.546214,40.000000,0.000000,4211.794922,4152.948730,4277.820313,4229.102539,4167.820313,4185.641113,4214.358887,4168.333496,4162.563965,4171.666504,4636.282227,4461.153809,4445.769043,4521.153809,0.000000,4.000000,79.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,10.000000,0.000000,0.607058,0.271606,-0.636230,0.391052,0.987914,-0.156269,0.041997,-12.914188,-44.110462,64.270584
1703406428.553533,1703406428.554022,41.000000,0.000000,4214.102539,4151.153809,4276.922852,4229.358887,4169.230957,4195.384766,4216.025879,4168.717773,4166.025879,4173.333496,4636.025879,4461.666504,4446.282227,4524.102539,0.000000,4.000000,79.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406428.561341,1703406428.561930,42.000000,0.000000,4202.051270,4136.410156,4271.922852,4224.871582,4166.794922,4192.307617,4216.794922,4171.794922,4168.461426,4169.871582,4632.948730,4459.871582,4441.922852,4519.615234,0.000000,4.000000,79.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406428.569149,1703406428.569738,43.000000,0.000000,4198.333496,4134.358887,4275.000000,4226.025879,4159.102539,4185.000000,4217.179688,4183.333496,4172.820313,4175.897461,4641.922852,4461.282227,4448.461426,4519.487305,0.000000,4.000000,79.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
