title:شويكي اسفل, start timestamp:1703500681.538464, stop timestamp:1703500692.321377, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1382      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703500681.538464,1703500681.538533,53.000000,0.000000,4254.230957,4291.794922,4320.769043,4296.282227,4284.743652,4207.307617,4281.538574,4321.410156,4280.769043,4280.641113,4541.666504,4462.436035,4413.077148,4390.128418,0.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500681.546272,1703500681.546442,54.000000,0.000000,4261.025879,4295.641113,4320.641113,4297.692383,4277.436035,4212.692383,4277.307617,4318.589844,4281.538574,4285.128418,4540.897461,4461.282227,4412.563965,4396.922852,0.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500681.554080,1703500681.554250,55.000000,0.000000,4264.358887,4292.051270,4323.846191,4301.410156,4279.487305,4213.077148,4278.077148,4311.282227,4276.794922,4288.333496,4538.205078,4461.922852,4409.487305,4405.641113,0.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500681.561888,1703500681.562158,56.000000,0.000000,4270.512695,4293.205078,4329.358887,4306.025879,4279.743652,4206.666504,4281.153809,4304.871582,4265.384766,4278.205078,4535.384766,4459.487305,4411.153809,4406.538574,0.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,14.000000,0.000000,0.635713,0.276062,-0.635315,0.340637,1.000122,-0.097180,0.044927,-12.724786,-36.309078,62.469696
1703500681.569696,1703500681.569966,57.000000,0.000000,4271.410156,4297.948730,4327.820313,4303.846191,4278.077148,4204.358887,4279.230957,4295.897461,4257.820313,4261.922852,4527.436035,4450.256348,4411.794922,4398.974121,0.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500681.577504,1703500681.577874,58.000000,0.000000,4269.871582,4297.307617,4326.153809,4298.077148,4283.333496,4204.358887,4272.692383,4291.794922,4261.153809,4262.051270,4528.077148,4451.794922,4411.794922,4398.589844,0.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500681.585312,1703500681.585681,59.000000,0.000000,4278.717773,4293.717773,4332.307617,4299.230957,4279.871582,4199.871582,4268.589844,4294.871582,4262.820313,4276.666504,4536.794922,4461.282227,4412.948730,4407.051270,0.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500681.593120,1703500681.593589,60.000000,0.000000,4280.512695,4293.589844,4333.461426,4302.179688,4278.461426,4200.256348,4270.897461,4293.974121,4263.846191,4282.820313,4538.461426,4456.410156,4412.948730,4404.230957,0.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,15.000000,0.000000,0.635788,0.276245,-0.635193,0.340576,0.987914,-0.095715,0.034672,-12.752308,-36.278172,62.506058
1703500681.600928,1703500681.601397,61.000000,0.000000,4267.436035,4294.743652,4325.384766,4298.589844,4288.974121,4206.666504,4275.128418,4293.333496,4274.102539,4282.563965,4538.589844,4450.256348,4415.641113,4400.000000,0.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500681.608736,1703500681.609305,62.000000,0.000000,4261.410156,4291.410156,4324.487305,4294.743652,4286.794922,4210.512695,4273.846191,4302.948730,4286.538574,4296.025879,4543.461426,4458.846191,4419.487305,4407.692383,0.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500681.616544,1703500681.617113,63.000000,0.000000,4268.589844,4285.769043,4325.384766,4296.025879,4275.256348,4212.820313,4268.589844,4313.077148,4292.307617,4303.205078,4542.692383,4461.282227,4416.794922,4409.743652,0.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500681.624352,1703500681.625021,64.000000,0.000000,4272.051270,4285.256348,4320.897461,4295.769043,4280.512695,4217.563965,4271.666504,4313.205078,4290.769043,4281.922852,4536.538574,4449.102539,4411.538574,4402.692383,5631.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,16.000000,0.000000,0.635953,0.276306,-0.635132,0.340332,0.993285,-0.083995,0.032719,-12.827077,-36.250355,62.505455
1703500681.632161,1703500681.632829,65.000000,0.000000,4267.820313,4286.538574,4320.641113,4294.743652,4286.922852,4218.846191,4279.230957,4310.256348,4289.358887,4274.230957,4535.384766,4443.333496,4410.897461,4396.282227,5581.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500681.639969,1703500681.640737,66.000000,0.000000,4262.948730,4283.333496,4323.205078,4296.794922,4278.974121,4217.307617,4278.717773,4313.846191,4289.230957,4290.256348,4538.333496,4452.051270,4411.538574,4395.128418,5430.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500681.647776,1703500681.648645,67.000000,0.000000,4265.128418,4281.410156,4324.102539,4296.538574,4280.384766,4218.333496,4277.436035,4312.692383,4280.384766,4290.128418,4534.871582,4457.307617,4405.384766,4398.461426,5414.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500681.655585,1703500681.656453,68.000000,0.000000,4272.051270,4281.538574,4324.615234,4295.769043,4277.948730,4213.205078,4278.333496,4301.025879,4265.769043,4271.153809,4522.948730,4449.102539,4396.666504,4394.487305,5347.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,17.000000,0.000000,0.635919,0.276245,-0.635193,0.340332,0.984984,-0.077158,0.034672,-12.911036,-36.375317,62.354908
1703500681.663393,1703500681.664261,69.000000,0.000000,4274.743652,4280.897461,4324.487305,4296.794922,4262.179688,4202.051270,4273.077148,4291.153809,4259.230957,4262.692383,4516.410156,4440.384766,4392.563965,4384.487305,5315.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500681.671201,1703500681.671969,70.000000,0.000000,4274.615234,4283.717773,4325.000000,4298.717773,4272.820313,4203.846191,4271.282227,4293.717773,4263.846191,4269.871582,4524.871582,4445.641113,4397.692383,4391.538574,4487.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500681.679009,1703500681.679777,71.000000,0.000000,4278.077148,4291.025879,4325.512695,4303.205078,4292.692383,4215.384766,4276.153809,4301.282227,4272.948730,4282.179688,4534.487305,4458.077148,4407.179688,4409.615234,5233.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500681.686817,1703500681.687486,72.000000,0.000000,4288.205078,4295.512695,4330.256348,4310.256348,4285.769043,4216.025879,4277.692383,4304.358887,4280.512695,4293.589844,4539.487305,4465.512695,4415.769043,4416.153809,5420.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.000000,100.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,18.000000,0.000000,0.635780,0.276123,-0.635254,0.340576,0.993285,-0.086925,0.039067,-12.969933,-36.371120,62.452751
1703500681.694625,1703500681.695293,73.000000,0.000000,4295.769043,4296.282227,4336.025879,4312.692383,4278.205078,4210.128418,4273.974121,4301.153809,4280.512695,4293.461426,4546.794922,4465.897461,4421.538574,4416.153809,5442.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500681.702433,1703500681.703002,74.000000,0.000000,4294.615234,4296.025879,4337.692383,4310.512695,4286.153809,4213.974121,4270.897461,4298.205078,4277.820313,4289.871582,4553.077148,4466.153809,4420.641113,4419.230957,6070.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500681.710241,1703500681.710810,75.000000,0.000000,4294.230957,4296.025879,4340.641113,4311.282227,4282.948730,4220.000000,4273.846191,4303.589844,4283.589844,4296.153809,4555.256348,4473.589844,4417.948730,4420.128418,6329.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500681.718049,1703500681.718518,76.000000,0.000000,4293.461426,4297.051270,4341.538574,4312.692383,4274.230957,4218.846191,4275.897461,4310.897461,4288.846191,4297.563965,4554.230957,4473.717773,4418.846191,4415.769043,6860.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,19.000000,0.000000,0.635570,0.275940,-0.635315,0.341003,0.984495,-0.080576,0.039067,-13.122939,-36.350674,62.474144
1703500681.725857,1703500681.726326,77.000000,0.000000,4291.922852,4290.512695,4336.922852,4310.641113,4278.589844,4216.410156,4273.846191,4309.743652,4281.922852,4287.307617,4549.615234,4464.615234,4415.384766,4413.077148,7416.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
