title:فاكهاني اسفل, start timestamp:1703490551.220813, stop timestamp:1703490562.198937, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1407      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703490551.220813,1703490551.221034,18.000000,0.000000,4304.743652,4225.128418,4301.794922,4262.436035,4242.692383,4272.692383,4427.307617,4290.128418,4244.487305,4206.538574,4443.461426,4460.512695,4319.743652,4406.666504,0.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490551.228621,1703490551.228742,19.000000,0.000000,4313.205078,4227.051270,4298.205078,4259.230957,4237.820313,4264.230957,4426.410156,4295.000000,4248.717773,4208.974121,4451.922852,4463.846191,4324.487305,4407.436035,0.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490551.236429,1703490551.236550,20.000000,0.000000,4327.179688,4222.179688,4301.922852,4266.282227,4234.615234,4257.436035,4425.897461,4297.820313,4260.256348,4207.307617,4457.820313,4468.589844,4321.153809,4416.666504,0.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,5.000000,0.000000,0.702969,-0.039917,-0.688293,-0.174622,0.989379,0.173361,0.043951,-20.295530,-32.998936,64.665619
1703490551.244237,1703490551.244258,21.000000,0.000000,4334.230957,4222.948730,4311.666504,4275.512695,4234.615234,4251.153809,4420.769043,4301.025879,4270.384766,4216.538574,4458.846191,4469.230957,4326.794922,4425.256348,0.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490551.252046,1703490551.252166,22.000000,0.000000,4333.846191,4227.436035,4309.102539,4272.948730,4228.589844,4242.948730,4412.436035,4298.846191,4278.717773,4227.692383,4464.230957,4465.256348,4337.436035,4415.769043,0.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490551.259853,1703490551.259974,23.000000,0.000000,4326.794922,4227.820313,4299.871582,4264.615234,4225.128418,4239.358887,4406.794922,4293.333496,4283.846191,4222.436035,4462.179688,4463.846191,4325.641113,4403.846191,0.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490551.267661,1703490551.267882,24.000000,0.000000,4328.077148,4234.743652,4298.461426,4265.897461,4232.436035,4252.820313,4407.948730,4296.666504,4289.102539,4220.769043,4450.256348,4462.820313,4310.641113,4407.179688,0.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,6.000000,0.000000,0.702943,-0.039856,-0.688354,-0.174500,0.983030,0.172873,0.042974,-20.099312,-32.965710,64.732391
1703490551.275470,1703490551.275690,25.000000,0.000000,4332.563965,4236.794922,4298.333496,4270.256348,4241.794922,4276.282227,4416.666504,4302.179688,4293.846191,4228.717773,4445.641113,4457.563965,4313.846191,4400.641113,0.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490551.283278,1703490551.283598,26.000000,0.000000,4316.538574,4227.436035,4287.563965,4265.256348,4246.410156,4290.769043,4424.871582,4297.051270,4286.025879,4222.563965,4446.282227,4453.461426,4311.794922,4378.974121,0.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490551.291086,1703490551.291406,27.000000,0.000000,4300.897461,4224.102539,4278.333496,4261.538574,4248.205078,4299.615234,4425.769043,4289.615234,4270.128418,4207.307617,4439.615234,4450.128418,4298.717773,4375.256348,0.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
