title:محمد اسفل, start timestamp:1703415311.449288, stop timestamp:1703415322.263437, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1386      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703415311.449288,1703415311.449093,21.000000,0.000000,4213.461426,4219.358887,4284.487305,4264.230957,4225.384766,4847.820313,4351.282227,4182.051270,4177.307617,4160.512695,4508.205078,4441.794922,4345.256348,4480.641113,0.000000,2.000000,54.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415311.457096,1703415311.457001,22.000000,0.000000,4204.358887,4214.615234,4270.897461,4259.871582,4223.717773,4834.615234,4350.256348,4185.769043,4181.794922,4168.333496,4495.000000,4432.692383,4339.743652,4470.512695,0.000000,2.000000,54.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415311.464904,1703415311.464810,23.000000,0.000000,4203.717773,4215.512695,4261.666504,4260.641113,4229.743652,4824.102539,4351.410156,4184.743652,4184.615234,4169.487305,4490.000000,4421.282227,4331.025879,4458.333496,0.000000,2.000000,54.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415311.472712,1703415311.472718,24.000000,0.000000,4203.589844,4215.769043,4259.358887,4258.846191,4223.717773,4810.897461,4351.282227,4188.461426,4182.436035,4170.256348,4501.538574,4420.512695,4336.538574,4456.153809,0.000000,2.000000,54.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,6.000000,0.000000,0.723151,0.214050,-0.598877,0.269409,0.975705,-0.007813,0.185081,-17.631865,-41.067806,70.674232
1703415311.480520,1703415311.480526,25.000000,0.000000,4207.051270,4219.871582,4266.666504,4260.128418,4216.922852,4800.128418,4353.333496,4199.230957,4190.000000,4182.179688,4510.000000,4435.384766,4350.256348,4459.743652,0.000000,2.000000,54.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415311.488328,1703415311.488434,26.000000,0.000000,4217.820313,4219.230957,4276.538574,4263.589844,4231.025879,4796.666504,4358.205078,4203.974121,4202.436035,4193.333496,4509.615234,4442.692383,4355.769043,4466.153809,0.000000,2.000000,54.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415311.496136,1703415311.496342,27.000000,0.000000,4223.974121,4217.563965,4279.487305,4266.538574,4238.846191,4786.025879,4356.922852,4205.128418,4209.871582,4201.025879,4514.102539,4436.794922,4357.563965,4479.743652,0.000000,2.000000,54.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415311.503944,1703415311.504150,28.000000,0.000000,4210.897461,4227.692383,4273.589844,4268.717773,4229.871582,4767.051270,4347.820313,4202.436035,4206.153809,4203.077148,4510.512695,4429.615234,4353.205078,4468.461426,0.000000,2.000000,54.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,7.000000,0.000000,0.723170,0.214233,-0.598816,0.269348,0.951776,-0.009767,0.176779,-17.668678,-41.244358,70.540146
1703415311.511752,1703415311.511959,29.000000,0.000000,4203.461426,4232.563965,4272.307617,4269.487305,4228.461426,4753.846191,4341.922852,4191.025879,4193.205078,4191.794922,4496.410156,4429.230957,4341.922852,4438.589844,0.000000,2.000000,54.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415311.519560,1703415311.519667,30.000000,0.000000,4209.230957,4221.410156,4276.538574,4272.563965,4230.256348,4746.410156,4342.563965,4183.717773,4190.384766,4181.025879,4496.538574,4427.051270,4338.333496,4441.922852,0.000000,2.000000,54.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
