title:مريان اسفل, start timestamp:1703413703.183138, stop timestamp:1703413713.950442, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1380      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703413703.183138,1703413703.183734,12.000000,0.000000,4306.153809,4210.128418,4282.051270,4267.692383,4241.922852,4217.179688,4318.205078,4231.794922,4225.641113,4234.871582,4533.589844,4466.410156,4375.000000,4431.282227,6492.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,3.000000,0.000000,0.369630,0.616272,-0.269653,0.640991,0.978635,0.120132,0.102552,-19.301641,-33.195004,65.417000
1703413703.190946,1703413703.191442,13.000000,0.000000,4316.282227,4228.077148,4286.282227,4268.205078,4256.282227,4215.512695,4321.153809,4235.256348,4239.102539,4252.051270,4531.794922,4465.897461,4365.256348,4435.000000,6509.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413703.198754,1703413703.199250,14.000000,0.000000,4297.563965,4227.692383,4283.717773,4268.077148,4255.641113,4215.128418,4323.077148,4239.358887,4232.692383,4250.128418,4530.384766,4452.436035,4354.358887,4424.871582,5860.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413703.206563,1703413703.206958,15.000000,0.000000,4288.974121,4213.846191,4290.897461,4278.205078,4245.641113,4212.436035,4319.102539,4238.077148,4219.230957,4236.410156,4547.692383,4461.922852,4364.487305,4433.974121,6067.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413703.214371,1703413703.214766,16.000000,0.000000,4301.410156,4215.000000,4296.922852,4282.179688,4248.717773,4214.230957,4318.077148,4239.358887,4225.256348,4230.256348,4561.282227,4480.000000,4368.589844,4448.974121,0.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,4.000000,0.000000,0.369719,0.616272,-0.269531,0.640991,0.991820,0.125504,0.097180,-19.238144,-33.175503,65.458633
1703413703.222179,1703413703.222474,17.000000,0.000000,4298.333496,4220.897461,4285.769043,4277.692383,4246.153809,4213.589844,4319.102539,4240.384766,4231.153809,4233.974121,4533.205078,4467.179688,4367.692383,4429.487305,0.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413703.229987,1703413703.230282,18.000000,0.000000,4302.051270,4214.743652,4284.230957,4274.230957,4232.179688,4201.794922,4314.615234,4236.282227,4220.256348,4230.512695,4521.282227,4459.230957,4366.538574,4415.897461,0.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413703.237795,1703413703.237990,19.000000,0.000000,4311.410156,4207.563965,4292.692383,4282.436035,4230.256348,4198.461426,4311.922852,4231.922852,4215.384766,4224.743652,4549.487305,4472.692383,4353.974121,4427.051270,0.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413703.245603,1703413703.245798,20.000000,0.000000,4299.743652,4203.974121,4292.436035,4282.179688,4234.358887,4202.692383,4309.358887,4230.512695,4217.307617,4224.358887,4544.230957,4469.230957,4349.743652,4427.436035,0.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,5.000000,0.000000,0.369710,0.616394,-0.269409,0.640930,0.971798,0.133805,0.099133,-19.114328,-33.174622,65.212769
1703413703.253411,1703413703.253506,21.000000,0.000000,4297.692383,4204.230957,4292.051270,4277.436035,4231.282227,4198.077148,4305.769043,4231.153809,4215.128418,4225.384766,4513.205078,4463.333496,4361.794922,4422.692383,0.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
