title:منى اسفل, start timestamp:1703411462.389770, stop timestamp:1703411473.867602, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1471      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703411462.389770,1703411462.390203,85.000000,0.000000,4278.461426,4220.256348,4316.922852,4285.128418,4188.461426,4151.666504,4222.563965,4159.358887,4137.820313,4137.307617,4604.102539,4482.179688,4386.025879,4565.769043,6967.000000,3.000000,64.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411462.397578,1703411462.398110,86.000000,0.000000,4281.794922,4217.563965,4319.230957,4286.410156,4178.077148,4149.615234,4215.000000,4161.282227,4136.538574,4123.461426,4602.820313,4478.589844,4380.769043,4562.948730,5975.000000,3.000000,64.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411462.405386,1703411462.405918,87.000000,0.000000,4280.128418,4223.717773,4315.897461,4285.256348,4174.230957,4148.717773,4215.641113,4167.307617,4148.333496,4141.153809,4599.615234,4481.153809,4376.282227,4564.871582,6115.000000,3.000000,64.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411462.413194,1703411462.413826,88.000000,0.000000,4269.487305,4215.641113,4307.307617,4273.974121,4180.641113,4156.794922,4225.000000,4168.589844,4152.948730,4157.820313,4590.256348,4474.871582,4364.102539,4553.461426,6626.000000,3.000000,64.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,22.000000,0.000000,0.689370,0.178406,-0.657166,0.247131,0.990844,-0.080088,0.054206,-15.379108,-41.196320,66.067291
1703411462.421002,1703411462.421634,89.000000,0.000000,4261.025879,4206.666504,4304.358887,4262.436035,4186.025879,4171.538574,4230.641113,4166.666504,4158.205078,4140.769043,4581.282227,4463.333496,4350.769043,4538.717773,6967.000000,3.000000,64.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411462.428810,1703411462.429442,90.000000,0.000000,4260.897461,4210.384766,4298.846191,4261.538574,4190.512695,4178.333496,4232.436035,4168.461426,4168.205078,4127.948730,4577.051270,4458.846191,4351.153809,4538.205078,5975.000000,3.000000,64.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411462.436618,1703411462.437250,91.000000,0.000000,4253.717773,4208.205078,4284.743652,4260.512695,4193.333496,4176.538574,4233.077148,4169.230957,4174.102539,4143.077148,4569.743652,4450.256348,4348.846191,4532.179688,6115.000000,3.000000,64.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411462.444426,1703411462.444958,92.000000,0.000000,4244.358887,4197.563965,4280.256348,4256.153809,4187.692383,4175.128418,4230.641113,4168.589844,4170.769043,4141.538574,4564.358887,4441.538574,4339.615234,4520.512695,6626.000000,3.000000,64.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,23.000000,0.000000,0.689224,0.178772,-0.657288,0.246948,0.980100,-0.072274,0.063973,-15.274531,-41.176685,66.077225
1703411462.452234,1703411462.452766,93.000000,0.000000,4247.436035,4198.589844,4285.769043,4256.922852,4182.820313,4169.487305,4224.743652,4170.897461,4169.615234,4142.820313,4571.025879,4447.179688,4346.025879,4522.179688,6967.000000,3.000000,64.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411462.460042,1703411462.460474,94.000000,0.000000,4256.666504,4211.410156,4295.256348,4267.179688,4186.025879,4158.077148,4219.871582,4173.333496,4172.436035,4167.820313,4585.000000,4458.461426,4364.743652,4533.333496,5975.000000,3.000000,64.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
