title:شاهين اسفل, start timestamp:1703488385.341393, stop timestamp:1703488396.155526, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1386      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703488385.341393,1703488385.341710,106.000000,0.000000,4280.512695,4257.563965,4295.128418,4282.563965,4256.282227,4265.256348,4278.205078,4249.871582,4230.641113,4223.461426,4510.512695,4508.333496,4351.538574,4431.666504,5836.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488385.349201,1703488385.349418,107.000000,0.000000,4267.563965,4246.794922,4286.922852,4275.000000,4245.769043,4262.692383,4274.487305,4250.384766,4236.025879,4230.641113,4499.487305,4497.948730,4344.871582,4419.102539,6244.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488385.357009,1703488385.357226,108.000000,0.000000,4260.384766,4231.025879,4279.743652,4263.333496,4229.102539,4254.358887,4271.666504,4247.436035,4235.000000,4223.974121,4488.589844,4487.948730,4335.000000,4408.333496,6718.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,27.000000,0.000000,0.670052,-0.134399,-0.709717,0.171082,0.890734,-0.409230,-0.041997,-6.332055,-45.414452,59.223347
1703488385.364817,1703488385.364934,109.000000,0.000000,4263.205078,4234.230957,4277.563965,4263.589844,4240.897461,4249.487305,4277.179688,4248.717773,4240.128418,4220.000000,4492.563965,4486.666504,4337.563965,4412.307617,6902.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488385.372625,1703488385.372842,110.000000,0.000000,4255.641113,4236.282227,4276.794922,4265.769043,4249.230957,4250.256348,4280.897461,4247.692383,4240.641113,4214.871582,4493.077148,4480.512695,4337.820313,4413.717773,5836.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488385.380433,1703488385.380650,111.000000,0.000000,4251.410156,4229.487305,4274.743652,4263.077148,4238.333496,4250.897461,4275.641113,4239.102539,4235.769043,4214.615234,4488.589844,4473.205078,4333.846191,4407.307617,6244.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488385.388241,1703488385.388458,112.000000,0.000000,4259.871582,4234.487305,4275.769043,4268.589844,4232.436035,4249.743652,4270.897461,4232.436035,4235.384766,4220.641113,4489.743652,4475.384766,4337.436035,4409.615234,6718.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,28.000000,0.000000,0.670054,-0.134399,-0.709656,0.171326,0.892199,-0.406300,-0.038091,-6.348849,-45.473007,59.167679
1703488385.396049,1703488385.396166,113.000000,0.000000,4266.538574,4248.974121,4285.000000,4278.333496,4235.384766,4248.717773,4273.974121,4231.153809,4234.615234,4221.410156,4493.589844,4482.051270,4343.205078,4415.256348,6902.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488385.403857,1703488385.404074,114.000000,0.000000,4274.102539,4253.461426,4295.769043,4281.794922,4235.512695,4248.846191,4274.230957,4230.128418,4232.179688,4217.948730,4500.897461,4486.666504,4347.948730,4416.666504,5836.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488385.411665,1703488385.411882,115.000000,0.000000,4278.333496,4245.641113,4293.717773,4280.769043,4230.128418,4249.615234,4273.717773,4227.563965,4228.077148,4219.102539,4502.179688,4488.077148,4347.692383,4415.256348,6244.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
