title:شويكي اعلى, start timestamp:1703501076.719585, stop timestamp:1703501087.533734, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1386      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703501076.719585,1703501076.720056,105.000000,0.000000,4212.179688,4227.692383,4298.974121,4305.512695,4294.743652,4292.692383,4287.051270,4294.743652,4301.410156,4340.256348,4558.974121,4474.102539,4446.794922,4555.384766,7489.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703501076.727393,1703501076.727764,106.000000,0.000000,4215.641113,4230.512695,4307.307617,4311.153809,4292.948730,4283.205078,4285.128418,4289.615234,4295.384766,4344.358887,4559.358887,4480.769043,4450.128418,4553.077148,6057.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703501076.735201,1703501076.735572,107.000000,0.000000,4215.256348,4225.897461,4309.871582,4311.666504,4286.538574,4278.333496,4280.128418,4277.179688,4281.794922,4352.179688,4549.358887,4475.000000,4441.410156,4551.794922,6290.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703501076.743009,1703501076.743280,108.000000,0.000000,4215.000000,4227.692383,4311.538574,4312.051270,4277.948730,4275.897461,4276.153809,4264.102539,4268.717773,4350.512695,4542.307617,4474.871582,4436.153809,4552.820313,6850.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,27.000000,0.000000,0.656737,0.215149,-0.660278,0.294006,0.995239,-0.102552,0.021975,-13.103469,-35.854805,61.005455
1703501076.750817,1703501076.751088,109.000000,0.000000,4220.000000,4232.820313,4312.436035,4310.128418,4281.025879,4272.179688,4278.333496,4258.717773,4260.897461,4339.102539,4536.410156,4477.307617,4428.461426,4541.794922,7489.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703501076.758626,1703501076.758796,110.000000,0.000000,4217.948730,4230.897461,4314.743652,4303.461426,4288.846191,4272.307617,4280.256348,4262.820313,4262.051270,4336.025879,4538.333496,4477.179688,4427.563965,4527.820313,6057.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703501076.766434,1703501076.766604,111.000000,0.000000,4205.512695,4227.820313,4316.666504,4296.666504,4286.282227,4277.563965,4279.871582,4265.384766,4272.436035,4340.384766,4548.846191,4477.948730,4440.000000,4522.948730,6290.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703501076.774242,1703501076.774312,112.000000,0.000000,4205.384766,4230.256348,4311.538574,4294.358887,4286.282227,4283.974121,4280.897461,4269.487305,4284.102539,4351.025879,4550.897461,4470.384766,4441.538574,4520.512695,6850.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,28.000000,0.000000,0.656983,0.215210,-0.660095,0.293823,0.984984,-0.095715,0.038579,-13.076455,-35.802658,60.838242
1703501076.782050,1703501076.782120,113.000000,0.000000,4215.128418,4232.820313,4307.307617,4293.205078,4295.256348,4290.512695,4284.871582,4285.128418,4297.051270,4361.410156,4551.538574,4457.307617,4434.102539,4517.563965,7489.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703501076.789858,1703501076.789828,114.000000,0.000000,4207.948730,4226.666504,4307.820313,4285.384766,4296.025879,4293.205078,4289.743652,4297.563965,4308.077148,4361.153809,4556.666504,4458.846191,4437.051270,4511.153809,6057.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
