title:صنجي اعلى, start timestamp:1703492885.399655, stop timestamp:1703492896.330925, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1401      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703492885.399655,1703492885.399964,103.000000,0.000000,4231.538574,4215.897461,4276.666504,4262.436035,4231.410156,4214.743652,4126.282227,4229.230957,4216.666504,4197.051270,4510.641113,4437.051270,4384.487305,4427.179688,6279.000000,4.000000,83.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492885.407463,1703492885.407672,104.000000,0.000000,4243.077148,4225.512695,4296.538574,4273.717773,4231.922852,4210.000000,4123.974121,4216.922852,4206.282227,4197.307617,4517.820313,4452.563965,4397.436035,4438.077148,6803.000000,4.000000,83.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,26.000000,0.000000,0.082265,0.655884,-0.095032,0.744324,0.982542,-0.015627,0.123550,-17.542381,-38.223389,66.029099
1703492885.415271,1703492885.415480,105.000000,0.000000,4254.230957,4234.615234,4315.128418,4283.461426,4236.666504,4202.307617,4120.641113,4203.846191,4191.410156,4205.256348,4530.384766,4469.102539,4415.897461,4448.333496,7327.000000,4.000000,83.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492885.423079,1703492885.423188,106.000000,0.000000,4267.692383,4245.897461,4323.846191,4297.307617,4245.897461,4201.538574,4125.000000,4189.871582,4172.051270,4196.794922,4535.256348,4476.410156,4415.512695,4450.128418,5958.000000,4.000000,83.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492885.430887,1703492885.431097,107.000000,0.000000,4278.461426,4261.153809,4331.922852,4311.538574,4258.974121,4212.948730,4133.333496,4182.692383,4173.717773,4201.282227,4541.025879,4481.410156,4425.128418,4461.282227,6279.000000,4.000000,83.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492885.438695,1703492885.438905,108.000000,0.000000,4286.794922,4268.974121,4337.436035,4315.769043,4267.436035,4227.051270,4137.692383,4192.051270,4204.487305,4228.333496,4559.230957,4493.589844,4452.563965,4479.102539,6803.000000,4.000000,83.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,27.000000,0.000000,0.082124,0.655884,-0.095154,0.744324,0.978635,-0.020510,0.120620,-17.554810,-38.184383,66.026184
1703492885.446503,1703492885.446813,109.000000,0.000000,4284.102539,4262.820313,4328.717773,4309.743652,4262.051270,4235.512695,4142.051270,4207.051270,4234.230957,4241.282227,4573.717773,4495.897461,4463.717773,4478.717773,7327.000000,4.000000,83.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492885.454311,1703492885.454621,110.000000,0.000000,4266.538574,4248.846191,4311.666504,4299.743652,4251.410156,4243.077148,4153.974121,4214.487305,4247.563965,4234.487305,4568.205078,4483.333496,4453.589844,4459.615234,5958.000000,4.000000,83.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492885.462119,1703492885.462429,111.000000,0.000000,4242.563965,4230.641113,4298.333496,4287.948730,4248.077148,4248.846191,4159.743652,4222.820313,4258.461426,4232.051270,4549.743652,4467.563965,4436.153809,4433.077148,6279.000000,4.000000,83.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492885.469927,1703492885.470137,112.000000,0.000000,4225.000000,4217.179688,4288.589844,4276.410156,4243.846191,4243.589844,4155.384766,4233.461426,4266.153809,4235.512695,4533.974121,4453.589844,4419.358887,4412.307617,6803.000000,4.000000,83.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,28.000000,0.000000,0.082333,0.655762,-0.095337,0.744385,0.983518,-0.029789,0.117202,-17.632662,-38.215946,65.923569
1703492885.477735,1703492885.478046,113.000000,0.000000,4217.563965,4210.256348,4280.128418,4265.641113,4233.333496,4234.743652,4153.974121,4238.717773,4256.410156,4231.282227,4525.897461,4445.769043,4410.897461,4403.589844,7327.000000,4.000000,83.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492885.485544,1703492885.485854,114.000000,0.000000,4208.461426,4201.666504,4269.871582,4251.410156,4230.512695,4228.974121,4155.769043,4237.051270,4237.563965,4220.769043,4521.025879,4442.692383,4402.948730,4395.000000,5958.000000,4.000000,83.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
