title:عمار اعلى, start timestamp:1703503016.334598, stop timestamp:1703503027.070674, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1376      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703503016.334598,1703503748.176401,125.000000,0.000000,4265.128418,4264.358887,4312.051270,4350.641113,4279.102539,4274.487305,4251.922852,4311.666504,4281.922852,4304.230957,4549.358887,4508.589844,4418.077148,4454.358887,7239.000000,3.000000,61.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503016.342406,1703503748.184109,126.000000,0.000000,4262.179688,4263.077148,4310.000000,4342.436035,4281.794922,4273.333496,4250.128418,4310.512695,4279.871582,4306.922852,4556.794922,4514.743652,4427.948730,4460.128418,6048.000000,3.000000,61.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503016.350214,1703503748.191917,127.000000,0.000000,4258.205078,4262.307617,4307.563965,4346.538574,4283.333496,4272.692383,4249.102539,4298.717773,4266.794922,4291.922852,4540.256348,4507.179688,4408.461426,4447.692383,61.000000,3.000000,61.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503016.358022,1703503748.199625,0.000000,0.000000,4256.922852,4255.512695,4309.487305,4347.948730,4277.948730,4272.051270,4251.666504,4290.641113,4258.717773,4280.897461,4527.307617,4498.077148,4401.025879,4440.897461,5267.000000,3.000000,61.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,0.431194,0.542297,-0.420227,0.585999,1.004517,-0.041509,0.063973,-15.483504,-38.480549,61.518887
1703503016.365830,1703503748.207433,1.000000,0.000000,4255.000000,4252.692383,4307.820313,4343.077148,4274.102539,4266.922852,4251.282227,4292.051270,4259.743652,4283.589844,4531.153809,4495.897461,4407.820313,4443.846191,5512.000000,3.000000,61.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503016.373638,1703503748.215141,2.000000,0.000000,4253.077148,4260.128418,4301.153809,4340.128418,4275.769043,4266.794922,4248.974121,4293.461426,4261.794922,4289.358887,4538.205078,4497.179688,4407.692383,4445.256348,5395.000000,3.000000,61.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503016.381446,1703503748.223049,3.000000,0.000000,4250.641113,4264.102539,4296.025879,4338.589844,4277.179688,4275.512695,4255.256348,4293.589844,4263.846191,4287.948730,4535.256348,4495.512695,4400.128418,4438.333496,5385.000000,3.000000,61.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503016.389254,1703503748.230857,4.000000,0.000000,4248.333496,4260.769043,4295.000000,4333.846191,4274.743652,4276.153809,4257.179688,4293.333496,4260.128418,4277.948730,4519.871582,4489.358887,4387.307617,4428.461426,5308.000000,3.000000,61.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,1.000000,0.000000,0.431177,0.542358,-0.420166,0.585999,0.986449,-0.022952,0.066903,-15.368487,-38.432495,61.617001
1703503016.397062,1703503748.238765,5.000000,0.000000,4248.589844,4258.077148,4294.230957,4329.487305,4270.897461,4274.487305,4250.000000,4291.794922,4263.205078,4275.256348,4516.538574,4489.615234,4387.307617,4433.717773,4966.000000,3.000000,61.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503016.404870,1703503748.246573,6.000000,0.000000,4247.307617,4251.666504,4292.563965,4327.820313,4270.256348,4275.128418,4249.615234,4299.102539,4279.102539,4284.871582,4528.077148,4496.922852,4400.128418,4441.025879,3909.000000,3.000000,61.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
