title:فارس اعلى, start timestamp:1703505137.022393, stop timestamp:1703505147.688194, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1367      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703505137.022393,1703505137.023546,68.000000,0.000000,4290.384766,4263.974121,4309.358887,4321.666504,4292.436035,4264.230957,4253.974121,4273.205078,4260.000000,4260.128418,4540.384766,4469.615234,4359.743652,4430.641113,5298.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,17.000000,0.000000,0.339169,-0.717224,-0.128418,-0.595032,0.923453,-0.309120,-0.049811,-7.350456,-45.402328,57.880192
1703505137.030201,1703505137.031354,69.000000,0.000000,4288.077148,4264.102539,4310.512695,4315.512695,4295.384766,4260.641113,4246.922852,4273.717773,4260.000000,4255.384766,4529.230957,4463.589844,4356.410156,4425.897461,5135.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703505137.038009,1703505137.039162,70.000000,0.000000,4285.128418,4258.333496,4310.641113,4304.230957,4293.974121,4256.538574,4247.436035,4271.025879,4254.102539,4252.179688,4526.666504,4464.871582,4356.794922,4428.974121,3869.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703505137.045817,1703505137.046870,71.000000,0.000000,4282.948730,4249.487305,4308.077148,4296.410156,4295.256348,4250.384766,4248.461426,4267.820313,4247.179688,4249.743652,4523.333496,4470.000000,4360.897461,4430.897461,5160.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703505137.053625,1703505137.054678,72.000000,0.000000,4281.922852,4250.256348,4307.179688,4295.769043,4293.846191,4249.487305,4247.436035,4268.589844,4247.436035,4247.563965,4520.256348,4476.025879,4361.410156,4436.538574,5420.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,18.000000,0.000000,0.338888,-0.716553,-0.126953,-0.596313,0.936638,-0.306678,-0.045416,-7.415410,-45.362095,57.825508
1703505137.061433,1703505137.062386,73.000000,0.000000,4280.256348,4251.666504,4304.615234,4297.051270,4289.871582,4251.153809,4248.077148,4268.077148,4245.897461,4244.487305,4519.615234,4471.794922,4353.589844,4435.512695,5519.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703505137.069241,1703505137.070294,74.000000,0.000000,4281.282227,4251.025879,4299.487305,4295.000000,4290.897461,4250.769043,4245.897461,4269.743652,4247.692383,4246.922852,4525.769043,4466.153809,4356.666504,4432.051270,6070.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703505137.077049,1703505137.078102,75.000000,0.000000,4278.461426,4244.743652,4296.666504,4284.102539,4287.051270,4246.666504,4241.153809,4270.641113,4250.384766,4250.256348,4521.666504,4460.384766,4356.282227,4426.153809,6389.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703505137.084857,1703505137.085910,76.000000,0.000000,4273.205078,4234.102539,4293.717773,4273.077148,4277.179688,4239.230957,4236.282227,4265.384766,4244.871582,4244.871582,4506.922852,4451.025879,4344.615234,4416.922852,6883.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,19.000000,0.000000,0.339475,-0.716003,-0.125610,-0.596924,0.951776,-0.314980,-0.053229,-7.390536,-45.325886,57.942955
1703505137.092665,1703505137.093618,77.000000,0.000000,4274.487305,4236.666504,4295.512695,4272.436035,4277.948730,4235.128418,4236.794922,4262.820313,4245.769043,4242.948730,4512.051270,4452.563965,4349.615234,4419.871582,7196.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703505137.100473,1703505137.101426,78.000000,0.000000,4279.871582,4245.641113,4302.179688,4275.256348,4283.717773,4235.512695,4240.769043,4265.384766,4251.538574,4250.641113,4524.230957,4460.384766,4355.384766,4425.256348,6070.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703505137.108281,1703505137.109134,79.000000,0.000000,4278.461426,4239.102539,4297.179688,4271.153809,4279.230957,4232.563965,4236.410156,4264.615234,4246.153809,4250.256348,4516.666504,4454.871582,4343.974121,4417.820313,6389.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703505137.116089,1703505137.116942,80.000000,0.000000,4266.282227,4228.077148,4288.974121,4263.589844,4272.436035,4229.358887,4231.282227,4258.461426,4235.512695,4237.436035,4503.717773,4441.410156,4337.948730,4407.948730,6883.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,20.000000,0.000000,0.340820,-0.715698,-0.124573,-0.596741,0.936638,-0.343792,-0.039556,-7.434815,-45.276630,57.981995
1703505137.123897,1703505137.124650,81.000000,0.000000,4261.794922,4233.333496,4293.077148,4260.128418,4273.717773,4233.205078,4235.128418,4250.512695,4232.179688,4230.512695,4503.205078,4437.307617,4339.230957,4404.358887,7196.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703505137.131705,1703505137.132458,82.000000,0.000000,4270.384766,4240.384766,4297.051270,4261.025879,4279.358887,4234.358887,4236.922852,4247.179688,4233.589844,4231.538574,4506.025879,4442.179688,4335.128418,4404.743652,6070.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703505137.139514,1703505137.140166,83.000000,0.000000,4279.615234,4239.102539,4297.051270,4264.487305,4278.589844,4228.846191,4231.922852,4250.641113,4230.256348,4224.487305,4505.384766,4448.333496,4332.051270,4411.922852,6389.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703505137.147322,1703505137.148074,84.000000,0.000000,4278.333496,4239.615234,4296.538574,4263.461426,4270.128418,4228.077148,4230.128418,4246.922852,4223.333496,4217.436035,4501.538574,4446.666504,4330.897461,4412.563965,6883.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,21.000000,0.000000,0.342016,-0.715454,-0.124451,-0.596375,0.942498,-0.352582,-0.038091,-7.391334,-45.348969,57.967129
1703505137.155130,1703505137.155882,85.000000,0.000000,4273.205078,4242.563965,4293.717773,4261.025879,4266.410156,4230.641113,4232.563965,4237.563965,4218.717773,4215.897461,4495.897461,4436.666504,4330.256348,4408.717773,7196.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703505137.162938,1703505137.163790,86.000000,0.000000,4275.769043,4242.436035,4291.538574,4263.333496,4260.769043,4228.333496,4227.051270,4230.000000,4211.922852,4207.436035,4486.282227,4427.820313,4324.743652,4407.948730,6070.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703505137.170746,1703505137.171598,87.000000,0.000000,4278.846191,4239.743652,4288.717773,4265.128418,4252.948730,4227.692383,4215.897461,4228.846191,4208.974121,4206.666504,4485.769043,4430.000000,4321.153809,4409.743652,6389.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703505137.178554,1703505137.179506,88.000000,0.000000,4281.153809,4243.589844,4290.000000,4264.102539,4257.436035,4232.307617,4214.102539,4239.871582,4223.205078,4225.512695,4505.512695,4442.436035,4337.692383,4419.358887,6883.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,22.000000,0.000000,0.342419,-0.715454,-0.124512,-0.596130,0.922476,-0.366744,-0.048346,-7.518867,-45.247406,57.837082
1703505137.186362,1703505137.187314,89.000000,0.000000,4289.358887,4249.871582,4295.641113,4268.846191,4271.153809,4232.307617,4219.487305,4249.102539,4236.666504,4234.487305,4515.641113,4445.512695,4354.487305,4429.615234,7196.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703505137.194170,1703505137.195222,90.000000,0.000000,4296.282227,4250.512695,4295.641113,4276.410156,4271.794922,4234.615234,4223.846191,4247.820313,4234.743652,4229.487305,4513.205078,4447.692383,4349.487305,4438.846191,6070.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703505137.201978,1703505137.203030,91.000000,0.000000,4294.871582,4248.205078,4294.615234,4274.871582,4268.333496,4243.333496,4229.615234,4249.743652,4232.307617,4232.051270,4520.769043,4453.717773,4346.025879,4440.256348,6389.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703505137.209786,1703505137.210938,92.000000,0.000000,4293.333496,4248.205078,4297.051270,4267.820313,4270.897461,4245.897461,4233.846191,4259.358887,4237.948730,4238.461426,4528.461426,4454.358887,4355.641113,4436.153809,6883.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,23.000000,0.000000,0.342965,-0.715637,-0.124878,-0.595520,0.939079,-0.363326,-0.052252,-7.300314,-45.339333,57.903374
