title:فاكهاني اعلى, start timestamp:1703490936.626312, stop timestamp:1703490947.370194, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1377      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703490936.626312,1703490936.627357,98.000000,0.000000,4185.897461,4171.025879,4269.871582,4265.641113,4223.205078,4255.000000,4303.461426,4280.128418,4243.589844,4205.384766,4440.641113,4425.384766,4311.666504,4372.179688,5968.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490936.634120,1703490936.635265,99.000000,0.000000,4201.410156,4178.077148,4278.589844,4273.461426,4225.128418,4248.077148,4297.179688,4275.641113,4230.897461,4200.512695,4442.820313,4430.897461,4313.589844,4386.153809,5629.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490936.641929,1703490936.643073,100.000000,0.000000,4216.282227,4188.333496,4291.922852,4281.794922,4231.538574,4238.077148,4294.743652,4266.538574,4219.871582,4196.538574,4448.205078,4437.563965,4322.820313,4399.487305,5911.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,25.000000,0.000000,0.672311,-0.120789,-0.691284,-0.235657,0.986937,0.164083,0.018069,-18.941742,-33.493092,63.685841
1703490936.649737,1703490936.650981,101.000000,0.000000,4210.128418,4193.846191,4289.102539,4285.512695,4228.717773,4226.410156,4283.077148,4258.333496,4203.589844,4188.589844,4446.410156,4436.538574,4324.615234,4396.666504,2919.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490936.657545,1703490936.658789,102.000000,0.000000,4213.974121,4196.153809,4285.128418,4288.974121,4225.641113,4228.974121,4276.282227,4259.871582,4197.307617,4188.077148,4442.692383,4432.307617,4322.948730,4393.205078,5968.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490936.665353,1703490936.666497,103.000000,0.000000,4221.666504,4195.641113,4283.974121,4287.307617,4226.666504,4236.538574,4277.948730,4263.461426,4208.461426,4195.000000,4435.897461,4431.282227,4317.307617,4393.846191,5629.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490936.673161,1703490936.674305,104.000000,0.000000,4213.974121,4195.384766,4277.051270,4280.641113,4233.077148,4240.384766,4278.589844,4270.128418,4227.692383,4208.717773,4437.179688,4429.102539,4314.743652,4390.000000,5911.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,26.000000,0.000000,0.672278,-0.120972,-0.691284,-0.235657,0.988890,0.166524,0.005860,-18.830900,-33.577118,63.567257
1703490936.680969,1703490936.682013,105.000000,0.000000,4207.820313,4196.666504,4275.897461,4278.461426,4240.641113,4248.077148,4285.769043,4281.153809,4246.794922,4226.282227,4452.436035,4427.820313,4325.897461,4388.846191,2919.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490936.688777,1703490936.689821,106.000000,0.000000,4206.794922,4193.974121,4277.307617,4277.820313,4239.230957,4257.692383,4296.794922,4282.692383,4257.948730,4233.846191,4458.974121,4428.205078,4330.000000,4390.769043,5968.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490936.696585,1703490936.697529,107.000000,0.000000,4199.487305,4184.487305,4271.410156,4273.205078,4237.436035,4261.922852,4299.487305,4281.410156,4258.846191,4227.563965,4449.743652,4427.307617,4314.487305,4382.436035,5629.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
