title:مريان اعلى, start timestamp:1703414122.538106, stop timestamp:1703414133.258563, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1374      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703414122.538106,1703414122.539025,88.000000,0.000000,4236.025879,4230.256348,4288.846191,4280.128418,4246.666504,4233.077148,4274.871582,4252.692383,4246.282227,4222.436035,4494.102539,4453.077148,4333.077148,4417.307617,6513.000000,3.000000,57.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,22.000000,0.000000,0.313119,0.641418,-0.230652,0.661316,0.995727,0.096203,0.070321,-18.441200,-35.425938,66.687988
1703414122.545914,1703414122.546733,89.000000,0.000000,4233.589844,4232.179688,4291.666504,4274.358887,4253.333496,4252.820313,4281.538574,4252.051270,4238.205078,4212.307617,4493.589844,4447.563965,4330.128418,4413.846191,6596.000000,3.000000,57.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703414122.553722,1703414122.554541,90.000000,0.000000,4233.205078,4229.358887,4284.615234,4274.230957,4248.205078,4248.589844,4279.743652,4236.922852,4229.871582,4213.589844,4495.769043,4441.794922,4325.769043,4413.077148,5863.000000,3.000000,57.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703414122.561530,1703414122.562249,91.000000,0.000000,4243.717773,4227.051270,4293.333496,4283.461426,4244.615234,4238.846191,4275.897461,4236.538574,4231.538574,4218.077148,4506.922852,4454.615234,4335.512695,4427.051270,6030.000000,3.000000,57.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703414122.569338,1703414122.570057,92.000000,0.000000,4251.153809,4238.717773,4297.179688,4294.358887,4248.461426,4237.051270,4274.487305,4247.179688,4234.615234,4222.948730,4513.077148,4463.974121,4344.230957,4431.153809,6513.000000,3.000000,57.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,23.000000,0.000000,0.313039,0.641479,-0.230591,0.661316,0.974240,0.098645,0.064949,-18.313747,-35.333344,66.569191
1703414122.577146,1703414122.577765,93.000000,0.000000,4249.102539,4253.461426,4292.436035,4297.692383,4250.128418,4233.461426,4274.358887,4238.461426,4227.948730,4220.897461,4503.461426,4459.743652,4339.487305,4421.666504,6596.000000,3.000000,57.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703414122.584954,1703414122.585673,94.000000,0.000000,4247.179688,4251.282227,4296.410156,4296.282227,4254.487305,4231.538574,4274.743652,4228.589844,4224.615234,4206.538574,4489.358887,4452.563965,4324.487305,4417.563965,5863.000000,3.000000,57.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703414122.592762,1703414122.593481,95.000000,0.000000,4251.666504,4243.461426,4292.307617,4297.307617,4262.563965,4230.000000,4271.794922,4233.205078,4228.589844,4201.282227,4493.461426,4450.897461,4322.820313,4417.692383,6030.000000,3.000000,57.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703414122.600570,1703414122.601290,96.000000,0.000000,4258.589844,4248.974121,4297.692383,4295.897461,4258.589844,4235.128418,4275.897461,4236.282227,4231.538574,4214.487305,4510.256348,4457.948730,4342.051270,4422.179688,6513.000000,3.000000,57.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.000000,41.666668,4.000000,1.000000,1.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,24.000000,0.000000,0.313261,0.641541,-0.230469,0.661194,0.973263,0.100110,0.062508,-18.465706,-35.383343,66.545609
1703414122.608379,1703414122.608998,97.000000,0.000000,4255.000000,4255.384766,4300.000000,4293.461426,4247.692383,4250.256348,4281.794922,4236.153809,4237.051270,4229.871582,4513.077148,4459.743652,4350.512695,4432.179688,6596.000000,3.000000,57.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
