title:مضر اعلى, start timestamp:1703403187.192141, stop timestamp:1703403197.709591, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1348      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703403187.192141,1703403187.192548,29.000000,0.000000,4146.153809,4137.179688,4276.025879,4267.563965,4170.769043,4152.307617,4193.589844,4147.051270,4139.615234,4153.846191,4569.743652,4411.538574,4296.153809,4457.436035,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703403187.199949,1703403187.200256,30.000000,0.000000,4153.974121,4145.000000,4284.358887,4275.769043,4168.077148,4145.512695,4190.384766,4155.384766,4147.436035,4153.461426,4576.538574,4422.692383,4304.358887,4466.922852,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703403187.207757,1703403187.208064,31.000000,0.000000,4156.025879,4146.538574,4290.769043,4270.128418,4171.794922,4136.794922,4192.692383,4153.205078,4156.794922,4157.563965,4580.384766,4428.333496,4318.589844,4469.487305,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703403187.215565,1703403187.215772,32.000000,0.000000,4159.358887,4147.820313,4297.307617,4269.871582,4174.615234,4140.384766,4191.922852,4143.974121,4153.205078,4166.538574,4588.846191,4431.153809,4330.000000,4475.897461,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,8.000000,0.000000,0.669255,-0.070923,-0.705811,0.221130,0.914662,-0.390673,-0.001465,-30.615103,-8.377540,73.961761
1703403187.223373,1703403187.223680,33.000000,0.000000,4162.307617,4151.025879,4299.358887,4281.538574,4170.384766,4151.025879,4191.666504,4138.589844,4138.333496,4167.692383,4585.000000,4434.743652,4327.307617,4477.948730,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703403187.231182,1703403187.231488,34.000000,0.000000,4166.282227,4152.179688,4298.589844,4283.205078,4171.666504,4153.461426,4194.102539,4136.153809,4133.461426,4157.692383,4577.436035,4436.538574,4321.794922,4474.871582,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703403187.238989,1703403187.239395,35.000000,0.000000,4173.205078,4152.820313,4300.897461,4278.077148,4177.051270,4152.948730,4195.641113,4136.410156,4138.333496,4154.487305,4587.692383,4438.717773,4331.538574,4479.615234,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703403187.246797,1703403187.247203,36.000000,0.000000,4171.410156,4155.769043,4303.717773,4282.436035,4174.230957,4157.436035,4196.025879,4136.666504,4134.230957,4157.820313,4598.333496,4437.948730,4344.743652,4488.974121,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,9.000000,0.000000,0.669171,-0.070923,-0.705872,0.221191,0.908802,-0.391161,-0.001465,-30.653593,-8.373118,74.015587
1703403187.254606,1703403187.255011,37.000000,0.000000,4166.922852,4155.641113,4299.871582,4284.102539,4169.230957,4157.948730,4193.589844,4133.974121,4126.666504,4153.333496,4591.153809,4433.077148,4342.179688,4489.871582,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703403187.262414,1703403187.262719,38.000000,0.000000,4174.615234,4152.948730,4296.794922,4278.717773,4167.820313,4154.615234,4191.794922,4135.384766,4130.769043,4150.384766,4585.769043,4432.563965,4339.743652,4486.410156,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
