title:منى اعلى, start timestamp:1703411981.164631, stop timestamp:1703411991.978783, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1386      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703411981.164631,1703411981.165619,94.000000,0.000000,4189.615234,4194.358887,4281.153809,4259.743652,4183.461426,4186.538574,4240.256348,4207.436035,4185.384766,4136.282227,4588.333496,4488.461426,4384.487305,4488.077148,5965.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411981.172439,1703411981.173527,95.000000,0.000000,4194.615234,4189.358887,4284.871582,4252.436035,4190.128418,4184.487305,4238.205078,4204.102539,4187.820313,4167.436035,4591.538574,4484.615234,4388.846191,4488.589844,6080.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411981.180247,1703411981.181335,96.000000,0.000000,4194.615234,4183.974121,4281.538574,4250.769043,4188.589844,4183.461426,4235.256348,4198.077148,4190.384766,4194.615234,4588.461426,4476.282227,4387.948730,4493.205078,6604.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,24.000000,0.000000,0.736493,-0.031860,-0.675598,-0.011414,0.992797,-0.025394,0.081065,-15.642901,-40.146019,66.900002
1703411981.188055,1703411981.189043,97.000000,0.000000,4188.461426,4182.179688,4277.436035,4253.974121,4186.666504,4186.538574,4236.410156,4195.897461,4196.794922,4191.794922,4580.128418,4473.717773,4380.769043,4489.615234,6975.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411981.195863,1703411981.196851,98.000000,0.000000,4189.615234,4186.025879,4277.051270,4256.410156,4191.538574,4187.307617,4237.051270,4196.025879,4188.205078,4165.512695,4575.256348,4472.692383,4370.384766,4485.000000,5965.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411981.203671,1703411981.204559,99.000000,0.000000,4203.974121,4198.846191,4284.487305,4261.922852,4192.948730,4185.897461,4242.051270,4200.384766,4179.102539,4163.333496,4584.102539,4484.615234,4381.922852,4496.538574,6080.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411981.211480,1703411981.212367,100.000000,0.000000,4220.128418,4204.871582,4299.487305,4266.538574,4183.077148,4184.743652,4243.846191,4211.922852,4190.897461,4183.974121,4601.538574,4515.384766,4404.102539,4516.666504,6604.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,25.000000,0.000000,0.736550,-0.031799,-0.675537,-0.011536,0.986937,-0.036626,0.082530,-15.495277,-40.248085,66.926674
1703411981.219288,1703411981.220075,101.000000,0.000000,4226.153809,4198.846191,4304.102539,4265.512695,4167.436035,4183.846191,4240.512695,4222.051270,4208.974121,4171.922852,4605.769043,4526.410156,4397.307617,4527.436035,6975.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411981.227095,1703411981.227984,102.000000,0.000000,4222.820313,4201.922852,4296.794922,4265.641113,4160.769043,4184.743652,4238.461426,4216.922852,4198.846191,4159.743652,4592.307617,4505.256348,4374.230957,4517.948730,5965.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411981.234904,1703411981.235792,103.000000,0.000000,4218.974121,4204.487305,4296.794922,4265.384766,4174.487305,4185.512695,4238.333496,4200.000000,4167.051270,4167.179688,4576.410156,4487.563965,4365.769043,4502.948730,6080.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411981.242712,1703411981.243700,104.000000,0.000000,4222.820313,4198.717773,4302.436035,4264.230957,4193.333496,4184.358887,4236.025879,4187.692383,4157.563965,4159.487305,4565.641113,4488.205078,4365.000000,4502.179688,6604.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,26.000000,0.000000,0.736620,-0.031494,-0.675476,-0.011475,0.984984,-0.020999,0.073739,-15.462417,-40.289940,67.050667
1703411981.250520,1703411981.251508,105.000000,0.000000,4234.102539,4208.589844,4301.282227,4266.282227,4194.871582,4184.358887,4234.487305,4186.922852,4174.102539,4151.794922,4568.333496,4493.461426,4369.615234,4510.384766,6975.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411981.258328,1703411981.259316,106.000000,0.000000,4235.512695,4217.307617,4296.153809,4265.128418,4186.025879,4184.358887,4237.948730,4187.307617,4176.666504,4137.307617,4576.666504,4491.282227,4375.384766,4510.256348,5965.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411981.266136,1703411981.267024,107.000000,0.000000,4230.256348,4205.512695,4297.692383,4264.102539,4186.794922,4182.948730,4239.230957,4190.256348,4170.897461,4122.179688,4583.077148,4492.820313,4374.615234,4509.358887,6080.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411981.273944,1703411981.274832,108.000000,0.000000,4230.384766,4200.000000,4301.025879,4264.230957,4195.512695,4184.615234,4239.487305,4203.974121,4184.230957,4153.846191,4592.948730,4501.025879,4380.897461,4517.436035,6604.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,27.000000,0.000000,0.736709,-0.030701,-0.675415,-0.011475,0.985472,-0.025394,0.082530,-15.549508,-40.260948,67.228935
1703411981.281752,1703411981.282540,109.000000,0.000000,4235.897461,4210.000000,4299.487305,4264.871582,4192.307617,4185.128418,4243.205078,4218.205078,4196.025879,4181.666504,4601.538574,4507.563965,4393.846191,4525.641113,6975.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411981.289560,1703411981.290448,110.000000,0.000000,4234.871582,4204.487305,4293.846191,4261.282227,4169.871582,4181.282227,4243.205078,4216.922852,4194.615234,4155.641113,4599.358887,4507.820313,4392.820313,4522.436035,5965.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411981.297368,1703411981.298255,111.000000,0.000000,4215.897461,4183.974121,4287.563965,4250.000000,4150.384766,4183.461426,4241.922852,4202.692383,4184.230957,4161.410156,4586.538574,4493.974121,4376.922852,4503.333496,6080.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411981.305176,1703411981.306063,112.000000,0.000000,4202.179688,4175.384766,4286.025879,4243.205078,4151.538574,4187.307617,4242.307617,4194.102539,4168.974121,4191.153809,4570.256348,4475.000000,4362.179688,4486.153809,6604.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,28.000000,0.000000,0.736898,-0.030151,-0.675232,-0.011597,1.004517,-0.036626,0.088878,-15.627891,-40.234852,67.306046
1703411981.312984,1703411981.313772,113.000000,0.000000,4212.307617,4188.077148,4292.948730,4254.102539,4165.384766,4181.538574,4239.358887,4199.102539,4172.307617,4165.512695,4566.153809,4476.410156,4360.769043,4488.333496,6975.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411981.320792,1703411981.321679,114.000000,0.000000,4224.743652,4209.871582,4301.794922,4269.102539,4179.358887,4178.974121,4238.333496,4201.666504,4190.128418,4138.846191,4576.282227,4494.743652,4370.128418,4498.974121,5965.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411981.328600,1703411981.329487,115.000000,0.000000,4219.487305,4214.871582,4302.948730,4267.563965,4188.717773,4185.897461,4245.128418,4196.666504,4181.922852,4153.205078,4577.820313,4495.384766,4374.358887,4502.436035,6080.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411981.336408,1703411981.337395,116.000000,0.000000,4216.410156,4211.794922,4297.436035,4264.871582,4191.794922,4188.717773,4247.051270,4195.256348,4166.282227,4150.256348,4566.282227,4480.769043,4368.205078,4506.153809,6604.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,29.000000,0.000000,0.737233,-0.030090,-0.674866,-0.011780,0.985960,-0.039556,0.084483,-15.565102,-40.128033,67.375435
1703411981.344216,1703411981.345203,117.000000,0.000000,4225.897461,4214.743652,4295.769043,4269.102539,4191.282227,4185.512695,4242.692383,4202.179688,4185.384766,4135.769043,4567.820313,4483.205078,4371.282227,4513.461426,6975.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
