title:الما اعلى, start timestamp:1703405292.572235, stop timestamp:1703405303.331730, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1379      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703405292.572235,1703405292.572347,118.000000,0.000000,4196.794922,4122.051270,4270.641113,4227.820313,4154.743652,4153.461426,4250.769043,4169.230957,4162.820313,4161.410156,4638.205078,4477.820313,4420.000000,4534.102539,5918.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703405292.580043,1703405292.580255,119.000000,0.000000,4181.922852,4118.205078,4264.358887,4229.358887,4149.102539,4154.358887,4248.205078,4160.512695,4148.461426,4145.384766,4620.128418,4460.769043,4415.128418,4520.512695,6168.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703405292.587851,1703405292.588063,120.000000,0.000000,4182.692383,4118.205078,4263.846191,4225.641113,4152.563965,4163.589844,4248.846191,4155.512695,4155.641113,4165.897461,4623.589844,4454.487305,4426.025879,4521.410156,6651.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,30.000000,0.000000,0.681577,-0.142029,-0.706482,-0.127136,0.992797,-0.028324,-0.030277,-14.447713,-38.591621,62.568314
1703405292.595659,1703405292.595971,121.000000,0.000000,4188.077148,4118.846191,4265.128418,4215.000000,4155.128418,4170.256348,4250.384766,4160.384766,4167.179688,4171.922852,4631.794922,4457.948730,4421.153809,4526.538574,6588.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703405292.603468,1703405292.603779,122.000000,0.000000,4186.153809,4122.307617,4264.358887,4221.282227,4152.563965,4166.922852,4249.230957,4155.384766,4137.051270,4140.897461,4622.179688,4457.307617,4398.846191,4524.230957,5918.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703405292.611276,1703405292.611687,123.000000,0.000000,4183.461426,4121.666504,4263.717773,4232.692383,4152.563965,4165.769043,4247.563965,4144.871582,4118.333496,4138.589844,4611.666504,4454.358887,4395.897461,4520.256348,6168.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703405292.619084,1703405292.619494,124.000000,0.000000,4189.358887,4120.512695,4265.769043,4229.487305,4153.717773,4170.512695,4247.436035,4140.641113,4134.358887,4145.000000,4620.256348,4456.153809,4413.717773,4521.282227,6651.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,31.000000,0.000000,0.681802,-0.142273,-0.706238,-0.127014,0.985472,-0.035161,-0.044927,-14.552942,-38.682461,62.578148
1703405292.626892,1703405292.627402,125.000000,0.000000,4201.025879,4129.615234,4271.538574,4228.205078,4154.743652,4170.384766,4252.179688,4137.692383,4131.282227,4117.051270,4626.025879,4459.871582,4421.153809,4531.410156,6588.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703405292.634700,1703405292.635210,126.000000,0.000000,4207.692383,4142.051270,4274.615234,4236.538574,4161.666504,4173.333496,4254.615234,4140.512695,4126.410156,4124.102539,4616.538574,4462.948730,4410.128418,4539.743652,5918.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703405292.642508,1703405292.643118,127.000000,0.000000,4206.025879,4142.820313,4274.871582,4235.256348,4166.794922,4184.230957,4247.179688,4148.846191,4154.230957,4176.538574,4621.666504,4465.769043,4403.846191,4537.307617,82.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
