title:جمعة اعلى, start timestamp:1703163994.203655, stop timestamp:1703164004.939720, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1376      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703163994.203655,1703163994.204693,124.000000,0.000000,4186.410156,4133.589844,4263.974121,4227.563965,4143.205078,4126.025879,4237.436035,4152.948730,4138.205078,4121.922852,4590.384766,4449.102539,4398.461426,4511.538574,6422.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,31.000000,0.000000,0.674494,0.139099,-0.689331,0.224792,0.980588,-0.120132,0.018557,-11.946873,-41.728485,64.399727
1703163994.211463,1703163994.212401,125.000000,0.000000,4190.897461,4127.948730,4271.922852,4232.179688,4138.461426,4120.384766,4235.512695,4138.589844,4117.692383,4123.974121,4591.666504,4450.897461,4395.256348,4517.563965,6237.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163994.219271,1703163994.220209,126.000000,0.000000,4199.358887,4131.538574,4281.538574,4233.717773,4134.102539,4122.307617,4241.025879,4134.358887,4109.615234,4137.436035,4589.102539,4461.282227,4397.179688,4522.948730,5708.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163994.227079,1703163994.227917,127.000000,0.000000,4208.846191,4143.333496,4284.487305,4236.282227,4154.487305,4125.512695,4236.410156,4139.102539,4118.077148,4138.205078,4596.538574,4467.563965,4401.666504,4528.717773,71.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163994.234887,1703163994.235725,0.000000,0.000000,4202.051270,4136.666504,4282.563965,4237.051270,4151.282227,4122.307617,4237.179688,4130.128418,4116.666504,4117.307617,4589.871582,4457.563965,4393.589844,4522.820313,5454.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,0.674506,0.139343,-0.689270,0.224792,0.976682,-0.119644,0.026370,-11.918852,-41.738968,64.493088
1703163994.242695,1703163994.243433,1.000000,0.000000,4192.436035,4123.589844,4278.333496,4230.256348,4125.128418,4123.077148,4246.666504,4122.436035,4107.692383,4102.820313,4570.256348,4455.384766,4375.641113,4511.282227,5390.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163994.250503,1703163994.251341,2.000000,0.000000,4187.436035,4115.256348,4268.461426,4220.769043,4131.025879,4135.769043,4251.666504,4140.384766,4116.794922,4115.000000,4572.820313,4455.641113,4366.410156,4509.487305,5297.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163994.258311,1703163994.259150,3.000000,0.000000,4175.769043,4098.461426,4262.692383,4211.153809,4145.000000,4144.230957,4256.922852,4159.230957,4132.820313,4119.102539,4580.128418,4453.461426,4362.948730,4504.487305,5223.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163994.266119,1703163994.267057,4.000000,0.000000,4165.769043,4090.256348,4257.436035,4206.025879,4129.871582,4137.820313,4257.820313,4157.307617,4139.102539,4104.871582,4567.307617,4451.282227,4352.563965,4490.512695,5015.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,1.000000,0.000000,0.674459,0.139465,-0.689331,0.224670,0.994262,-0.116713,0.022464,-12.126966,-41.798405,64.460449
1703163994.273927,1703163994.274865,5.000000,0.000000,4165.897461,4108.333496,4249.358887,4210.384766,4119.615234,4132.948730,4251.794922,4153.589844,4143.589844,4108.589844,4561.153809,4446.025879,4344.871582,4488.974121,5036.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163994.281735,1703163994.282773,6.000000,0.000000,4172.179688,4133.205078,4247.307617,4219.487305,4131.794922,4139.102539,4252.436035,4162.051270,4143.717773,4118.974121,4567.948730,4453.589844,4342.307617,4501.794922,1930.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163994.289543,1703163994.290581,7.000000,0.000000,4175.384766,4148.589844,4251.153809,4228.333496,4138.205078,4139.871582,4253.333496,4171.666504,4140.897461,4113.333496,4569.487305,4456.922852,4341.025879,4505.512695,4702.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163994.297351,1703163994.298489,8.000000,0.000000,4174.102539,4153.205078,4253.589844,4227.307617,4138.205078,4123.974121,4246.282227,4168.589844,4143.717773,4115.897461,4568.461426,4450.256348,4339.487305,4495.641113,5213.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,2.000000,0.000000,0.674342,0.139526,-0.689453,0.224609,0.989867,-0.132340,0.020022,-12.014270,-41.868565,64.447739
1703163994.305159,1703163994.306297,9.000000,0.000000,4179.102539,4156.153809,4258.846191,4226.410156,4138.205078,4115.000000,4242.051270,4157.436035,4144.230957,4125.641113,4569.358887,4453.333496,4340.512695,4495.384766,5380.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163994.312967,1703163994.314205,10.000000,0.000000,4196.025879,4172.436035,4273.077148,4239.871582,4146.025879,4128.846191,4242.307617,4147.692383,4137.051270,4120.256348,4579.615234,4455.641113,4348.077148,4512.436035,5701.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163994.320775,1703163994.322013,11.000000,0.000000,4207.179688,4190.512695,4283.077148,4252.820313,4161.153809,4136.025879,4240.128418,4136.922852,4126.538574,4124.615234,4585.128418,4456.794922,4357.179688,4516.153809,6072.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163994.328584,1703163994.329721,12.000000,0.000000,4203.717773,4190.000000,4281.794922,4251.282227,4161.410156,4121.538574,4233.717773,4130.897461,4126.922852,4141.153809,4575.512695,4457.436035,4362.051270,4503.461426,6429.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,3.000000,0.000000,0.674252,0.139465,-0.689514,0.224731,0.993774,-0.133317,0.021487,-11.979509,-41.915043,64.452965
1703163994.336392,1703163994.337529,13.000000,0.000000,4202.692383,4183.974121,4278.846191,4248.205078,4151.153809,4110.000000,4229.871582,4130.769043,4129.230957,4135.384766,4574.871582,4451.025879,4360.256348,4510.641113,6245.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163994.344200,1703163994.345237,14.000000,0.000000,4206.922852,4188.077148,4282.307617,4254.230957,4157.051270,4116.410156,4233.205078,4131.282227,4127.563965,4129.871582,4584.743652,4456.538574,4357.563965,4524.615234,5701.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163994.352008,1703163994.353045,15.000000,0.000000,4207.948730,4191.025879,4286.153809,4262.179688,4162.692383,4121.666504,4234.358887,4142.692383,4136.153809,4135.769043,4587.179688,4466.153809,4359.743652,4522.179688,6072.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163994.359816,1703163994.360753,16.000000,0.000000,4197.692383,4179.358887,4277.051270,4252.436035,4144.487305,4114.358887,4239.102539,4156.794922,4144.102539,4128.077148,4577.436035,4461.666504,4355.384766,4508.846191,0.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,4.000000,0.000000,0.674007,0.139343,-0.689758,0.224792,0.977170,-0.122574,0.017580,-11.798225,-41.723537,64.390999
1703163994.367624,1703163994.368561,17.000000,0.000000,4183.717773,4165.897461,4262.563965,4231.153809,4138.846191,4120.897461,4247.692383,4159.871582,4144.615234,4121.538574,4570.641113,4452.051270,4342.948730,4489.487305,0.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163994.375432,1703163994.376269,18.000000,0.000000,4177.820313,4164.743652,4256.794922,4226.922852,4157.051270,4138.974121,4249.487305,4163.205078,4148.974121,4127.436035,4573.846191,4449.871582,4336.538574,4485.512695,0.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163994.383240,1703163994.384177,19.000000,0.000000,4174.358887,4158.846191,4254.102539,4228.589844,4150.128418,4132.051270,4249.102539,4161.538574,4143.077148,4112.179688,4566.538574,4453.846191,4327.692383,4489.615234,0.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163994.391048,1703163994.391985,20.000000,0.000000,4166.025879,4144.615234,4245.000000,4213.846191,4122.820313,4113.717773,4246.410156,4144.358887,4122.307617,4092.820557,4549.358887,4443.461426,4318.974121,4476.922852,0.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,5.000000,0.000000,0.673929,0.139221,-0.689819,0.224915,0.995727,-0.127457,0.023929,-11.768403,-41.667850,64.218567
1703163994.398856,1703163994.399794,21.000000,0.000000,4166.153809,4150.512695,4246.922852,4211.794922,4132.820313,4123.333496,4247.820313,4137.436035,4112.563965,4104.102539,4551.666504,4436.794922,4329.487305,4473.846191,0.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163994.406664,1703163994.407502,22.000000,0.000000,4176.025879,4165.769043,4259.615234,4227.436035,4156.410156,4133.846191,4249.102539,4139.615234,4108.461426,4109.615234,4559.358887,4446.025879,4339.487305,4490.384766,0.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163994.414472,1703163994.415310,23.000000,0.000000,4180.769043,4166.538574,4261.410156,4236.666504,4145.384766,4123.077148,4239.102539,4128.589844,4102.436035,4104.487305,4553.717773,4438.077148,4338.461426,4492.307617,0.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163994.422280,1703163994.423018,24.000000,0.000000,4183.205078,4169.871582,4264.230957,4241.025879,4134.871582,4113.077148,4230.000000,4117.692383,4102.692383,4109.230957,4557.692383,4437.051270,4337.948730,4485.897461,0.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,6.000000,0.000000,0.673809,0.139099,-0.689941,0.224976,0.984007,-0.125504,0.011232,-11.808229,-41.684399,64.130043
1703163994.430088,1703163994.430926,25.000000,0.000000,4193.589844,4188.846191,4277.948730,4251.666504,4158.461426,4117.563965,4233.589844,4125.897461,4104.871582,4113.846191,4579.743652,4458.846191,4350.641113,4503.846191,0.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.000000,83.333336,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,
1703163994.437896,1703163994.438734,26.000000,0.000000,4199.102539,4197.179688,4277.948730,4257.051270,4175.641113,4130.641113,4241.666504,4137.948730,4112.051270,4120.256348,4587.436035,4458.333496,4363.846191,4516.025879,0.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
