title:حازم اعلى, start timestamp:1703494812.567141, stop timestamp:1703494824.497848, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1529      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703494812.567141,1703494812.567373,0.000000,0.000000,4250.384766,4142.179688,4297.179688,4277.563965,4242.820313,4233.077148,4256.794922,4252.563965,4252.820313,4247.820313,4539.871582,4482.436035,4370.000000,4429.615234,4871.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,0.710214,0.006409,-0.697388,0.095947,0.975705,-0.143084,0.014162,-13.956974,-43.444580,63.055290
1703494812.574950,1703494812.575281,1.000000,0.000000,4251.025879,4145.641113,4300.769043,4280.128418,4247.820313,4233.333496,4247.948730,4251.025879,4251.922852,4250.128418,4541.153809,4481.153809,4369.615234,4428.846191,5404.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494812.582758,1703494812.583089,2.000000,0.000000,4250.641113,4152.563965,4300.256348,4283.205078,4251.153809,4231.538574,4247.436035,4244.871582,4242.051270,4235.897461,4538.461426,4476.666504,4365.641113,4426.538574,5389.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494812.590566,1703494812.590797,3.000000,0.000000,4250.000000,4154.871582,4299.230957,4282.436035,4248.333496,4229.871582,4250.128418,4242.692383,4235.384766,4232.051270,4533.077148,4476.153809,4366.410156,4426.538574,5394.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494812.598374,1703494812.598605,4.000000,0.000000,4251.922852,4154.743652,4296.282227,4281.538574,4245.128418,4228.974121,4247.436035,4242.948730,4228.974121,4234.871582,4527.692383,4474.102539,4362.948730,4421.282227,5255.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,1.000000,0.000000,0.710093,0.005798,-0.697449,0.096436,0.993774,-0.132829,0.015627,-14.127944,-43.533455,63.199760
1703494812.606182,1703494812.606313,5.000000,0.000000,4247.179688,4153.846191,4289.615234,4283.205078,4245.128418,4229.358887,4247.179688,4236.538574,4220.512695,4220.000000,4517.179688,4466.410156,4345.769043,4406.794922,5041.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494812.613990,1703494812.614121,6.000000,0.000000,4236.538574,4154.487305,4283.974121,4281.153809,4247.179688,4231.794922,4250.769043,4230.512695,4213.205078,4201.794922,4505.769043,4455.641113,4330.641113,4397.948730,4185.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494812.621798,1703494812.621829,7.000000,0.000000,4232.820313,4155.000000,4282.051270,4278.974121,4251.922852,4234.102539,4251.922852,4230.000000,4211.282227,4199.230957,4503.974121,4448.461426,4331.410156,4401.922852,5011.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494812.629606,1703494812.629637,8.000000,0.000000,4234.487305,4153.077148,4282.563965,4279.358887,4250.769043,4235.769043,4251.282227,4231.410156,4212.436035,4200.256348,4504.743652,4450.256348,4337.563965,4401.922852,5250.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,2.000000,0.000000,0.710122,0.005554,-0.697388,0.096680,0.969357,-0.136247,0.015139,-14.131816,-43.630108,63.229786
1703494812.637414,1703494812.637345,9.000000,0.000000,4232.948730,4152.307617,4283.589844,4279.487305,4246.666504,4235.384766,4251.025879,4230.512695,4215.000000,4202.563965,4505.128418,4455.897461,4339.358887,4398.333496,5449.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
