title:aya انذار, start timestamp:1702803304.579251, stop timestamp:1702803315.924389, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1454      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1702803304.579251,1702803304.931523,107.000000,0.000000,4208.333496,4169.487305,4302.820313,4236.410156,4135.512695,4125.641113,4236.922852,4155.769043,4150.769043,4139.487305,4682.051270,4488.717773,4439.230957,4590.769043,5838.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803304.587059,1702803304.939431,108.000000,0.000000,4199.102539,4159.487305,4292.692383,4224.743652,4132.179688,4124.871582,4243.461426,4154.615234,4138.077148,4126.410156,4662.692383,4478.717773,4420.256348,4583.077148,6760.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,27.000000,0.000000,0.718510,0.146912,-0.655396,0.180603,0.989379,-0.034184,0.099622,-6.503561,13.844087,98.869255
1702803304.594867,1702803304.947240,109.000000,0.000000,4195.128418,4156.025879,4295.512695,4224.102539,4133.077148,4121.282227,4244.487305,4152.307617,4130.641113,4122.820313,4661.153809,4474.358887,4409.743652,4574.871582,6870.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803304.602675,1702803304.955048,110.000000,0.000000,4200.256348,4164.358887,4300.128418,4237.563965,4133.846191,4109.487305,4236.282227,4132.563965,4108.589844,4127.948730,4669.487305,4468.461426,4421.794922,4573.974121,5781.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803304.610483,1702803304.962756,111.000000,0.000000,4210.769043,4170.128418,4306.922852,4248.717773,4139.230957,4101.794922,4230.512695,4106.666504,4080.000000,4133.846191,4667.307617,4469.102539,4440.769043,4585.897461,5838.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803304.618291,1702803304.970564,112.000000,0.000000,4215.897461,4172.948730,4314.871582,4251.025879,4146.025879,4108.717773,4231.538574,4098.589844,4074.358887,4139.487305,4665.512695,4474.487305,4446.153809,4592.948730,6760.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,28.000000,0.000000,0.718685,0.146973,-0.655273,0.180298,1.000610,-0.014162,0.091320,-6.303205,13.859677,98.932335
1702803304.626099,1702803304.978272,113.000000,0.000000,4211.794922,4176.538574,4308.333496,4245.512695,4151.538574,4116.025879,4231.666504,4105.000000,4088.846191,4137.179688,4665.384766,4468.333496,4434.615234,4577.307617,6870.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803304.633907,1702803304.986080,114.000000,0.000000,4213.461426,4180.000000,4305.641113,4246.922852,4152.179688,4122.948730,4236.282227,4119.487305,4120.769043,4147.948730,4678.461426,4475.256348,4445.512695,4575.769043,5781.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803304.641715,1702803304.993788,115.000000,0.000000,4204.230957,4167.051270,4302.820313,4240.128418,4141.666504,4122.179688,4239.615234,4126.410156,4139.358887,4157.179688,4684.102539,4480.512695,4458.205078,4585.897461,5838.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803304.649523,1702803305.001596,116.000000,0.000000,4197.051270,4161.538574,4296.282227,4231.153809,4135.256348,4122.948730,4237.820313,4132.820313,4142.179688,4152.692383,4684.871582,4478.077148,4450.897461,4584.487305,6760.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,29.000000,0.000000,0.718861,0.147034,-0.655151,0.179993,0.986449,-0.024905,0.101087,-6.472884,13.957043,98.905762
