title:فارس انذار, start timestamp:1703504639.578966, stop timestamp:1703504650.197912, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1361      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703504639.578966,1703504639.579464,103.000000,0.000000,4294.487305,4308.077148,4337.563965,4345.769043,4350.641113,4295.769043,4282.692383,4312.436035,4335.128418,4277.692383,4540.384766,4507.820313,4393.846191,4471.666504,6382.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504639.586774,1703504639.587173,104.000000,0.000000,4295.384766,4309.102539,4341.666504,4356.666504,4350.769043,4295.769043,4283.077148,4310.384766,4342.307617,4282.948730,4543.333496,4513.077148,4397.179688,4467.179688,6870.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,26.000000,0.000000,0.632326,-0.448059,-0.618225,-0.131165,0.894640,-0.382859,-0.175314,-2.180751,-45.161785,54.687405
1703504639.594582,1703504639.594981,105.000000,0.000000,4296.282227,4313.717773,4340.384766,4351.025879,4341.794922,4291.666504,4280.384766,4313.333496,4343.461426,4277.820313,4544.230957,4514.487305,4389.230957,4466.410156,7122.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504639.602390,1703504639.602689,106.000000,0.000000,4295.128418,4315.897461,4339.358887,4344.487305,4341.922852,4295.641113,4287.179688,4320.641113,4346.282227,4279.871582,4547.307617,4519.871582,4391.538574,4468.333496,6078.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504639.610198,1703504639.610497,107.000000,0.000000,4295.512695,4317.563965,4343.974121,4354.615234,4351.538574,4301.666504,4297.820313,4320.897461,4344.871582,4284.743652,4551.666504,4523.461426,4398.974121,4469.230957,6382.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504639.618006,1703504639.618205,108.000000,0.000000,4298.205078,4319.487305,4343.461426,4360.384766,4352.563965,4299.358887,4293.846191,4311.538574,4339.358887,4281.282227,4551.538574,4518.717773,4394.743652,4470.769043,6870.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,27.000000,0.000000,0.632407,-0.447754,-0.618286,-0.131531,0.884874,-0.404835,-0.170919,-2.196009,-45.178940,54.452000
1703504639.625814,1703504639.626013,109.000000,0.000000,4297.436035,4315.769043,4339.358887,4348.333496,4344.358887,4294.743652,4285.897461,4306.922852,4338.077148,4274.743652,4542.820313,4514.358887,4385.128418,4467.692383,7122.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504639.633622,1703504639.633721,110.000000,0.000000,4292.948730,4308.333496,4330.641113,4342.436035,4336.410156,4293.461426,4283.205078,4310.000000,4336.666504,4277.051270,4539.358887,4507.948730,4382.436035,4462.179688,6078.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504639.641430,1703504639.641529,111.000000,0.000000,4289.743652,4301.153809,4321.922852,4345.128418,4333.205078,4288.846191,4279.102539,4305.641113,4324.487305,4276.922852,4537.051270,4499.743652,4376.410156,4460.769043,6382.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504639.649238,1703504639.649237,112.000000,0.000000,4289.871582,4296.666504,4325.256348,4338.846191,4335.128418,4284.230957,4276.922852,4298.077148,4317.179688,4265.769043,4528.077148,4499.358887,4365.384766,4460.769043,6870.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,28.000000,0.000000,0.632381,-0.447754,-0.618286,-0.131653,0.883409,-0.388719,-0.181174,-2.143075,-45.177715,54.373466
