title:ليال انذار, start timestamp:1703407810.235891, stop timestamp:1703407821.018812, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1382      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703407810.235891,1703407810.235882,57.000000,0.000000,4156.538574,4170.128418,4289.102539,4246.666504,4171.666504,4154.871582,4208.333496,4165.769043,4174.743652,4182.563965,4627.436035,4456.922852,4406.538574,4490.000000,0.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407810.243699,1703407810.243790,58.000000,0.000000,4168.717773,4167.307617,4282.692383,4240.769043,4167.051270,4159.358887,4204.871582,4168.974121,4178.205078,4183.846191,4625.128418,4454.615234,4403.205078,4485.769043,0.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407810.251508,1703407810.251598,59.000000,0.000000,4175.256348,4163.589844,4278.205078,4235.128418,4168.974121,4163.589844,4213.205078,4157.307617,4169.743652,4175.384766,4613.846191,4442.436035,4399.358887,4489.743652,0.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407810.259316,1703407810.259306,60.000000,0.000000,4165.384766,4156.794922,4275.512695,4238.077148,4168.717773,4159.615234,4218.077148,4150.256348,4156.025879,4159.358887,4602.051270,4433.333496,4389.615234,4490.000000,0.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,15.000000,0.000000,0.727823,-0.152588,-0.660645,-0.102661,0.992797,-0.086436,0.087901,-14.745081,-41.413418,65.476372
1703407810.267124,1703407810.267114,61.000000,0.000000,4159.615234,4156.794922,4274.358887,4235.512695,4169.102539,4161.666504,4212.179688,4151.922852,4149.743652,4146.025879,4597.692383,4434.871582,4378.974121,4493.589844,0.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407810.274932,1703407810.274822,62.000000,0.000000,4175.128418,4166.922852,4278.461426,4231.025879,4172.179688,4168.974121,4215.512695,4154.743652,4148.717773,4137.436035,4599.487305,4441.410156,4377.820313,4501.922852,0.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407810.282740,1703407810.282630,63.000000,0.000000,4186.794922,4173.717773,4283.589844,4234.743652,4171.153809,4164.615234,4218.974121,4154.743652,4144.743652,4136.025879,4601.410156,4442.179688,4380.256348,4500.897461,0.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407810.290548,1703407810.290338,64.000000,0.000000,4176.794922,4170.384766,4279.102539,4239.102539,4168.589844,4156.922852,4209.230957,4143.846191,4139.358887,4137.307617,4592.948730,4432.820313,4373.974121,4492.563965,4918.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,16.000000,0.000000,0.727827,-0.152649,-0.660645,-0.102539,0.978147,-0.079111,0.077646,-14.753906,-41.455410,65.462067
1703407810.298356,1703407810.298146,65.000000,0.000000,4170.128418,4168.846191,4275.512695,4239.871582,4169.487305,4156.538574,4200.769043,4134.102539,4142.563965,4139.358887,4583.974121,4429.743652,4369.358887,4484.102539,5422.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407810.306164,1703407810.305854,66.000000,0.000000,4178.717773,4175.641113,4285.000000,4245.641113,4172.563965,4150.512695,4197.820313,4144.358887,4156.282227,4155.384766,4593.846191,4442.563965,4377.436035,4487.179688,5212.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
