title:مريان انذار, start timestamp:1703413660.894715, stop timestamp:1703413671.638595, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1377      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703413660.894715,1703413660.894745,100.000000,0.000000,4256.025879,4220.512695,4294.743652,4241.794922,4232.307617,4228.589844,4281.666504,4200.256348,4199.358887,4183.717773,4502.307617,4441.410156,4381.025879,4441.025879,6546.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,25.000000,0.000000,0.354943,0.626038,-0.257446,0.644836,0.995727,0.127945,0.083018,-19.199675,-33.741135,65.456680
1703413660.902523,1703413660.902653,101.000000,0.000000,4259.358887,4221.410156,4299.358887,4248.589844,4229.102539,4232.179688,4281.922852,4200.897461,4202.692383,4186.025879,4514.743652,4448.846191,4389.743652,4448.205078,6504.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413660.910331,1703413660.910461,102.000000,0.000000,4254.230957,4242.436035,4297.948730,4258.461426,4232.307617,4237.820313,4281.922852,4215.897461,4216.153809,4203.205078,4524.358887,4458.077148,4372.051270,4457.436035,5910.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413660.918139,1703413660.918369,103.000000,0.000000,4250.641113,4237.179688,4291.153809,4262.307617,4237.179688,4230.384766,4282.436035,4213.077148,4207.436035,4197.436035,4502.948730,4446.025879,4351.153809,4443.077148,6082.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413660.925947,1703413660.926177,104.000000,0.000000,4260.769043,4223.461426,4293.205078,4266.922852,4235.256348,4230.128418,4283.717773,4211.282227,4198.077148,4185.256348,4503.333496,4447.179688,4382.436035,4441.410156,6546.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,26.000000,0.000000,0.355079,0.626099,-0.257568,0.644653,0.977658,0.124039,0.077646,-19.146374,-33.833687,65.494347
1703413660.933755,1703413660.933885,105.000000,0.000000,4265.000000,4231.410156,4299.102539,4264.487305,4232.051270,4243.589844,4281.922852,4228.077148,4211.922852,4184.358887,4525.512695,4468.717773,4416.794922,4464.358887,6504.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413660.941563,1703413660.941693,106.000000,0.000000,4265.000000,4223.846191,4299.230957,4264.358887,4229.743652,4239.615234,4277.563965,4240.256348,4220.769043,4190.897461,4535.256348,4479.487305,4414.743652,4477.051270,5910.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413660.949371,1703413660.949401,107.000000,0.000000,4262.436035,4210.384766,4292.051270,4263.717773,4227.692383,4221.538574,4277.948730,4237.179688,4215.641113,4207.948730,4540.128418,4470.384766,4413.461426,4466.410156,6082.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413660.957179,1703413660.957209,108.000000,0.000000,4254.871582,4225.512695,4287.051270,4242.820313,4230.897461,4221.025879,4276.922852,4225.641113,4217.436035,4219.743652,4540.897461,4458.333496,4420.128418,4455.897461,6546.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,27.000000,0.000000,0.355079,0.626099,-0.257568,0.644653,0.990844,0.131364,0.084483,-19.165070,-33.866985,65.328239
1703413660.964987,1703413660.964917,109.000000,0.000000,4257.820313,4237.563965,4293.205078,4248.717773,4240.897461,4234.358887,4270.641113,4219.230957,4223.333496,4225.128418,4535.256348,4459.871582,4415.256348,4462.051270,6504.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
