title:مضر انذار, start timestamp:1703402652.215482, stop timestamp:1703402663.029637, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1386      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703402652.215482,1703402652.216530,121.000000,0.000000,4299.358887,4184.487305,4351.282227,4313.077148,4195.641113,4157.820313,4209.230957,4175.000000,4165.000000,4186.025879,4749.358887,4592.563965,4508.717773,4676.666504,6299.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402652.223290,1703402652.224238,122.000000,0.000000,4292.692383,4184.487305,4347.436035,4308.461426,4191.922852,4160.512695,4212.692383,4173.974121,4158.589844,4185.384766,4753.846191,4583.589844,4509.871582,4671.922852,5798.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402652.231098,1703402652.232046,123.000000,0.000000,4287.820313,4185.256348,4347.948730,4307.051270,4191.410156,4162.692383,4208.974121,4168.846191,4155.769043,4187.563965,4756.666504,4573.717773,4508.333496,4663.205078,6135.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402652.238906,1703402652.239754,124.000000,0.000000,4280.512695,4178.461426,4343.717773,4302.820313,4196.922852,4165.128418,4205.512695,4166.153809,4155.897461,4185.769043,4762.307617,4565.256348,4508.589844,4657.307617,6586.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,31.000000,0.000000,0.683699,-0.048340,-0.702820,0.190430,0.932731,-0.341350,0.013674,-30.046942,-5.094636,75.414528
1703402652.246714,1703402652.247562,125.000000,0.000000,4277.692383,4176.282227,4340.000000,4296.410156,4194.230957,4166.410156,4208.333496,4167.179688,4155.128418,4182.436035,4764.358887,4561.153809,4507.820313,4656.410156,6299.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402652.254522,1703402652.255270,126.000000,0.000000,4282.563965,4182.179688,4345.256348,4296.410156,4186.538574,4163.589844,4206.666504,4165.897461,4154.871582,4185.769043,4771.153809,4562.307617,4505.769043,4658.077148,5798.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402652.262330,1703402652.263178,127.000000,0.000000,4278.333496,4178.461426,4347.948730,4296.538574,4184.743652,4157.563965,4201.538574,4159.743652,4156.794922,4191.025879,4777.436035,4561.282227,4506.922852,4658.461426,91.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402652.270138,1703402652.270986,0.000000,0.000000,4268.717773,4173.333496,4343.205078,4291.666504,4183.846191,4155.000000,4203.333496,4156.922852,4154.358887,4187.051270,4770.256348,4554.871582,4504.743652,4652.948730,5262.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.000000,75.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,0.000000,0.000000,0.683615,-0.048401,-0.702881,0.190491,0.929313,-0.333537,0.000000,-30.075581,-5.051839,75.539742
1703402652.277946,1703402652.278894,1.000000,0.000000,4271.794922,4179.487305,4347.692383,4295.256348,4187.179688,4157.692383,4205.641113,4162.307617,4152.179688,4186.922852,4768.205078,4555.897461,4501.282227,4651.025879,4919.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402652.285754,1703402652.286702,2.000000,0.000000,4282.692383,4187.051270,4358.589844,4307.692383,4195.512695,4157.179688,4202.563965,4168.461426,4158.589844,4203.077148,4784.743652,4561.794922,4508.974121,4660.641113,5086.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
