title:ملاح انذار, start timestamp:1703495822.110134, stop timestamp:1703495832.822772, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1373      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703495822.110134,1703495822.110735,75.000000,0.000000,4254.615234,4251.025879,4300.384766,4278.461426,4206.282227,4195.256348,4255.384766,4204.871582,4202.563965,4194.871582,4506.922852,4464.230957,4394.102539,4445.000000,6219.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495822.117942,1703495822.118643,76.000000,0.000000,4258.717773,4247.307617,4301.794922,4274.358887,4199.487305,4193.974121,4248.077148,4202.051270,4205.769043,4200.897461,4507.563965,4467.307617,4399.615234,4450.000000,6654.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,19.000000,0.000000,0.672932,0.247681,-0.668274,0.198059,0.984007,0.074716,-0.020022,-17.117983,-38.307087,63.888969
1703495822.125750,1703495822.126551,77.000000,0.000000,4248.846191,4233.589844,4292.563965,4257.563965,4199.102539,4190.641113,4249.230957,4199.487305,4204.230957,4194.487305,4491.410156,4456.538574,4383.461426,4428.717773,6123.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495822.133558,1703495822.134359,78.000000,0.000000,4232.820313,4221.410156,4284.615234,4248.461426,4199.487305,4195.000000,4251.153809,4206.666504,4208.461426,4190.000000,4476.538574,4447.563965,4375.769043,4419.871582,5970.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495822.141367,1703495822.142167,79.000000,0.000000,4220.641113,4207.948730,4281.282227,4247.051270,4190.128418,4211.153809,4252.051270,4212.948730,4217.436035,4185.384766,4475.512695,4443.974121,4378.846191,4423.589844,6219.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495822.149175,1703495822.150075,80.000000,0.000000,4214.871582,4192.179688,4277.051270,4236.666504,4184.230957,4227.692383,4253.589844,4222.179688,4221.282227,4187.820313,4474.358887,4440.641113,4376.922852,4419.615234,6654.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,20.000000,0.000000,0.672839,0.247620,-0.668335,0.198242,0.983518,0.069833,-0.018557,-17.056185,-38.276379,64.000069
1703495822.156983,1703495822.157883,81.000000,0.000000,4211.410156,4184.102539,4272.692383,4228.589844,4187.307617,4223.205078,4249.871582,4235.512695,4217.692383,4195.384766,4463.461426,4439.102539,4369.871582,4407.436035,6123.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495822.164791,1703495822.165791,82.000000,0.000000,4212.436035,4184.743652,4273.974121,4232.051270,4187.692383,4208.205078,4246.153809,4238.461426,4214.230957,4184.358887,4457.051270,4440.000000,4368.205078,4399.358887,5970.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495822.172599,1703495822.173599,83.000000,0.000000,4215.000000,4190.128418,4279.230957,4235.256348,4183.461426,4208.077148,4248.717773,4232.948730,4215.512695,4177.436035,4467.948730,4443.333496,4373.846191,4406.666504,6219.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495822.180407,1703495822.181307,84.000000,0.000000,4217.307617,4195.384766,4286.922852,4236.922852,4184.615234,4211.153809,4250.000000,4230.897461,4215.128418,4194.743652,4476.538574,4446.410156,4378.717773,4421.025879,6654.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,21.000000,0.000000,0.672803,0.247620,-0.668335,0.198364,0.986449,0.064949,-0.011720,-17.117233,-38.282074,64.033394
