title:اسيد انذار, start timestamp:1703502113.231908, stop timestamp:1703502125.865343, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1619      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703502113.231908,1703502113.232658,35.000000,0.000000,4264.358887,4258.974121,4304.102539,4298.333496,4273.974121,4265.512695,4259.743652,4250.769043,4256.666504,4252.051270,4490.641113,4470.384766,4333.333496,4425.128418,0.000000,3.000000,67.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703502113.239716,1703502113.240566,36.000000,0.000000,4271.666504,4263.974121,4307.179688,4304.230957,4274.871582,4267.436035,4261.282227,4251.922852,4258.205078,4255.769043,4494.230957,4475.000000,4336.922852,4426.922852,0.000000,3.000000,67.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,9.000000,0.000000,0.733425,-0.296143,-0.608948,-0.059753,0.916616,-0.369186,0.083506,-9.618447,-46.097198,61.955109
1703502113.247524,1703502113.248374,37.000000,0.000000,4279.487305,4263.974121,4313.077148,4311.025879,4279.871582,4273.589844,4263.717773,4265.384766,4268.589844,4265.000000,4505.897461,4490.256348,4344.358887,4430.641113,0.000000,3.000000,67.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703502113.255333,1703502113.256082,38.000000,0.000000,4281.794922,4265.512695,4316.538574,4311.538574,4280.512695,4273.717773,4263.461426,4277.948730,4277.692383,4271.922852,4511.922852,4495.000000,4348.205078,4442.563965,0.000000,3.000000,67.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703502113.263141,1703502113.263890,39.000000,0.000000,4281.538574,4267.948730,4315.512695,4311.153809,4279.230957,4274.102539,4263.589844,4272.563965,4278.974121,4270.769043,4509.487305,4489.102539,4345.384766,4445.256348,0.000000,3.000000,67.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703502113.270949,1703502113.271598,40.000000,0.000000,4280.384766,4265.769043,4312.307617,4310.000000,4277.051270,4276.666504,4264.487305,4265.384766,4275.512695,4266.025879,4506.410156,4482.051270,4337.563965,4435.000000,0.000000,3.000000,67.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,10.000000,0.000000,0.733364,-0.296143,-0.609009,-0.059875,0.914662,-0.369674,0.083506,-9.639936,-46.104145,61.892933
1703502113.278757,1703502113.279406,41.000000,0.000000,4277.307617,4262.436035,4307.820313,4302.307617,4273.846191,4275.128418,4264.487305,4267.436035,4268.974121,4264.102539,4502.307617,4474.871582,4330.897461,4427.692383,0.000000,3.000000,67.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703502113.286565,1703502113.287114,42.000000,0.000000,4276.025879,4264.743652,4303.974121,4295.512695,4273.846191,4273.717773,4265.512695,4265.256348,4263.077148,4263.974121,4498.589844,4471.666504,4327.563965,4429.487305,0.000000,3.000000,67.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703502113.294373,1703502113.295022,43.000000,0.000000,4275.000000,4260.512695,4301.922852,4295.897461,4278.333496,4272.948730,4266.922852,4264.358887,4265.769043,4260.769043,4496.282227,4471.666504,4320.897461,4429.102539,0.000000,3.000000,67.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703502113.302181,1703502113.302831,44.000000,0.000000,4273.333496,4251.025879,4303.077148,4295.512695,4277.692383,4267.051270,4266.153809,4262.692383,4264.615234,4253.717773,4491.410156,4469.615234,4311.025879,4422.948730,0.000000,3.000000,67.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,11.000000,0.000000,0.733384,-0.296082,-0.609009,-0.059937,0.908314,-0.356977,0.077646,-9.625942,-46.227066,61.820305
