title:الما انذار, start timestamp:1703404766.317308, stop timestamp:1703404777.115843, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1384      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703404766.317308,1703404766.317511,47.000000,0.000000,4246.666504,4235.512695,4305.256348,4260.897461,4164.743652,4108.846191,4218.077148,4142.820313,4132.692383,4142.692383,4601.153809,4449.358887,4405.256348,4534.358887,0.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404766.325116,1703404766.325219,48.000000,0.000000,4238.333496,4231.153809,4304.487305,4260.641113,4172.436035,4118.717773,4217.948730,4145.128418,4124.487305,4145.384766,4601.538574,4442.948730,4404.743652,4526.794922,0.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,12.000000,0.000000,0.644653,0.181213,-0.705261,0.232788,0.986937,-0.095226,-0.031254,-13.348228,-40.481812,62.957962
1703404766.332924,1703404766.333027,49.000000,0.000000,4230.128418,4221.282227,4298.846191,4255.897461,4166.794922,4126.025879,4221.025879,4144.871582,4124.871582,4148.846191,4599.230957,4435.128418,4407.436035,4520.256348,0.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404766.340732,1703404766.340735,50.000000,0.000000,4230.512695,4222.692383,4297.179688,4254.615234,4155.641113,4120.641113,4223.461426,4140.897461,4136.794922,4153.205078,4602.692383,4441.922852,4413.461426,4525.897461,0.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404766.348541,1703404766.348543,51.000000,0.000000,4241.153809,4233.077148,4308.205078,4262.820313,4173.461426,4120.384766,4222.436035,4136.025879,4141.153809,4164.358887,4619.871582,4459.230957,4426.922852,4544.230957,0.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404766.356349,1703404766.356251,52.000000,0.000000,4252.692383,4236.666504,4317.307617,4267.820313,4191.922852,4124.487305,4221.153809,4136.666504,4132.948730,4172.692383,4624.230957,4458.717773,4431.410156,4554.358887,0.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,13.000000,0.000000,0.644741,0.181458,-0.705078,0.232910,0.987425,-0.098645,-0.022952,-13.430071,-40.433632,63.045498
1703404766.364157,1703404766.364159,53.000000,0.000000,4249.743652,4232.179688,4312.436035,4262.436035,4176.538574,4116.794922,4220.641113,4132.948730,4113.589844,4149.358887,4604.871582,4443.717773,4414.358887,4542.307617,0.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404766.371965,1703404766.371967,54.000000,0.000000,4240.128418,4228.077148,4306.922852,4258.846191,4161.410156,4110.128418,4218.717773,4129.487305,4108.205078,4126.282227,4594.487305,4442.307617,4406.282227,4530.256348,0.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404766.379773,1703404766.379776,55.000000,0.000000,4252.563965,4231.794922,4314.358887,4264.871582,4174.230957,4117.820313,4216.025879,4137.820313,4132.563965,4151.794922,4613.333496,4457.051270,4430.384766,4543.974121,0.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404766.387581,1703404766.387484,56.000000,0.000000,4267.179688,4246.922852,4319.230957,4269.102539,4188.205078,4124.230957,4216.410156,4143.333496,4147.436035,4178.461426,4627.948730,4466.025879,4446.282227,4558.461426,0.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,14.000000,0.000000,0.644934,0.181641,-0.704834,0.232971,0.984495,-0.101575,-0.029300,-13.520397,-40.540268,63.024281
1703404766.395389,1703404766.395292,57.000000,0.000000,4255.512695,4251.410156,4309.230957,4263.717773,4183.717773,4122.692383,4217.307617,4137.179688,4135.128418,4172.820313,4618.077148,4461.153809,4434.358887,4548.974121,0.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404766.403197,1703404766.403000,58.000000,0.000000,4243.205078,4237.563965,4303.974121,4260.384766,4177.563965,4121.153809,4218.717773,4137.948730,4133.333496,4166.410156,4614.102539,4455.512695,4426.282227,4539.487305,0.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404766.411005,1703404766.410908,59.000000,0.000000,4250.000000,4231.282227,4308.333496,4263.205078,4170.128418,4113.717773,4218.846191,4142.692383,4143.077148,4163.077148,4619.358887,4453.333496,4430.000000,4544.615234,0.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
