title:جمعة انذار, start timestamp:1703163407.100838, stop timestamp:1703163418.141407, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1415      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703163407.100838,1703163407.101822,68.000000,0.000000,4252.051270,4254.358887,4359.871582,4254.358887,4222.436035,4190.256348,4293.717773,4226.922852,4234.230957,4212.307617,4765.641113,4548.461426,4511.410156,4669.487305,4918.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,17.000000,0.000000,0.716682,0.023621,-0.675476,0.171875,0.965938,-0.181663,0.077158,-12.259673,-43.802246,65.618042
1703163407.108647,1703163407.109530,69.000000,0.000000,4243.974121,4245.769043,4359.615234,4250.000000,4220.769043,4189.743652,4292.948730,4231.025879,4233.333496,4207.051270,4766.282227,4548.461426,4506.538574,4657.307617,4996.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163407.116454,1703163407.117338,70.000000,0.000000,4245.512695,4245.769043,4358.717773,4272.051270,4222.692383,4196.410156,4294.487305,4233.461426,4232.436035,4207.563965,4764.871582,4546.538574,4509.358887,4666.666504,2468.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163407.124262,1703163407.125047,71.000000,0.000000,4236.410156,4245.000000,4352.820313,4266.666504,4217.948730,4191.282227,4292.051270,4235.512695,4236.025879,4207.307617,4764.743652,4544.743652,4511.025879,4661.794922,4408.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163407.132071,1703163407.132855,72.000000,0.000000,4235.641113,4246.538574,4353.077148,4252.948730,4214.230957,4184.487305,4288.461426,4242.436035,4244.615234,4201.025879,4765.128418,4549.230957,4516.410156,4647.563965,5148.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,18.000000,0.000000,0.716667,0.023621,-0.675476,0.171936,0.969357,-0.200708,0.084483,-12.233706,-43.872021,65.656242
1703163407.139879,1703163407.140563,73.000000,0.000000,4241.410156,4241.153809,4358.461426,4263.846191,4219.102539,4187.179688,4287.820313,4245.256348,4248.589844,4209.230957,4766.666504,4554.102539,4517.948730,4657.436035,5332.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163407.147687,1703163407.148471,74.000000,0.000000,4234.615234,4221.922852,4359.358887,4265.000000,4219.230957,4185.512695,4286.922852,4237.563965,4240.000000,4217.692383,4766.922852,4553.974121,4510.256348,4663.077148,5647.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163407.155495,1703163407.156279,75.000000,0.000000,4237.179688,4228.974121,4362.179688,4260.641113,4221.410156,4184.871582,4286.794922,4226.282227,4228.974121,4203.846191,4760.897461,4551.025879,4505.256348,4653.589844,5983.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163407.163303,1703163407.164187,76.000000,0.000000,4251.666504,4260.897461,4364.871582,4275.641113,4225.000000,4187.692383,4284.230957,4216.794922,4217.948730,4186.282227,4746.666504,4543.333496,4498.333496,4655.256348,6302.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,19.000000,0.000000,0.716614,0.023499,-0.675537,0.171936,0.977658,-0.199243,0.080576,-12.227002,-43.884819,65.873947
1703163407.171111,1703163407.171995,77.000000,0.000000,4249.871582,4272.307617,4357.563965,4282.948730,4217.820313,4187.307617,4279.615234,4210.769043,4204.102539,4181.538574,4732.820313,4533.333496,4475.512695,4659.230957,5960.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
