title:حازم انذار, start timestamp:1703494266.221878, stop timestamp:1703494277.020409, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1384      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703494266.221878,1703494266.222575,44.000000,0.000000,4234.743652,4228.461426,4297.692383,4280.128418,4238.333496,4230.897461,4262.051270,4213.205078,4245.641113,4226.153809,4494.102539,4456.922852,4364.358887,4427.436035,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,11.000000,0.000000,0.581044,0.283569,-0.619019,0.445862,0.969845,-0.218777,0.079111,-13.084974,-46.795925,64.772583
1703494266.229686,1703494266.230483,45.000000,0.000000,4232.820313,4237.307617,4296.410156,4281.153809,4241.410156,4229.102539,4257.051270,4201.794922,4234.871582,4211.794922,4483.461426,4446.794922,4356.153809,4422.179688,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494266.237494,1703494266.238291,46.000000,0.000000,4232.692383,4233.717773,4293.461426,4281.410156,4247.179688,4240.256348,4256.794922,4201.025879,4231.410156,4209.615234,4487.051270,4445.128418,4359.230957,4424.102539,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494266.245302,1703494266.245999,47.000000,0.000000,4228.846191,4231.025879,4288.205078,4280.897461,4246.538574,4244.487305,4257.820313,4189.615234,4215.128418,4199.871582,4475.128418,4432.820313,4344.358887,4412.179688,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494266.253110,1703494266.253807,48.000000,0.000000,4232.436035,4236.922852,4289.230957,4282.051270,4245.128418,4237.563965,4259.743652,4183.205078,4209.487305,4202.051270,4468.077148,4427.563965,4343.974121,4413.077148,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,12.000000,0.000000,0.580920,0.283630,-0.619019,0.445984,0.966427,-0.227567,0.076181,-13.043143,-46.682999,64.661987
1703494266.260918,1703494266.261515,49.000000,0.000000,4236.025879,4231.922852,4292.948730,4282.051270,4245.384766,4236.282227,4261.538574,4191.922852,4223.974121,4215.641113,4479.230957,4441.922852,4364.358887,4430.641113,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494266.268726,1703494266.269323,50.000000,0.000000,4235.769043,4228.846191,4294.230957,4281.282227,4246.410156,4238.846191,4260.897461,4197.563965,4230.384766,4217.051270,4487.179688,4451.666504,4365.769043,4430.128418,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494266.276534,1703494266.277031,51.000000,0.000000,4242.436035,4236.538574,4297.563965,4283.461426,4249.487305,4235.384766,4261.666504,4203.717773,4233.589844,4216.794922,4493.589844,4454.743652,4364.743652,4430.769043,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494266.284342,1703494266.284839,52.000000,0.000000,4244.230957,4231.153809,4299.871582,4279.487305,4251.666504,4235.641113,4263.846191,4221.282227,4254.102539,4229.871582,4503.974121,4463.077148,4377.692383,4444.102539,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,13.000000,0.000000,0.580642,0.283875,-0.619080,0.446106,0.967403,-0.203638,0.071298,-13.038829,-46.698032,64.729126
1703494266.292150,1703494266.292547,53.000000,0.000000,4235.641113,4219.871582,4297.692383,4268.846191,4252.436035,4242.179688,4262.051270,4235.897461,4276.025879,4244.230957,4514.230957,4471.794922,4385.128418,4446.025879,0.000000,4.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
