title:حلاق انذار, start timestamp:1703153282.534506, stop timestamp:1703153293.333031, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1384      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703153282.534506,1703153282.534811,88.000000,0.000000,4290.897461,4249.487305,4308.974121,4300.384766,4242.948730,4233.205078,4303.205078,4221.666504,4222.307617,4222.179688,4569.871582,4501.410156,4412.307617,4499.615234,6766.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,22.000000,0.000000,0.652106,0.379700,-0.556335,0.347961,0.981077,0.110365,0.099622,-16.801712,-29.937973,65.123482
1703153282.542314,1703153282.542519,89.000000,0.000000,4297.179688,4251.282227,4312.436035,4310.512695,4248.077148,4231.282227,4299.871582,4220.897461,4218.717773,4215.897461,4568.077148,4503.205078,4409.615234,4509.615234,7172.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153282.550122,1703153282.550327,90.000000,0.000000,4299.230957,4251.794922,4313.589844,4317.051270,4250.128418,4234.230957,4299.230957,4226.153809,4214.230957,4217.051270,4567.692383,4510.897461,4414.871582,4507.179688,5958.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153282.557930,1703153282.558035,91.000000,0.000000,4296.794922,4249.871582,4315.256348,4315.384766,4249.358887,4225.769043,4301.922852,4222.563965,4213.717773,4217.563965,4563.077148,4502.948730,4414.743652,4502.948730,6357.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153282.565738,1703153282.565843,92.000000,0.000000,4288.461426,4246.794922,4312.307617,4311.538574,4243.846191,4215.512695,4301.025879,4219.615234,4215.384766,4212.436035,4556.153809,4494.487305,4408.974121,4502.563965,6766.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,23.000000,0.000000,0.652073,0.379700,-0.556335,0.348022,0.986449,0.094738,0.092296,-16.571541,-30.177509,65.044472
1703153282.573546,1703153282.573551,93.000000,0.000000,4290.769043,4247.692383,4314.230957,4311.153809,4240.256348,4225.769043,4298.974121,4228.974121,4218.333496,4214.487305,4559.230957,4503.717773,4411.538574,4505.128418,7172.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153282.581354,1703153282.581359,94.000000,0.000000,4296.282227,4250.256348,4315.769043,4311.666504,4246.282227,4238.589844,4301.794922,4231.538574,4224.230957,4219.487305,4565.256348,4510.512695,4416.794922,4500.897461,5958.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153282.589162,1703153282.589067,95.000000,0.000000,4285.128418,4246.922852,4313.333496,4311.282227,4249.102539,4234.358887,4306.794922,4224.487305,4222.436035,4212.692383,4558.846191,4503.974121,4413.717773,4493.589844,6357.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153282.596970,1703153282.596975,96.000000,0.000000,4275.128418,4241.666504,4311.666504,4308.846191,4246.025879,4228.205078,4303.974121,4219.358887,4215.769043,4208.846191,4549.871582,4493.077148,4411.666504,4490.256348,6766.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,24.000000,0.000000,0.652128,0.379517,-0.556396,0.348022,0.982053,0.109388,0.093761,-16.431053,-30.093090,64.906685
1703153282.604778,1703153282.604783,97.000000,0.000000,4280.256348,4242.051270,4310.000000,4308.333496,4245.512695,4230.512695,4302.179688,4217.179688,4218.589844,4212.563965,4549.871582,4490.897461,4410.897461,4489.871582,7172.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153282.612586,1703153282.612691,98.000000,0.000000,4282.948730,4243.461426,4307.179688,4310.512695,4244.102539,4231.410156,4304.358887,4217.692383,4216.282227,4207.179688,4546.282227,4493.974121,4402.307617,4490.897461,5958.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153282.620395,1703153282.620499,99.000000,0.000000,4279.743652,4236.794922,4300.769043,4309.615234,4243.974121,4230.256348,4301.282227,4218.589844,4208.846191,4196.922852,4539.358887,4492.307617,4400.000000,4492.563965,6357.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153282.628203,1703153282.628407,100.000000,0.000000,4273.461426,4232.051270,4297.563965,4308.974121,4248.205078,4229.615234,4304.230957,4217.179688,4207.563965,4196.666504,4537.820313,4488.461426,4402.436035,4485.256348,6766.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,25.000000,0.000000,0.652125,0.379578,-0.556396,0.347961,0.990355,0.108900,0.092296,-16.754614,-30.100449,64.916016
1703153282.636011,1703153282.636215,101.000000,0.000000,4262.820313,4229.102539,4297.436035,4304.230957,4243.333496,4227.563965,4308.205078,4214.230957,4202.692383,4199.743652,4537.307617,4489.615234,4396.153809,4476.922852,7172.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153282.643819,1703153282.644123,102.000000,0.000000,4261.282227,4220.769043,4294.487305,4296.794922,4235.128418,4228.717773,4304.871582,4219.230957,4201.538574,4200.897461,4539.743652,4493.461426,4394.871582,4486.410156,5958.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,1.000000,66.666664,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,
1703153282.651627,1703153282.651931,103.000000,0.000000,4273.846191,4222.436035,4297.307617,4296.282227,4239.743652,4231.794922,4305.000000,4227.692383,4210.128418,4198.077148,4541.922852,4491.410156,4397.051270,4497.692383,6357.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153282.659435,1703153282.659838,104.000000,0.000000,4286.794922,4229.743652,4305.128418,4297.436035,4245.000000,4233.077148,4305.256348,4232.948730,4217.436035,4196.153809,4543.333496,4494.743652,4398.589844,4497.436035,6766.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,26.000000,0.000000,0.651985,0.379639,-0.556519,0.347961,0.986449,0.100598,0.096203,-16.562487,-30.057070,64.957748
