title:حمزة انذار, start timestamp:1703409559.716063, stop timestamp:1703409570.272543, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1353      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703409559.716063,1703409559.716786,106.000000,0.000000,4244.358887,4212.563965,4324.743652,4291.922852,4207.692383,4198.461426,4233.333496,4229.743652,4198.077148,4197.436035,4613.461426,4517.563965,4405.641113,4525.769043,5783.000000,3.000000,69.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409559.723871,1703409559.724494,107.000000,0.000000,4245.384766,4215.897461,4328.205078,4294.102539,4207.179688,4202.436035,4233.333496,4234.487305,4205.128418,4199.230957,4616.666504,4521.794922,4413.846191,4532.051270,6030.000000,3.000000,69.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409559.731679,1703409559.732302,108.000000,0.000000,4238.205078,4213.974121,4328.333496,4297.820313,4196.282227,4200.256348,4229.102539,4233.589844,4204.871582,4198.589844,4612.820313,4513.974121,4396.282227,4524.487305,6521.000000,3.000000,69.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,27.000000,0.000000,0.386288,0.452820,-0.571228,0.565186,0.933708,-0.292516,-0.056648,-8.004044,-47.264782,59.670547
1703409559.739487,1703409559.740010,109.000000,0.000000,4233.846191,4207.051270,4322.692383,4286.025879,4205.641113,4196.922852,4230.000000,4233.077148,4205.897461,4197.307617,4606.666504,4510.512695,4385.512695,4518.717773,7177.000000,3.000000,69.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409559.747295,1703409559.747918,110.000000,0.000000,4236.153809,4204.615234,4323.589844,4275.897461,4218.205078,4197.948730,4234.615234,4243.333496,4215.128418,4200.384766,4613.077148,4521.794922,4392.179688,4522.948730,5783.000000,3.000000,69.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409559.755103,1703409559.755726,111.000000,0.000000,4236.282227,4214.102539,4321.666504,4290.256348,4212.692383,4196.410156,4235.769043,4246.282227,4214.487305,4203.461426,4620.256348,4525.256348,4393.077148,4525.897461,6030.000000,3.000000,69.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409559.762911,1703409559.763634,112.000000,0.000000,4232.436035,4219.487305,4309.358887,4298.205078,4201.282227,4190.897461,4226.794922,4228.461426,4193.974121,4199.358887,4611.153809,4509.230957,4385.769043,4519.871582,6521.000000,3.000000,69.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,28.000000,0.000000,0.386412,0.452637,-0.571289,0.565186,0.932731,-0.292516,-0.060066,-8.003639,-47.121639,59.553493
1703409559.770719,1703409559.771442,113.000000,0.000000,4224.743652,4203.205078,4299.615234,4281.153809,4201.538574,4187.820313,4224.230957,4217.307617,4181.666504,4187.179688,4598.717773,4494.615234,4373.717773,4508.974121,7177.000000,3.000000,69.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409559.778528,1703409559.779251,114.000000,0.000000,4221.025879,4197.051270,4302.436035,4277.051270,4208.589844,4187.436035,4230.128418,4217.563965,4184.230957,4185.000000,4599.102539,4497.179688,4366.025879,4505.000000,5783.000000,3.000000,69.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409559.786336,1703409559.786959,115.000000,0.000000,4232.307617,4212.948730,4311.666504,4289.871582,4205.000000,4185.512695,4224.487305,4203.333496,4175.128418,4189.615234,4602.820313,4498.461426,4372.051270,4510.897461,6030.000000,3.000000,69.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
