title:رشيد انذار, start timestamp:1703406482.827301, stop timestamp:1703406493.641451, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1386      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703406482.827301,1703406482.827909,80.000000,0.000000,4202.051270,4165.512695,4273.846191,4235.641113,4164.871582,4167.179688,4137.820313,4153.717773,4143.974121,4149.102539,4613.461426,4450.769043,4389.615234,4521.666504,6536.000000,4.000000,79.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,20.000000,0.000000,0.618168,0.257385,-0.631653,0.390686,0.980100,-0.194848,0.065926,-12.790464,-43.756557,64.448013
1703406482.835109,1703406482.835617,81.000000,0.000000,4197.692383,4163.077148,4269.743652,4233.205078,4159.615234,4167.307617,4137.179688,4152.948730,4137.692383,4137.820313,4602.692383,4442.820313,4376.025879,4515.256348,7022.000000,4.000000,79.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406482.842917,1703406482.843425,82.000000,0.000000,4191.153809,4164.102539,4270.512695,4235.128418,4156.153809,4168.974121,4137.307617,4145.769043,4137.563965,4138.846191,4600.128418,4443.974121,4377.948730,4511.922852,5851.000000,4.000000,79.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406482.850725,1703406482.851133,83.000000,0.000000,4187.436035,4160.384766,4271.794922,4235.256348,4158.974121,4167.179688,4138.461426,4138.589844,4135.641113,4132.948730,4600.769043,4443.461426,4375.641113,4507.307617,6138.000000,4.000000,79.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406482.858534,1703406482.858941,84.000000,0.000000,4179.487305,4148.077148,4266.282227,4228.717773,4157.179688,4160.000000,4140.128418,4137.179688,4132.436035,4121.025879,4586.666504,4432.179688,4355.000000,4494.102539,6536.000000,4.000000,79.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,21.000000,0.000000,0.618421,0.257263,-0.631531,0.390564,0.984984,-0.189476,0.073739,-13.028085,-43.730900,64.453209
1703406482.866341,1703406482.866649,85.000000,0.000000,4178.461426,4148.333496,4265.000000,4229.487305,4154.230957,4161.025879,4142.563965,4140.128418,4135.128418,4133.717773,4587.948730,4431.153809,4362.820313,4499.358887,7022.000000,4.000000,79.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406482.874149,1703406482.874457,86.000000,0.000000,4197.820313,4165.000000,4275.641113,4240.256348,4158.846191,4167.948730,4142.179688,4148.717773,4146.538574,4157.179688,4623.717773,4450.512695,4410.384766,4528.333496,5851.000000,4.000000,79.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406482.881958,1703406482.882165,87.000000,0.000000,4212.563965,4168.205078,4283.717773,4241.153809,4159.102539,4172.692383,4140.897461,4156.538574,4157.179688,4164.102539,4645.256348,4468.461426,4436.922852,4543.077148,6138.000000,4.000000,79.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406482.889766,1703406482.889973,88.000000,0.000000,4206.410156,4155.769043,4283.077148,4233.974121,4154.615234,4173.846191,4140.128418,4159.871582,4157.307617,4165.641113,4639.102539,4469.615234,4430.256348,4537.179688,6536.000000,4.000000,79.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,22.000000,0.000000,0.618349,0.257263,-0.631714,0.390381,0.981565,-0.182639,0.071298,-13.025276,-43.791145,64.457893
1703406482.897574,1703406482.897681,89.000000,0.000000,4201.410156,4150.000000,4281.794922,4232.948730,4155.128418,4172.563965,4140.000000,4164.743652,4153.846191,4170.000000,4638.205078,4464.743652,4432.179688,4537.307617,7022.000000,4.000000,79.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
