title:شاهين انذار, start timestamp:1703488340.562300, stop timestamp:1703488351.321777, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1379      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703488340.562300,1703488340.563348,3.000000,0.000000,4200.897461,4233.846191,4276.025879,4262.563965,4238.589844,4284.230957,4276.282227,4249.358887,4251.666504,4253.461426,4492.307617,4443.333496,4360.897461,4404.871582,5444.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488340.570108,1703488340.571056,4.000000,0.000000,4199.102539,4232.820313,4275.512695,4258.974121,4240.000000,4277.692383,4272.563965,4243.077148,4236.410156,4241.025879,4481.922852,4443.717773,4356.922852,4397.692383,5170.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,1.000000,0.000000,0.688132,-0.125549,-0.690979,0.182373,0.896105,-0.422415,0.026859,-6.602664,-47.968128,62.044506
1703488340.577916,1703488340.578864,5.000000,0.000000,4202.179688,4224.102539,4280.384766,4260.769043,4228.205078,4276.025879,4266.025879,4231.538574,4218.974121,4226.538574,4473.333496,4442.948730,4344.743652,4394.871582,4991.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488340.585724,1703488340.586572,6.000000,0.000000,4204.871582,4224.230957,4286.410156,4263.974121,4221.794922,4274.743652,4265.897461,4229.102539,4216.282227,4216.410156,4474.871582,4443.589844,4342.692383,4396.794922,2393.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488340.593532,1703488340.594380,7.000000,0.000000,4203.717773,4229.102539,4289.615234,4263.205078,4221.794922,4270.384766,4267.563965,4235.256348,4218.077148,4215.897461,4479.487305,4447.179688,4350.128418,4396.025879,4969.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488340.601340,1703488340.602089,8.000000,0.000000,4206.025879,4221.153809,4291.025879,4261.538574,4217.307617,4263.333496,4262.179688,4244.615234,4223.846191,4227.563965,4482.307617,4457.692383,4353.333496,4396.025879,5187.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,2.000000,0.000000,0.688055,-0.125366,-0.691040,0.182556,0.891710,-0.439995,0.028324,-6.692398,-47.971313,62.023388
1703488340.609148,1703488340.609896,9.000000,0.000000,4215.256348,4220.512695,4296.538574,4262.307617,4223.333496,4261.538574,4262.051270,4260.000000,4237.051270,4238.333496,4498.077148,4470.512695,4358.589844,4408.077148,5317.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488340.616956,1703488340.617605,10.000000,0.000000,4219.102539,4230.512695,4296.153809,4263.333496,4234.615234,4267.436035,4267.692383,4268.205078,4240.000000,4234.871582,4507.436035,4472.436035,4363.205078,4411.025879,5845.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488340.624764,1703488340.625413,11.000000,0.000000,4212.051270,4230.128418,4287.051270,4262.948730,4235.641113,4273.205078,4266.666504,4265.128418,4238.333496,4227.436035,4496.922852,4462.179688,4359.871582,4397.436035,6249.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488340.632572,1703488340.633121,12.000000,0.000000,4205.641113,4228.589844,4275.769043,4263.077148,4238.077148,4281.410156,4267.820313,4263.205078,4245.641113,4233.974121,4489.487305,4452.692383,4357.948730,4394.871582,6721.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,3.000000,0.000000,0.687871,-0.125366,-0.691223,0.182556,0.899036,-0.416066,0.017580,-6.756491,-47.940849,61.987717
