title:صنجي اطفاء, start timestamp:1703492418.220473, stop timestamp:1703492428.964347, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1377      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703492418.220473,1703492418.220438,46.000000,0.000000,4240.769043,4223.077148,4280.641113,4264.615234,4216.410156,4231.153809,4262.563965,4242.820313,4234.615234,4183.333496,4520.000000,4458.205078,4332.692383,4428.205078,0.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492418.228281,1703492418.228345,47.000000,0.000000,4245.256348,4231.794922,4291.153809,4272.563965,4226.282227,4231.025879,4263.846191,4253.846191,4237.179688,4185.128418,4521.153809,4465.641113,4334.102539,4433.846191,0.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492418.236089,1703492418.236153,48.000000,0.000000,4257.307617,4235.897461,4305.641113,4293.333496,4234.871582,4228.717773,4265.641113,4263.846191,4234.743652,4187.820313,4531.922852,4483.589844,4342.692383,4443.589844,0.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,12.000000,0.000000,0.166032,0.636719,-0.187195,0.729370,0.992309,-0.044927,0.112318,-17.246092,-39.513088,65.628120
1703492418.243897,1703492418.244061,49.000000,0.000000,4263.589844,4233.974121,4313.461426,4296.538574,4226.538574,4225.384766,4261.666504,4264.102539,4226.025879,4187.051270,4540.897461,4491.538574,4342.307617,4446.538574,0.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492418.251705,1703492418.251869,50.000000,0.000000,4262.307617,4239.871582,4315.384766,4298.205078,4227.307617,4224.487305,4255.000000,4252.563965,4215.641113,4183.589844,4534.615234,4483.333496,4337.307617,4442.436035,0.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492418.259513,1703492418.259777,51.000000,0.000000,4263.077148,4247.179688,4312.179688,4303.077148,4235.384766,4227.820313,4254.230957,4233.205078,4201.538574,4186.794922,4522.563965,4471.538574,4341.794922,4443.461426,0.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492418.267321,1703492418.267585,52.000000,0.000000,4266.794922,4249.102539,4311.153809,4297.563965,4232.563965,4230.128418,4254.358887,4213.077148,4181.282227,4183.974121,4517.179688,4467.307617,4345.000000,4444.871582,0.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,13.000000,0.000000,0.166507,0.636475,-0.186890,0.729553,0.987425,-0.045904,0.104505,-17.221483,-39.445110,65.798645
1703492418.275129,1703492418.275493,53.000000,0.000000,4270.384766,4250.641113,4313.333496,4300.256348,4232.051270,4223.846191,4248.717773,4199.102539,4162.692383,4169.615234,4519.487305,4467.179688,4339.230957,4442.692383,0.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492418.282937,1703492418.283301,54.000000,0.000000,4275.128418,4252.820313,4313.333496,4311.153809,4237.307617,4222.051270,4243.077148,4195.128418,4165.897461,4171.666504,4519.871582,4467.307617,4339.487305,4447.820313,0.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.000000,100.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,
1703492418.290745,1703492418.291209,55.000000,0.000000,4277.948730,4251.922852,4315.641113,4304.358887,4236.282227,4230.128418,4246.922852,4198.846191,4190.256348,4197.563965,4526.794922,4475.256348,4356.666504,4460.000000,0.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492418.298553,1703492418.299017,56.000000,0.000000,4272.179688,4250.512695,4311.794922,4295.000000,4232.948730,4236.153809,4252.948730,4205.128418,4207.820313,4205.256348,4536.794922,4478.974121,4364.358887,4460.897461,0.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,14.000000,0.000000,0.167143,0.636047,-0.186584,0.729858,0.989867,-0.056159,0.112807,-17.199335,-39.467266,65.835442
1703492418.306362,1703492418.306725,57.000000,0.000000,4255.256348,4245.384766,4295.641113,4296.666504,4235.897461,4232.307617,4251.410156,4207.948730,4207.563965,4186.922852,4522.692383,4460.512695,4346.025879,4446.025879,0.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492418.314170,1703492418.314533,58.000000,0.000000,4246.025879,4243.077148,4288.077148,4296.538574,4241.025879,4232.179688,4253.846191,4212.692383,4212.179688,4179.230957,4508.974121,4447.820313,4335.641113,4439.871582,0.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492418.321978,1703492418.322241,59.000000,0.000000,4255.384766,4246.410156,4293.205078,4293.333496,4238.333496,4242.563965,4263.846191,4228.717773,4228.846191,4186.666504,4520.769043,4458.717773,4348.846191,4447.692383,0.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492418.329786,1703492418.330049,60.000000,0.000000,4259.743652,4240.769043,4291.794922,4286.153809,4232.692383,4248.205078,4266.025879,4243.205078,4236.538574,4192.563965,4527.436035,4467.179688,4359.871582,4454.871582,0.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,15.000000,0.000000,0.167176,0.635864,-0.186462,0.730042,0.983030,-0.052741,0.124527,-17.229401,-39.487206,65.835236
1703492418.337594,1703492418.337757,61.000000,0.000000,4250.641113,4230.897461,4293.589844,4275.512695,4232.307617,4242.948730,4261.153809,4244.743652,4227.436035,4187.820313,4521.282227,4470.256348,4354.230957,4456.153809,0.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492418.345402,1703492418.345565,62.000000,0.000000,4245.384766,4229.615234,4301.153809,4274.230957,4233.077148,4233.077148,4261.153809,4236.794922,4209.102539,4173.461426,4520.256348,4470.769043,4343.846191,4446.025879,0.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492418.353210,1703492418.353273,63.000000,0.000000,4252.179688,4241.153809,4299.358887,4286.538574,4231.025879,4231.410156,4256.538574,4226.538574,4194.871582,4166.025879,4521.282227,4460.897461,4344.102539,4437.563965,0.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492418.361018,1703492418.361081,64.000000,0.000000,4265.769043,4256.666504,4302.436035,4300.641113,4232.179688,4230.256348,4248.589844,4215.256348,4188.077148,4170.256348,4521.025879,4461.538574,4352.051270,4450.897461,5312.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,16.000000,0.000000,0.167773,0.635498,-0.186218,0.730286,0.982053,-0.055671,0.117690,-17.156462,-39.555153,65.835045
1703492418.368826,1703492418.368789,65.000000,0.000000,4277.563965,4263.077148,4318.333496,4306.153809,4239.871582,4220.769043,4248.589844,4203.205078,4178.461426,4169.871582,4519.871582,4474.743652,4349.358887,4462.692383,5495.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492418.376634,1703492418.376597,66.000000,0.000000,4289.230957,4271.538574,4329.358887,4314.487305,4248.589844,4217.307617,4248.205078,4197.820313,4176.410156,4167.563965,4517.179688,4478.717773,4349.743652,4463.333496,5379.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492418.384442,1703492418.384305,67.000000,0.000000,4299.487305,4284.358887,4327.307617,4326.025879,4252.179688,4227.051270,4246.025879,4199.487305,4185.128418,4172.948730,4523.205078,4476.282227,4364.487305,4472.692383,5302.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492418.392250,1703492418.392113,68.000000,0.000000,4296.282227,4280.641113,4318.205078,4322.820313,4253.333496,4235.512695,4247.179688,4196.922852,4188.589844,4172.692383,4527.051270,4471.025879,4364.358887,4475.897461,5278.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,17.000000,0.000000,0.168327,0.635071,-0.186218,0.730530,0.982053,-0.061531,0.122574,-17.207481,-39.549637,65.718208
1703492418.400058,1703492418.399821,69.000000,0.000000,4279.230957,4261.794922,4308.589844,4309.871582,4251.410156,4233.461426,4249.102539,4196.794922,4189.102539,4169.102539,4513.717773,4459.102539,4350.000000,4459.743652,5217.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492418.407866,1703492418.407729,70.000000,0.000000,4261.410156,4246.538574,4300.256348,4295.384766,4239.743652,4231.025879,4247.307617,4208.461426,4198.077148,4168.974121,4503.461426,4453.461426,4344.358887,4445.384766,3141.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492418.415674,1703492418.415537,71.000000,0.000000,4248.589844,4234.615234,4291.794922,4278.461426,4232.179688,4232.563965,4250.384766,4218.717773,4199.487305,4162.307617,4505.512695,4450.769043,4335.384766,4435.769043,5217.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492418.423482,1703492418.423445,72.000000,0.000000,4241.282227,4228.077148,4288.461426,4272.051270,4232.948730,4231.282227,4256.282227,4223.846191,4190.000000,4149.487305,4503.974121,4445.128418,4323.846191,4425.897461,5332.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,18.000000,0.000000,0.168643,0.634705,-0.186462,0.730713,0.987425,-0.056159,0.124527,-17.286734,-39.544674,65.746384
1703492418.431290,1703492418.431253,73.000000,0.000000,4242.820313,4231.794922,4291.666504,4278.846191,4227.692383,4231.538574,4257.563965,4233.974121,4192.307617,4150.384766,4500.512695,4451.282227,4328.589844,4426.410156,5419.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492418.439098,1703492418.439161,74.000000,0.000000,4239.871582,4225.897461,4290.256348,4277.051270,4226.282227,4238.461426,4260.897461,4239.358887,4201.153809,4161.794922,4504.615234,4460.769043,4338.205078,4428.846191,5985.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492418.446906,1703492418.446969,75.000000,0.000000,4234.743652,4218.333496,4288.461426,4271.153809,4232.948730,4240.641113,4263.974121,4234.358887,4198.333496,4168.333496,4516.282227,4461.538574,4341.153809,4428.974121,6302.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
