title:عمار اطفاء, start timestamp:1703503456.154522, stop timestamp:1703503466.906212, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1378      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703503456.154522,1703503456.155071,101.000000,0.000000,4263.589844,4249.743652,4285.128418,4196.025879,4229.871582,4223.846191,4248.717773,4233.717773,4187.179688,4200.769043,4412.820313,4402.051270,4348.333496,4383.333496,7286.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503456.162330,1703503456.162779,102.000000,0.000000,4263.077148,4246.794922,4286.410156,4199.358887,4228.717773,4225.256348,4248.205078,4234.102539,4193.589844,4207.179688,4418.333496,4405.641113,4358.333496,4388.077148,6095.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503456.170138,1703503456.170587,103.000000,0.000000,4264.743652,4257.307617,4293.077148,4208.205078,4233.461426,4229.487305,4249.615234,4238.205078,4203.589844,4215.897461,4428.589844,4415.256348,4365.641113,4397.307617,6374.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503456.177946,1703503456.178295,104.000000,0.000000,4269.102539,4265.769043,4298.077148,4218.589844,4241.666504,4232.179688,4251.410156,4245.897461,4205.641113,4220.128418,4430.897461,4424.358887,4373.717773,4402.307617,6905.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,26.000000,0.000000,0.432214,0.522766,-0.465027,0.568909,0.986449,-0.086925,0.022464,-13.922118,-39.458321,60.598095
1703503456.185754,1703503456.186203,105.000000,0.000000,4269.358887,4258.846191,4295.641113,4219.871582,4239.358887,4229.615234,4249.743652,4243.461426,4202.948730,4219.487305,4428.077148,4426.025879,4375.000000,4402.692383,7286.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503456.193562,1703503456.194011,106.000000,0.000000,4265.256348,4250.128418,4293.333496,4215.897461,4232.563965,4226.282227,4247.051270,4234.615234,4202.179688,4217.307617,4424.743652,4420.897461,4363.974121,4398.974121,6095.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503456.201370,1703503456.201919,107.000000,0.000000,4263.589844,4248.589844,4293.333496,4216.666504,4231.794922,4227.948730,4246.794922,4239.358887,4202.051270,4214.487305,4423.717773,4419.102539,4359.487305,4395.512695,6374.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503456.209178,1703503456.209727,108.000000,0.000000,4267.692383,4248.589844,4294.743652,4219.487305,4232.436035,4229.358887,4248.333496,4248.333496,4201.794922,4214.871582,4425.384766,4419.102539,4364.102539,4394.871582,6905.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,27.000000,0.000000,0.432398,0.522583,-0.465210,0.568787,0.988890,-0.084971,0.022952,-14.079906,-39.462490,60.671619
1703503456.216986,1703503456.217635,109.000000,0.000000,4262.436035,4245.384766,4292.051270,4216.538574,4232.179688,4228.974121,4248.846191,4246.410156,4200.769043,4217.692383,4426.153809,4413.077148,4363.717773,4392.436035,7286.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503456.224794,1703503456.225443,110.000000,0.000000,4250.256348,4242.948730,4282.692383,4214.615234,4230.897461,4227.948730,4247.179688,4243.205078,4197.436035,4212.051270,4427.051270,4411.153809,4362.051270,4386.922852,6095.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
