title:فارس اطفاء, start timestamp:1703504747.095904, stop timestamp:1703504757.941287, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1390      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703504747.095904,1703504747.096094,49.000000,0.000000,4295.256348,4235.384766,4294.487305,4203.717773,4264.358887,4234.102539,4251.410156,4260.256348,4217.307617,4241.282227,4404.358887,4446.666504,4363.205078,4206.922852,0.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504747.103712,1703504747.104002,50.000000,0.000000,4292.051270,4235.384766,4294.743652,4193.461426,4266.153809,4231.025879,4248.589844,4259.743652,4217.436035,4233.205078,4395.128418,4446.410156,4352.820313,4199.487305,0.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504747.111520,1703504747.111810,51.000000,0.000000,4289.615234,4231.922852,4290.128418,4185.769043,4261.410156,4231.153809,4247.820313,4260.512695,4215.256348,4235.256348,4386.025879,4442.307617,4345.384766,4196.794922,0.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504747.119328,1703504747.119718,52.000000,0.000000,4291.410156,4236.153809,4295.256348,4201.922852,4264.871582,4234.230957,4257.436035,4263.333496,4222.179688,4247.820313,4386.282227,4447.563965,4354.615234,4203.205078,0.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,13.000000,0.000000,0.611843,-0.534851,-0.521118,-0.260803,0.890734,-0.385789,-0.117690,-4.458898,-44.475880,55.425934
1703504747.127136,1703504747.127526,53.000000,0.000000,4301.282227,4250.641113,4306.538574,4221.538574,4277.820313,4242.179688,4265.128418,4269.871582,4236.794922,4248.846191,4397.179688,4464.102539,4367.820313,4219.102539,0.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504747.134944,1703504747.135434,54.000000,0.000000,4316.666504,4263.077148,4314.102539,4238.717773,4285.641113,4256.666504,4271.538574,4277.563965,4246.666504,4254.743652,4405.384766,4479.230957,4375.769043,4233.205078,0.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504747.142752,1703504747.143242,55.000000,0.000000,4320.128418,4269.358887,4315.512695,4253.589844,4290.128418,4265.769043,4279.743652,4279.358887,4251.153809,4271.538574,4405.000000,4479.487305,4379.358887,4231.666504,0.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504747.150560,1703504747.151150,56.000000,0.000000,4320.769043,4272.563965,4316.794922,4262.051270,4297.948730,4267.692383,4284.743652,4279.743652,4259.358887,4274.487305,4411.922852,4478.333496,4386.922852,4232.179688,0.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,14.000000,0.000000,0.611733,-0.535095,-0.520752,-0.261292,0.929313,-0.380906,-0.139177,-4.579675,-44.461628,55.416672
1703504747.158368,1703504747.158958,57.000000,0.000000,4324.102539,4270.641113,4322.563965,4262.436035,4300.769043,4273.205078,4285.128418,4282.692383,4258.461426,4266.922852,4418.461426,4482.179688,4382.820313,4237.307617,0.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504747.166176,1703504747.166666,58.000000,0.000000,4317.948730,4266.153809,4318.077148,4251.410156,4291.025879,4274.102539,4283.717773,4277.307617,4249.358887,4260.769043,4413.461426,4473.846191,4364.615234,4232.692383,0.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504747.173984,1703504747.174474,59.000000,0.000000,4308.974121,4264.358887,4309.615234,4238.589844,4281.794922,4259.358887,4277.436035,4266.025879,4243.077148,4253.974121,4408.077148,4461.282227,4354.102539,4226.794922,0.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504747.181793,1703504747.182182,60.000000,0.000000,4304.487305,4257.692383,4304.871582,4231.922852,4280.641113,4247.307617,4266.282227,4259.102539,4234.871582,4246.666504,4403.461426,4453.846191,4352.563965,4223.974121,0.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,15.000000,0.000000,0.611592,-0.535522,-0.520203,-0.261841,0.900501,-0.382859,-0.120620,-4.638374,-44.615463,55.241673
1703504747.189601,1703504747.189990,61.000000,0.000000,4296.538574,4249.743652,4300.512695,4223.589844,4280.000000,4248.717773,4260.128418,4257.051270,4232.436035,4244.230957,4400.512695,4447.820313,4349.487305,4218.461426,0.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
