title:مريان اطفاء, start timestamp:1703413746.744252, stop timestamp:1703413757.495940, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1378      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703413746.744252,1703413746.744720,87.000000,0.000000,4271.922852,4247.948730,4288.974121,4268.461426,4228.974121,4229.102539,4258.333496,4244.871582,4213.077148,4215.641113,4540.769043,4469.230957,4385.512695,4461.153809,6075.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413746.752061,1703413746.752428,88.000000,0.000000,4267.307617,4228.205078,4289.230957,4260.641113,4219.871582,4225.512695,4255.256348,4236.538574,4199.743652,4210.897461,4531.153809,4462.820313,4366.538574,4456.153809,6548.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,22.000000,0.000000,0.370723,0.620483,-0.251953,0.643494,1.003052,0.152851,0.103528,-19.287210,-32.936039,66.036331
1703413746.759869,1703413746.760236,89.000000,0.000000,4264.487305,4213.717773,4288.333496,4275.897461,4223.205078,4230.641113,4262.692383,4226.922852,4195.000000,4190.128418,4527.307617,4461.153809,4364.615234,4458.717773,6524.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413746.767676,1703413746.767944,90.000000,0.000000,4264.230957,4211.922852,4289.358887,4265.256348,4230.897461,4232.948730,4267.436035,4232.692383,4202.051270,4171.025879,4525.641113,4455.000000,4374.615234,4445.897461,5880.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413746.775485,1703413746.775852,91.000000,0.000000,4263.461426,4211.282227,4292.820313,4253.717773,4228.717773,4228.717773,4262.948730,4248.077148,4212.563965,4182.179688,4532.436035,4457.692383,4379.358887,4441.666504,6075.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413746.783293,1703413746.783660,92.000000,0.000000,4265.769043,4222.948730,4293.589844,4275.897461,4235.000000,4230.769043,4263.077148,4260.512695,4222.948730,4208.333496,4542.307617,4472.307617,4377.820313,4456.794922,6548.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,23.000000,0.000000,0.370830,0.620422,-0.252258,0.643372,0.974240,0.152851,0.104017,-19.291822,-32.875771,65.982697
1703413746.791101,1703413746.791568,93.000000,0.000000,4275.256348,4247.820313,4297.563965,4281.410156,4245.128418,4236.794922,4270.000000,4266.410156,4229.102539,4221.538574,4557.307617,4485.000000,4395.000000,4473.333496,6524.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413746.798909,1703413746.799376,94.000000,0.000000,4288.461426,4245.897461,4310.769043,4264.743652,4238.846191,4234.230957,4268.974121,4263.974121,4228.077148,4225.897461,4579.615234,4500.000000,4405.384766,4489.743652,5880.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413746.806717,1703413746.807284,95.000000,0.000000,4295.897461,4236.025879,4317.563965,4288.077148,4235.769043,4228.974121,4262.563965,4253.333496,4223.333496,4238.846191,4581.538574,4513.077148,4410.512695,4507.307617,6075.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413746.814525,1703413746.815092,96.000000,0.000000,4302.820313,4263.717773,4318.205078,4323.717773,4246.410156,4231.025879,4260.641113,4245.128418,4220.128418,4242.692383,4576.666504,4510.512695,4445.769043,4516.025879,6548.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,24.000000,0.000000,0.370599,0.620422,-0.252441,0.643433,0.976682,0.150409,0.099133,-19.362640,-32.721527,66.001091
