title:اسيد اطفاء, start timestamp:1703502212.027286, stop timestamp:1703502222.716516, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1370      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703502212.027286,1703502212.027737,16.000000,0.000000,4283.846191,4263.846191,4314.230957,4309.102539,4245.769043,4239.743652,4261.922852,4264.615234,4248.205078,4209.487305,4524.615234,4481.666504,4338.461426,4432.436035,0.000000,3.000000,66.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,4.000000,0.000000,0.707624,-0.244995,-0.653442,-0.110718,0.974240,-0.206080,0.017092,-11.906437,-42.429028,60.519932
1703502212.035094,1703502212.035445,17.000000,0.000000,4286.410156,4267.820313,4316.666504,4314.102539,4250.256348,4247.436035,4265.641113,4265.384766,4249.230957,4213.333496,4527.692383,4484.230957,4339.615234,4434.871582,0.000000,3.000000,66.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703502212.042902,1703502212.043253,18.000000,0.000000,4282.563965,4268.589844,4314.102539,4312.692383,4258.461426,4249.358887,4269.102539,4266.153809,4249.358887,4211.922852,4528.205078,4483.974121,4337.563965,4432.436035,0.000000,3.000000,66.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703502212.050710,1703502212.050961,19.000000,0.000000,4277.179688,4263.077148,4310.769043,4311.025879,4258.077148,4246.282227,4266.794922,4263.589844,4248.974121,4211.794922,4520.769043,4480.128418,4337.563965,4427.436035,0.000000,3.000000,66.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703502212.058518,1703502212.058869,20.000000,0.000000,4276.794922,4263.205078,4308.589844,4311.666504,4250.897461,4244.358887,4264.615234,4263.846191,4248.846191,4216.282227,4520.641113,4473.717773,4337.179688,4426.025879,0.000000,3.000000,66.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,5.000000,0.000000,0.707680,-0.244751,-0.653442,-0.110901,0.963008,-0.202661,0.032230,-12.015794,-42.419456,60.584606
1703502212.066326,1703502212.066677,21.000000,0.000000,4275.128418,4263.461426,4308.589844,4312.179688,4248.717773,4245.000000,4265.641113,4262.563965,4246.153809,4212.051270,4518.461426,4470.256348,4330.128418,4424.871582,0.000000,3.000000,66.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703502212.074134,1703502212.074585,22.000000,0.000000,4270.000000,4253.846191,4308.717773,4311.922852,4251.025879,4246.282227,4263.974121,4253.974121,4243.205078,4201.282227,4507.948730,4469.615234,4324.487305,4419.615234,0.000000,3.000000,66.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703502212.081942,1703502212.082393,23.000000,0.000000,4271.282227,4252.820313,4306.922852,4316.025879,4251.153809,4245.897461,4262.692383,4247.820313,4243.589844,4203.333496,4508.846191,4468.205078,4328.974121,4418.077148,0.000000,3.000000,66.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703502212.089750,1703502212.090302,24.000000,0.000000,4277.179688,4263.077148,4309.102539,4317.948730,4250.000000,4243.333496,4265.128418,4255.897461,4246.794922,4212.692383,4519.487305,4472.179688,4336.025879,4425.384766,0.000000,3.000000,66.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,6.000000,0.000000,0.707635,-0.244690,-0.653503,-0.110962,0.975705,-0.201685,0.027835,-12.047547,-42.544178,60.542812
1703502212.097558,1703502212.098110,25.000000,0.000000,4278.461426,4265.000000,4313.205078,4315.897461,4250.128418,4246.410156,4265.641113,4263.333496,4249.358887,4218.846191,4523.846191,4478.333496,4339.743652,4431.538574,0.000000,3.000000,66.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
