title:ملاح اطفاء, start timestamp:1703495900.401510, stop timestamp:1703495911.215657, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1386      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703495900.401510,1703495900.402122,118.000000,0.000000,4224.615234,4220.384766,4295.128418,4209.615234,4181.922852,4220.128418,4256.666504,4211.410156,4215.384766,4178.589844,4535.384766,4436.666504,4373.717773,4441.666504,5945.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495900.409318,1703495900.409830,119.000000,0.000000,4204.743652,4213.589844,4284.871582,4171.794922,4183.589844,4226.538574,4262.692383,4200.384766,4215.256348,4169.358887,4514.487305,4420.128418,4356.538574,4406.538574,6197.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495900.417126,1703495900.417738,120.000000,0.000000,4201.282227,4222.307617,4278.846191,4158.589844,4190.384766,4234.358887,4265.769043,4190.128418,4218.589844,4156.153809,4504.102539,4409.230957,4351.282227,4395.641113,6643.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,30.000000,0.000000,0.675474,0.249756,-0.663696,0.202148,0.990844,0.077158,0.000000,-17.463095,-38.795879,64.826065
1703495900.424934,1703495900.425546,121.000000,0.000000,4226.922852,4246.922852,4281.794922,4171.922852,4191.025879,4236.282227,4268.589844,4186.922852,4222.307617,4154.743652,4506.922852,4408.717773,4356.538574,4417.820313,6217.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495900.432742,1703495900.433454,122.000000,0.000000,4233.974121,4250.384766,4283.974121,4168.589844,4183.461426,4219.487305,4265.769043,4187.563965,4212.051270,4156.410156,4511.794922,4413.205078,4359.102539,4425.128418,5945.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495900.440550,1703495900.441262,123.000000,0.000000,4206.282227,4233.077148,4273.333496,4144.487305,4179.743652,4200.000000,4260.256348,4180.641113,4197.436035,4146.794922,4511.410156,4407.948730,4353.717773,4411.410156,6197.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495900.448358,1703495900.449170,124.000000,0.000000,4190.769043,4228.589844,4269.871582,4135.512695,4185.641113,4198.589844,4258.717773,4168.461426,4191.666504,4141.538574,4509.615234,4402.307617,4347.948730,4405.769043,6643.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,31.000000,0.000000,0.675515,0.249695,-0.663696,0.202087,0.989867,0.069833,-0.000977,-17.333452,-38.682961,64.793457
1703495900.456167,1703495900.456978,125.000000,0.000000,4204.230957,4233.717773,4277.307617,4140.512695,4181.794922,4198.077148,4256.153809,4166.025879,4189.358887,4138.846191,4505.769043,4404.487305,4345.512695,4403.589844,6217.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495900.463975,1703495900.464886,126.000000,0.000000,4216.153809,4233.205078,4285.384766,4141.794922,4168.974121,4188.205078,4251.282227,4172.820313,4182.307617,4133.077148,4506.922852,4412.436035,4345.000000,4405.128418,5945.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495900.471783,1703495900.472693,127.000000,0.000000,4225.769043,4239.230957,4295.641113,4145.641113,4173.205078,4184.871582,4251.538574,4177.948730,4182.436035,4148.333496,4525.512695,4427.179688,4354.487305,4425.384766,75.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
