title:منى اطفاء, start timestamp:1703411505.646363, stop timestamp:1703411516.405855, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1379      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703411505.646363,1703411505.647085,121.000000,0.000000,4165.256348,4165.512695,4258.205078,4234.487305,4182.820313,4168.205078,4210.769043,4173.717773,4167.563965,4121.922852,4542.051270,4417.948730,4316.794922,4457.948730,6953.000000,3.000000,64.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411505.654171,1703411505.654993,122.000000,0.000000,4170.769043,4163.461426,4259.743652,4234.743652,4189.615234,4171.282227,4208.077148,4167.051270,4167.179688,4121.794922,4526.794922,4414.615234,4298.333496,4449.871582,5951.000000,3.000000,64.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411505.661979,1703411505.662801,123.000000,0.000000,4181.538574,4170.897461,4260.769043,4233.077148,4187.692383,4172.820313,4206.794922,4165.641113,4165.000000,4127.692383,4525.128418,4413.333496,4292.563965,4446.922852,6097.000000,3.000000,64.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411505.669787,1703411505.670709,124.000000,0.000000,4190.384766,4170.897461,4262.948730,4232.948730,4183.589844,4172.948730,4212.820313,4169.743652,4171.410156,4111.666504,4522.307617,4415.000000,4292.692383,4445.641113,6603.000000,3.000000,64.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,31.000000,0.000000,0.705143,0.155396,-0.649475,0.238342,0.975217,-0.087901,0.106458,-14.996132,-41.865917,67.659470
1703411505.677596,1703411505.678517,125.000000,0.000000,4179.358887,4163.846191,4267.179688,4230.000000,4183.846191,4174.743652,4216.282227,4167.563965,4164.102539,4107.179688,4519.102539,4415.000000,4291.538574,4444.102539,6953.000000,3.000000,64.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411505.685403,1703411505.686425,126.000000,0.000000,4150.769043,4167.948730,4270.897461,4229.743652,4186.410156,4174.230957,4212.179688,4168.461426,4151.922852,4141.922852,4537.563965,4424.487305,4302.948730,4445.512695,5951.000000,3.000000,64.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411505.693211,1703411505.694233,127.000000,0.000000,4154.358887,4168.717773,4264.743652,4224.871582,4186.794922,4173.717773,4212.051270,4179.102539,4166.410156,4173.846191,4559.743652,4432.307617,4317.307617,4448.717773,64.000000,3.000000,64.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411505.701020,1703411505.702141,0.000000,0.000000,4187.692383,4149.743652,4248.846191,4208.077148,4180.769043,4179.615234,4216.410156,4182.179688,4178.974121,4156.666504,4555.128418,4416.153809,4308.205078,4456.922852,5073.000000,3.000000,64.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,0.705155,0.154968,-0.649475,0.238586,0.985472,-0.081553,0.101087,-15.129852,-41.879326,67.493523
1703411505.708828,1703411505.709949,1.000000,0.000000,4191.538574,4139.487305,4249.615234,4203.846191,4177.820313,4181.282227,4217.563965,4177.179688,4168.461426,4147.948730,4554.487305,4410.769043,4309.230957,4470.512695,5464.000000,3.000000,64.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411505.716636,1703411505.717857,2.000000,0.000000,4178.974121,4149.358887,4269.358887,4217.948730,4182.307617,4175.512695,4214.871582,4181.538574,4170.384766,4173.717773,4582.436035,4436.922852,4341.282227,4480.641113,5349.000000,3.000000,64.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
