title:نوار اطفاء, start timestamp:1703161698.932038, stop timestamp:1703161709.777422, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1390      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703161698.932038,1703161698.932678,89.000000,0.000000,4215.256348,4147.563965,4268.205078,4224.487305,4141.153809,4123.205078,4106.025879,4136.666504,4134.358887,4156.794922,4633.077148,4442.692383,4399.230957,4535.512695,6798.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161698.939846,1703161698.940386,90.000000,0.000000,4217.179688,4156.666504,4270.128418,4232.179688,4143.333496,4126.410156,4106.153809,4138.846191,4130.769043,4153.717773,4635.897461,4448.333496,4408.077148,4539.743652,5806.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161698.947654,1703161698.948194,91.000000,0.000000,4214.871582,4149.487305,4265.384766,4225.641113,4145.769043,4127.179688,4106.410156,4138.461426,4135.769043,4152.948730,4633.846191,4447.692383,4398.846191,4532.051270,6152.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161698.955463,1703161698.955902,92.000000,0.000000,4212.820313,4142.051270,4263.333496,4214.230957,4142.563965,4126.282227,4106.025879,4138.333496,4139.743652,4155.000000,4637.051270,4446.410156,4400.897461,4531.538574,6569.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,23.000000,0.000000,0.620779,-0.340454,-0.555420,-0.436157,0.967403,0.122085,0.136247,-17.621410,-30.300066,64.557579
1703161698.963271,1703161698.963710,93.000000,0.000000,4214.871582,4149.358887,4268.077148,4218.589844,4139.230957,4127.563965,4105.897461,4140.128418,4135.128418,4156.025879,4637.563965,4449.358887,4407.307617,4538.461426,6798.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161698.971079,1703161698.971418,94.000000,0.000000,4207.563965,4145.128418,4265.128418,4220.384766,4138.333496,4126.153809,4105.897461,4139.487305,4126.025879,4149.615234,4629.743652,4446.153809,4394.615234,4529.615234,5806.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161698.978887,1703161698.979226,95.000000,0.000000,4204.230957,4135.641113,4263.205078,4215.000000,4138.974121,4118.461426,4105.897461,4138.205078,4122.307617,4143.333496,4631.153809,4443.589844,4387.563965,4524.487305,6152.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161698.986695,1703161698.986934,96.000000,0.000000,4211.922852,4139.102539,4267.820313,4216.282227,4135.641113,4108.589844,4106.153809,4140.512695,4123.717773,4142.563965,4642.820313,4446.410156,4398.461426,4533.205078,6569.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,24.000000,0.000000,0.620674,-0.340454,-0.555298,-0.436462,0.983030,0.123062,0.133317,-17.492603,-30.253393,64.451820
1703161698.994503,1703161698.994742,97.000000,0.000000,4216.282227,4142.179688,4269.358887,4223.974121,4131.922852,4106.025879,4105.769043,4136.794922,4117.179688,4135.000000,4637.692383,4445.897461,4394.871582,4531.666504,6798.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161699.002311,1703161699.002451,98.000000,0.000000,4214.102539,4141.794922,4271.538574,4231.538574,4134.743652,4108.717773,4107.692383,4125.384766,4103.717773,4121.025879,4615.384766,4442.307617,4372.307617,4519.487305,5806.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
