title:الما اطفاء, start timestamp:1703404878.714190, stop timestamp:1703404889.559573, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1390      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703404878.714190,1703404878.714937,106.000000,0.000000,4200.256348,4150.897461,4276.282227,4241.922852,4173.461426,4122.820313,4216.538574,4133.077148,4125.769043,4146.153809,4598.077148,4450.769043,4367.179688,4505.769043,5933.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404878.721998,1703404878.722645,107.000000,0.000000,4202.051270,4152.436035,4274.871582,4236.666504,4170.897461,4125.512695,4217.563965,4137.820313,4116.025879,4144.743652,4599.871582,4451.538574,4365.384766,4507.436035,6172.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404878.729806,1703404878.730453,108.000000,0.000000,4204.487305,4160.000000,4283.333496,4237.436035,4167.563965,4125.256348,4215.897461,4139.102539,4110.512695,4146.794922,4593.974121,4457.563965,4362.051270,4512.051270,6611.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,27.000000,0.000000,0.659530,0.200439,-0.695740,0.201965,0.996215,-0.034184,-0.047857,-14.204167,-37.635441,61.896061
1703404878.737614,1703404878.738161,109.000000,0.000000,4215.769043,4171.025879,4292.692383,4237.948730,4173.717773,4125.769043,4215.128418,4151.282227,4126.794922,4156.666504,4608.974121,4472.692383,4378.077148,4526.538574,6553.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404878.745422,1703404878.746069,110.000000,0.000000,4217.563965,4168.589844,4286.282227,4235.128418,4172.692383,4129.358887,4215.256348,4160.256348,4142.307617,4156.282227,4617.179688,4469.102539,4384.743652,4526.922852,5933.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404878.753230,1703404878.753877,111.000000,0.000000,4200.000000,4155.128418,4272.179688,4228.333496,4169.871582,4129.358887,4215.641113,4149.871582,4142.051270,4138.717773,4604.230957,4449.358887,4372.692383,4506.922852,6172.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404878.761038,1703404878.761785,112.000000,0.000000,4195.000000,4150.897461,4273.589844,4218.333496,4167.051270,4128.077148,4215.512695,4139.615234,4139.743652,4136.153809,4595.897461,4448.077148,4374.230957,4501.922852,6611.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,28.000000,0.000000,0.659503,0.200256,-0.695801,0.202026,0.991332,-0.028812,-0.048834,-14.183751,-37.588562,61.873123
1703404878.768846,1703404878.769593,113.000000,0.000000,4211.410156,4160.384766,4285.000000,4220.128418,4167.307617,4127.563965,4217.820313,4142.692383,4138.974121,4148.333496,4611.025879,4460.256348,4385.384766,4521.153809,6553.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404878.776654,1703404878.777501,114.000000,0.000000,4213.461426,4167.820313,4284.487305,4227.307617,4175.128418,4126.282227,4217.436035,4145.769043,4129.615234,4141.538574,4622.051270,4460.128418,4377.563965,4524.487305,5933.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404878.784463,1703404878.785309,115.000000,0.000000,4195.641113,4154.358887,4269.871582,4212.820313,4156.282227,4118.205078,4209.230957,4138.333496,4113.461426,4128.589844,4598.974121,4446.410156,4357.436035,4498.461426,6172.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
