title:جمعة اطفاء, start timestamp:1703163525.947080, stop timestamp:1703163536.776833, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1388      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703163525.947080,1703163525.947765,57.000000,0.000000,4142.051270,4101.282227,4247.179688,4195.641113,4111.282227,4107.307617,4191.794922,4136.025879,4103.717773,4097.051270,4609.102539,4436.025879,4345.769043,4392.307617,0.000000,3.000000,73.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163525.954888,1703163525.955473,58.000000,0.000000,4155.256348,4106.282227,4247.692383,4214.743652,4113.205078,4108.461426,4191.538574,4132.692383,4095.512939,4109.358887,4635.000000,4428.846191,4358.717773,4436.282227,0.000000,3.000000,73.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163525.962696,1703163525.963281,59.000000,0.000000,4149.487305,4107.179688,4255.769043,4226.025879,4111.538574,4109.871582,4196.025879,4138.589844,4096.153809,4110.000000,4636.025879,4433.717773,4363.846191,4422.179688,0.000000,3.000000,73.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163525.970504,1703163525.970989,60.000000,0.000000,4148.333496,4114.102539,4262.179688,4225.769043,4106.025879,4105.897461,4188.717773,4134.487305,4102.820313,4101.666504,4631.282227,4439.615234,4367.051270,4398.974121,0.000000,3.000000,73.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,15.000000,0.000000,0.697780,0.041138,-0.686768,0.199402,0.963497,-0.204126,0.056648,-11.499018,-44.080574,64.835289
1703163525.978312,1703163525.978797,61.000000,0.000000,4166.922852,4129.358887,4263.333496,4224.615234,4114.487305,4105.128418,4183.974121,4123.589844,4101.922852,4120.641113,4633.205078,4431.666504,4369.102539,4420.128418,0.000000,3.000000,73.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163525.986120,1703163525.986505,62.000000,0.000000,4167.820313,4141.538574,4263.717773,4228.461426,4124.871582,4108.846191,4188.717773,4126.794922,4106.282227,4139.615234,4634.358887,4430.512695,4373.461426,4428.205078,0.000000,3.000000,73.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163525.993928,1703163525.994313,63.000000,0.000000,4155.000000,4155.769043,4267.051270,4228.205078,4121.666504,4110.769043,4187.948730,4136.282227,4121.282227,4126.282227,4644.102539,4442.436035,4382.436035,4405.256348,0.000000,3.000000,73.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163526.001736,1703163526.002021,64.000000,0.000000,4158.205078,4160.384766,4265.000000,4214.487305,4111.282227,4107.820313,4184.102539,4136.794922,4125.128418,4113.846191,4647.948730,4443.205078,4380.512695,4404.871582,5457.000000,3.000000,73.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,16.000000,0.000000,0.697896,0.041626,-0.686584,0.199524,0.965450,-0.218777,0.057136,-11.449116,-44.039185,64.735092
1703163526.009544,1703163526.009829,65.000000,0.000000,4170.769043,4157.563965,4262.948730,4215.897461,4113.974121,4109.871582,4185.897461,4138.205078,4123.589844,4126.922852,4638.717773,4435.641113,4380.769043,4426.025879,5402.000000,3.000000,73.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163526.017352,1703163526.017537,66.000000,0.000000,4168.846191,4158.974121,4260.512695,4232.563965,4129.871582,4115.128418,4187.563965,4136.153809,4125.897461,4136.666504,4636.666504,4429.615234,4387.820313,4425.512695,5303.000000,3.000000,73.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
