title:حازم اطفاء 2, start timestamp:1703494464.265345, stop timestamp:1703494475.001414, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1376      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703494464.265345,1703494464.265613,64.000000,0.000000,4271.153809,4248.974121,4309.230957,4284.358887,4231.794922,4215.769043,4369.230957,4216.538574,4223.205078,4195.000000,4509.615234,4479.487305,4374.743652,4449.102539,4832.000000,4.000000,79.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,16.000000,0.000000,0.695683,0.075073,-0.670959,0.245361,0.963985,-0.239287,0.082530,-12.630922,-47.403957,66.639191
1703494464.273152,1703494464.273521,65.000000,0.000000,4260.512695,4245.000000,4298.589844,4271.794922,4222.948730,4217.820313,4365.641113,4213.461426,4224.871582,4195.000000,4500.512695,4475.769043,4366.025879,4434.230957,5442.000000,4.000000,79.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494464.280960,1703494464.281329,66.000000,0.000000,4244.871582,4231.410156,4286.922852,4261.794922,4219.743652,4225.000000,4369.230957,4207.436035,4213.846191,4179.615234,4483.589844,4463.461426,4343.205078,4411.410156,5420.000000,4.000000,79.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494464.288769,1703494464.289237,67.000000,0.000000,4247.436035,4232.563965,4287.436035,4266.666504,4229.102539,4235.512695,4382.307617,4212.307617,4217.179688,4175.000000,4490.128418,4464.102539,4346.025879,4419.871582,5422.000000,4.000000,79.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494464.296577,1703494464.297045,68.000000,0.000000,4251.153809,4234.743652,4284.487305,4267.692383,4231.025879,4235.384766,4385.000000,4220.128418,4230.641113,4185.000000,4494.871582,4465.769043,4356.410156,4424.743652,5268.000000,4.000000,79.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,17.000000,0.000000,0.695550,0.074768,-0.671021,0.245667,0.963497,-0.237334,0.083018,-12.517830,-47.380226,66.575272
1703494464.304385,1703494464.304953,69.000000,0.000000,4244.743652,4230.512695,4278.589844,4264.230957,4226.538574,4230.641113,4379.230957,4224.871582,4240.000000,4188.974121,4485.769043,4460.769043,4345.256348,4412.563965,5016.000000,4.000000,79.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494464.312193,1703494464.312761,70.000000,0.000000,4244.230957,4230.128418,4282.436035,4272.436035,4229.743652,4232.948730,4380.384766,4235.769043,4245.128418,4190.641113,4493.333496,4466.282227,4343.974121,4420.256348,4270.000000,4.000000,79.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494464.320001,1703494464.320669,71.000000,0.000000,4251.153809,4231.666504,4289.358887,4279.230957,4236.666504,4236.282227,4382.563965,4248.589844,4249.743652,4200.897461,4508.717773,4476.666504,4359.230957,4436.922852,4896.000000,4.000000,79.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494464.327809,1703494464.328477,72.000000,0.000000,4258.333496,4241.922852,4289.743652,4281.153809,4244.615234,4238.205078,4380.769043,4251.025879,4250.641113,4203.077148,4503.589844,4475.128418,4355.769043,4433.974121,5230.000000,4.000000,79.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,18.000000,0.000000,0.695295,0.074341,-0.671265,0.245850,0.954706,-0.253937,0.085948,-12.482714,-47.408871,66.534409
1703494464.335617,1703494464.336185,73.000000,0.000000,4264.743652,4252.948730,4287.820313,4289.102539,4250.384766,4235.897461,4378.717773,4243.589844,4245.384766,4198.589844,4502.436035,4473.333496,4353.717773,4432.436035,5482.000000,4.000000,79.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
