title:شاهين اطفاء, start timestamp:1703488426.060362, stop timestamp:1703488436.952577, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1396      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703488426.060362,1703488426.061206,73.000000,0.000000,4232.820313,4216.282227,4292.307617,4279.230957,4260.000000,4279.102539,4307.692383,4298.846191,4280.256348,4245.384766,4520.384766,4487.307617,4363.205078,4399.230957,5307.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488426.068170,1703488426.069114,74.000000,0.000000,4230.256348,4218.461426,4288.974121,4279.230957,4264.487305,4281.282227,4305.897461,4290.000000,4279.487305,4254.615234,4514.615234,4477.948730,4364.358887,4398.717773,5836.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488426.075979,1703488426.076922,75.000000,0.000000,4233.589844,4223.205078,4293.205078,4280.897461,4261.282227,4279.871582,4307.179688,4282.820313,4280.128418,4255.128418,4511.282227,4475.512695,4364.615234,4397.436035,6240.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488426.083787,1703488426.084829,76.000000,0.000000,4245.000000,4231.794922,4303.846191,4287.820313,4256.025879,4266.666504,4303.974121,4279.358887,4282.948730,4255.769043,4518.589844,4484.230957,4372.307617,4401.794922,6721.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,19.000000,0.000000,0.682258,-0.127747,-0.698303,0.174866,0.911244,-0.425345,-0.026370,-7.232725,-45.809441,59.485397
1703488426.091595,1703488426.092637,77.000000,0.000000,4253.077148,4241.025879,4311.410156,4295.384766,4258.077148,4259.358887,4303.333496,4283.461426,4292.307617,4271.025879,4531.025879,4496.794922,4382.051270,4416.922852,6905.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488426.099403,1703488426.100545,78.000000,0.000000,4256.538574,4247.179688,4312.436035,4302.307617,4264.358887,4264.871582,4309.102539,4289.230957,4298.717773,4277.307617,4542.948730,4506.922852,4388.846191,4429.871582,5836.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488426.107211,1703488426.108353,79.000000,0.000000,4249.358887,4240.897461,4305.769043,4301.666504,4262.820313,4265.641113,4307.820313,4283.205078,4294.743652,4267.563965,4538.077148,4500.897461,4383.846191,4418.846191,6240.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488426.115019,1703488426.116061,80.000000,0.000000,4233.589844,4226.794922,4292.692383,4291.410156,4250.384766,4260.256348,4301.794922,4270.384766,4279.615234,4253.205078,4514.487305,4481.538574,4364.487305,4397.179688,6721.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,20.000000,0.000000,0.682277,-0.127808,-0.698364,0.174500,0.882920,-0.405811,-0.009767,-7.142786,-45.845165,59.553524
1703488426.122827,1703488426.123969,81.000000,0.000000,4230.128418,4230.256348,4281.794922,4290.256348,4245.769043,4267.051270,4306.025879,4267.948730,4263.205078,4233.333496,4501.666504,4470.897461,4353.077148,4391.282227,6905.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488426.130635,1703488426.131778,82.000000,0.000000,4235.128418,4242.436035,4282.692383,4297.179688,4250.128418,4272.179688,4311.922852,4275.128418,4267.563965,4231.666504,4506.922852,4476.410156,4357.820313,4399.487305,5836.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
