title:aya تشغيل, start timestamp:1702803736.436322, stop timestamp:1702803747.625299, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1434      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1702803736.436322,1702803736.788053,120.000000,0.000000,4175.384766,4151.025879,4281.153809,4253.717773,4149.871582,4117.563965,4241.410156,4134.487305,4123.846191,4145.256348,4650.128418,4446.282227,4400.897461,4526.153809,6696.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,30.000000,0.000000,0.679046,0.172729,-0.692261,0.172729,1.012819,-0.006837,-0.013674,-7.627808,14.797500,94.378487
1702803736.444130,1702803736.795961,121.000000,0.000000,4171.025879,4154.743652,4273.333496,4240.000000,4151.794922,4119.102539,4235.897461,4134.871582,4126.794922,4147.307617,4651.410156,4437.820313,4401.794922,4524.487305,6923.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803736.451938,1702803736.803769,122.000000,0.000000,4176.025879,4156.025879,4278.205078,4243.333496,4148.974121,4121.282227,4234.358887,4135.641113,4126.282227,4149.487305,4654.230957,4438.589844,4408.974121,4527.820313,5788.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803736.459746,1702803736.811477,123.000000,0.000000,4181.282227,4150.256348,4288.846191,4251.282227,4144.743652,4117.436035,4238.717773,4138.077148,4126.410156,4149.871582,4661.794922,4453.589844,4414.871582,4533.974121,5855.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803736.467554,1702803736.819286,124.000000,0.000000,4180.512695,4144.230957,4292.692383,4218.589844,4141.153809,4113.333496,4238.333496,4134.487305,4120.384766,4138.461426,4651.922852,4457.563965,4401.666504,4532.179688,6696.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,31.000000,0.000000,0.678984,0.172729,-0.692322,0.172729,0.995727,-0.014650,-0.013185,-7.715027,14.667749,94.390640
1702803736.475362,1702803736.826994,125.000000,0.000000,4178.461426,4139.743652,4284.102539,4207.563965,4140.128418,4120.128418,4237.563965,4127.307617,4108.589844,4129.230957,4634.615234,4447.563965,4388.205078,4530.641113,6923.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803736.483170,1702803736.834802,126.000000,0.000000,4167.820313,4133.461426,4267.051270,4233.846191,4143.589844,4130.384766,4240.641113,4122.179688,4107.051270,4123.846191,4627.436035,4434.102539,4382.436035,4526.410156,5788.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803736.490978,1702803736.842510,127.000000,0.000000,4156.922852,4130.769043,4266.025879,4234.358887,4143.717773,4135.256348,4241.538574,4125.128418,4117.692383,4116.666504,4625.256348,4431.025879,4378.589844,4517.820313,72.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803736.498786,1702803736.850418,0.000000,0.000000,4157.820313,4128.461426,4272.948730,4214.230957,4137.179688,4130.000000,4237.179688,4127.179688,4118.333496,4114.487305,4627.436035,4434.230957,4378.589844,4515.256348,5218.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,0.000000,0.000000,0.678938,0.172668,-0.692383,0.172729,0.998169,-0.006348,-0.019045,-7.743525,14.800975,94.318245
1702803736.506594,1702803736.858227,1.000000,0.000000,4167.307617,4131.922852,4274.871582,4226.922852,4138.077148,4121.666504,4235.641113,4129.230957,4118.461426,4126.538574,4635.769043,4437.307617,4387.307617,4519.487305,5435.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803736.514403,1702803736.866135,2.000000,0.000000,4174.743652,4149.487305,4281.282227,4251.922852,4144.358887,4120.000000,4238.589844,4142.307617,4131.410156,4139.871582,4644.230957,4443.333496,4398.717773,4519.358887,4749.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803736.522210,1702803736.873943,3.000000,0.000000,4173.846191,4160.384766,4286.282227,4227.307617,4140.769043,4116.538574,4238.077148,4146.794922,4134.615234,4143.205078,4650.000000,4450.641113,4403.974121,4519.358887,5240.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803736.530019,1702803736.881751,4.000000,0.000000,4177.563965,4155.641113,4289.358887,4215.000000,4137.307617,4116.922852,4235.897461,4143.846191,4135.128418,4155.641113,4668.461426,4466.922852,4420.000000,4537.692383,5115.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,1.000000,0.000000,0.679046,0.172485,-0.692322,0.172729,0.999145,-0.010255,-0.027347,-7.835839,14.737544,94.186417
1702803736.537827,1702803736.889459,5.000000,0.000000,4178.974121,4148.589844,4288.205078,4243.589844,4139.230957,4122.051270,4236.922852,4146.794922,4137.179688,4161.410156,4679.615234,4472.820313,4426.282227,4547.692383,5101.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803736.545635,1702803736.897267,6.000000,0.000000,4171.666504,4146.282227,4282.051270,4251.922852,4141.025879,4121.025879,4238.461426,4145.128418,4127.563965,4145.512695,4660.897461,4458.589844,4409.487305,4534.358887,1202.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803736.553443,1702803736.904975,7.000000,0.000000,4169.230957,4144.615234,4281.666504,4231.666504,4138.589844,4120.769043,4239.615234,4136.666504,4121.666504,4137.179688,4649.230957,4447.820313,4399.615234,4522.948730,4919.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803736.561251,1702803736.912883,8.000000,0.000000,4163.077148,4136.922852,4277.179688,4226.282227,4136.410156,4122.563965,4238.589844,4128.461426,4124.102539,4138.205078,4636.410156,4438.205078,4394.615234,4513.461426,5153.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,2.000000,0.000000,0.679015,0.172546,-0.692322,0.172791,0.988890,-0.003418,-0.021487,-7.902255,14.747123,94.267776
