title:شويكي تشغيل, start timestamp:1703501034.345363, stop timestamp:1703501045.549917, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1436      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703501034.345363,1703501034.345711,54.000000,0.000000,4279.358887,4306.282227,4312.692383,4303.333496,4264.615234,4251.666504,4298.589844,4260.000000,4241.282227,4267.563965,4445.512695,4278.589844,4397.179688,4581.153809,0.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703501034.353171,1703501034.353419,55.000000,0.000000,4274.230957,4302.563965,4311.666504,4301.025879,4263.846191,4248.717773,4294.358887,4252.692383,4234.615234,4261.666504,4442.307617,4275.128418,4389.743652,4561.922852,0.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703501034.360979,1703501034.361227,56.000000,0.000000,4272.692383,4298.077148,4312.307617,4298.461426,4264.230957,4250.769043,4290.128418,4248.461426,4230.256348,4249.358887,4444.358887,4279.743652,4382.563965,4553.333496,0.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,14.000000,0.000000,0.655370,0.211182,-0.661194,0.297852,0.978635,-0.113295,0.038091,-12.558270,-35.786407,61.253914
1703501034.368787,1703501034.368935,57.000000,0.000000,4275.512695,4297.179688,4309.102539,4303.589844,4262.948730,4250.128418,4291.922852,4248.846191,4234.871582,4250.128418,4443.974121,4278.205078,4381.410156,4556.794922,0.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703501034.376595,1703501034.376743,58.000000,0.000000,4270.000000,4297.051270,4308.974121,4302.948730,4260.384766,4254.102539,4294.615234,4249.743652,4246.282227,4261.538574,4439.358887,4267.692383,4385.128418,4553.077148,0.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703501034.384403,1703501034.384451,59.000000,0.000000,4261.922852,4293.589844,4309.230957,4293.974121,4263.846191,4259.487305,4292.563965,4249.487305,4250.384766,4266.282227,4434.615234,4262.820313,4382.948730,4544.230957,0.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703501034.392212,1703501034.392259,60.000000,0.000000,4261.025879,4290.384766,4298.846191,4290.897461,4267.051270,4259.487305,4291.282227,4254.230957,4246.025879,4264.487305,4431.025879,4262.820313,4378.846191,4540.769043,0.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,15.000000,0.000000,0.655243,0.211060,-0.661194,0.298218,0.989867,-0.110853,0.034184,-12.669110,-35.824436,61.178520
1703501034.400020,1703501034.399967,61.000000,0.000000,4262.692383,4291.666504,4291.410156,4296.153809,4265.384766,4260.897461,4293.974121,4262.948730,4246.794922,4260.000000,4434.358887,4266.538574,4382.820313,4541.025879,0.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703501034.407828,1703501034.407875,62.000000,0.000000,4263.717773,4293.077148,4303.077148,4302.051270,4269.358887,4263.589844,4297.179688,4265.769043,4250.256348,4255.256348,4442.820313,4276.153809,4386.794922,4540.256348,0.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703501034.415636,1703501034.415683,63.000000,0.000000,4268.846191,4292.948730,4314.487305,4309.230957,4274.102539,4263.333496,4297.051270,4263.974121,4251.282227,4265.000000,4446.794922,4276.025879,4388.461426,4540.641113,0.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
