title:عمار تشغيل, start timestamp:1703503717.880479, stop timestamp:1703503728.616552, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1376      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703503717.880479,1703503717.881140,85.000000,0.000000,4293.333496,4281.025879,4339.743652,4346.922852,4289.487305,4260.256348,4280.000000,4288.717773,4284.871582,4280.384766,4567.307617,4505.256348,4403.846191,4473.077148,7232.000000,3.000000,61.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503717.888287,1703503717.889048,86.000000,0.000000,4300.512695,4287.051270,4348.333496,4352.948730,4285.256348,4264.358887,4279.487305,4282.692383,4281.282227,4281.666504,4568.717773,4509.871582,4405.512695,4479.743652,6055.000000,3.000000,61.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503717.896095,1703503717.896856,87.000000,0.000000,4299.230957,4284.230957,4344.487305,4347.563965,4279.358887,4257.179688,4278.717773,4279.487305,4276.538574,4278.461426,4563.974121,4504.615234,4402.307617,4474.871582,6337.000000,3.000000,61.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503717.903903,1703503717.904764,88.000000,0.000000,4295.256348,4277.563965,4340.897461,4340.512695,4277.948730,4259.102539,4283.717773,4287.307617,4279.487305,4276.025879,4561.025879,4501.922852,4397.820313,4471.282227,6841.000000,3.000000,61.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,22.000000,0.000000,0.466603,0.538025,-0.443848,0.543884,0.994750,0.013674,0.021975,-14.866699,-34.179512,59.719280
1703503717.911711,1703503717.912572,89.000000,0.000000,4293.974121,4278.461426,4341.282227,4341.153809,4281.922852,4264.743652,4287.692383,4298.461426,4289.615234,4284.102539,4567.563965,4507.948730,4401.794922,4474.871582,7232.000000,3.000000,61.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503717.919519,1703503717.920480,90.000000,0.000000,4296.794922,4284.102539,4340.897461,4343.333496,4283.205078,4263.461426,4287.820313,4314.871582,4310.128418,4301.025879,4586.025879,4520.256348,4419.230957,4482.563965,6055.000000,3.000000,61.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503717.927327,1703503717.928288,91.000000,0.000000,4301.794922,4283.846191,4341.410156,4348.589844,4283.205078,4262.179688,4286.922852,4328.589844,4322.307617,4305.256348,4594.743652,4525.000000,4426.538574,4484.743652,6337.000000,3.000000,61.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503717.935135,1703503717.936096,92.000000,0.000000,4302.179688,4280.897461,4336.282227,4352.692383,4289.615234,4262.563965,4282.563965,4317.051270,4309.871582,4296.666504,4579.487305,4513.974121,4413.974121,4477.820313,6841.000000,3.000000,61.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,23.000000,0.000000,0.466543,0.537903,-0.443909,0.544006,1.001587,0.013185,0.032230,-14.830029,-34.211563,59.647350
1703503717.942943,1703503717.943804,93.000000,0.000000,4297.307617,4281.025879,4328.077148,4347.436035,4296.794922,4262.692383,4279.871582,4296.538574,4297.051270,4294.615234,4569.358887,4501.538574,4405.384766,4470.128418,7232.000000,3.000000,61.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503717.950751,1703503717.951612,94.000000,0.000000,4289.743652,4281.282227,4323.974121,4340.897461,4297.179688,4260.641113,4281.410156,4292.307617,4295.128418,4294.102539,4572.436035,4494.102539,4404.487305,4462.948730,6055.000000,3.000000,61.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
