title:منى تشغيل, start timestamp:1703411937.080363, stop timestamp:1703411947.847667, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1380      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703411937.080363,1703411937.081340,80.000000,0.000000,4234.230957,4211.538574,4295.512695,4258.717773,4201.538574,4208.205078,4247.179688,4177.948730,4157.179688,4151.922852,4556.282227,4453.461426,4351.538574,4495.512695,6638.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,20.000000,0.000000,0.735415,-0.062683,-0.674316,0.023071,0.977170,-0.119644,0.090343,-13.704448,-42.771652,66.402885
1703411937.088171,1703411937.089048,81.000000,0.000000,4238.717773,4212.948730,4298.077148,4261.794922,4198.461426,4206.666504,4241.666504,4182.692383,4164.871582,4173.846191,4565.769043,4454.743652,4362.692383,4499.487305,6985.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411937.095979,1703411937.096856,82.000000,0.000000,4238.589844,4212.051270,4298.077148,4253.461426,4197.179688,4210.897461,4240.256348,4171.538574,4144.358887,4160.256348,4565.641113,4446.282227,4363.333496,4502.948730,5978.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411937.103788,1703411937.104564,83.000000,0.000000,4226.153809,4203.846191,4298.461426,4246.025879,4199.487305,4207.051270,4241.794922,4169.487305,4144.743652,4154.358887,4571.410156,4445.384766,4366.922852,4497.051270,6090.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411937.111596,1703411937.112372,84.000000,0.000000,4232.820313,4210.512695,4309.358887,4259.230957,4200.128418,4197.563965,4238.589844,4182.563965,4168.205078,4179.615234,4588.461426,4468.205078,4382.563965,4504.230957,6638.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,21.000000,0.000000,0.735459,-0.062744,-0.674255,0.023315,0.977170,-0.118178,0.081553,-13.667336,-42.661152,66.362595
1703411937.119403,1703411937.120080,85.000000,0.000000,4247.307617,4220.512695,4311.666504,4267.820313,4198.333496,4198.846191,4237.307617,4184.871582,4170.128418,4185.256348,4588.205078,4478.461426,4387.692383,4517.307617,6985.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411937.127212,1703411937.127988,86.000000,0.000000,4248.077148,4217.179688,4305.641113,4263.077148,4198.205078,4205.769043,4241.153809,4181.282227,4169.487305,4192.948730,4587.307617,4471.282227,4384.358887,4522.179688,5978.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411937.135020,1703411937.135796,87.000000,0.000000,4248.205078,4225.641113,4311.538574,4274.615234,4203.077148,4208.333496,4241.538574,4186.025879,4174.102539,4206.794922,4599.230957,4477.307617,4391.410156,4523.974121,6090.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411937.142828,1703411937.143704,88.000000,0.000000,4248.974121,4234.615234,4314.358887,4282.692383,4203.077148,4204.487305,4240.769043,4184.615234,4151.538574,4165.897461,4581.922852,4472.563965,4382.948730,4512.436035,6638.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,22.000000,0.000000,0.735505,-0.062805,-0.674194,0.023438,0.980588,-0.122085,0.090343,-13.667270,-42.761703,66.443001
1703411937.150636,1703411937.151513,89.000000,0.000000,4245.256348,4219.871582,4302.948730,4269.358887,4199.230957,4198.205078,4242.948730,4180.897461,4140.897461,4135.769043,4550.897461,4448.589844,4359.615234,4498.717773,6985.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
