title:يمان تشغيل, start timestamp:1703417408.662260, stop timestamp:1703417419.086009, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1336      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703417408.662260,1703417408.662551,11.000000,0.000000,4329.871582,4296.282227,4361.666504,4329.358887,4282.820313,4278.589844,4269.230957,4287.820313,4300.128418,4277.820313,4629.487305,4533.333496,4472.692383,4582.436035,6304.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417408.670068,1703417408.670259,12.000000,0.000000,4322.948730,4298.717773,4354.487305,4330.000000,4283.589844,4278.333496,4271.282227,4291.282227,4302.436035,4275.897461,4634.358887,4529.743652,4474.102539,4574.487305,6823.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,3.000000,0.000000,0.727047,-0.033508,-0.683167,0.059692,0.974240,-0.146014,0.071298,-13.935699,-47.132519,65.141945
1703417408.677876,1703417408.678067,13.000000,0.000000,4311.666504,4294.358887,4347.307617,4329.871582,4282.307617,4270.256348,4270.769043,4291.282227,4302.948730,4271.153809,4627.436035,4520.641113,4466.666504,4563.846191,7373.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417408.685684,1703417408.685775,14.000000,0.000000,4310.000000,4287.948730,4346.538574,4323.974121,4279.358887,4273.717773,4268.589844,4292.563965,4303.974121,4272.179688,4614.102539,4513.589844,4460.000000,4563.077148,6047.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417408.693492,1703417408.693583,15.000000,0.000000,4313.205078,4286.794922,4349.230957,4320.641113,4283.205078,4283.333496,4273.333496,4301.153809,4312.948730,4280.769043,4616.025879,4517.948730,4460.641113,4568.077148,6304.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417408.701300,1703417408.701291,16.000000,0.000000,4310.384766,4287.051270,4352.179688,4323.077148,4286.410156,4284.487305,4277.692383,4305.384766,4317.179688,4285.000000,4627.948730,4527.051270,4463.077148,4563.205078,0.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,4.000000,0.000000,0.726919,-0.033691,-0.683289,0.059753,0.982053,-0.144061,0.066414,-13.892129,-46.985931,65.211090
1703417408.709108,1703417408.709099,17.000000,0.000000,4316.794922,4293.974121,4366.410156,4332.051270,4292.179688,4289.230957,4277.179688,4306.666504,4319.743652,4292.563965,4641.922852,4540.641113,4476.410156,4569.871582,0.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417408.716916,1703417408.716807,18.000000,0.000000,4327.307617,4300.000000,4376.666504,4336.666504,4298.461426,4293.077148,4279.230957,4306.666504,4320.897461,4304.230957,4643.461426,4546.794922,4480.128418,4586.025879,0.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417408.724724,1703417408.724615,19.000000,0.000000,4328.717773,4296.025879,4372.307617,4334.102539,4293.205078,4287.692383,4280.000000,4300.128418,4312.436035,4297.820313,4630.897461,4542.307617,4468.846191,4585.512695,0.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417408.732532,1703417408.732323,20.000000,0.000000,4334.487305,4296.922852,4375.641113,4337.051270,4293.077148,4288.333496,4279.743652,4302.307617,4311.282227,4287.436035,4634.871582,4551.794922,4476.153809,4590.256348,0.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,5.000000,0.000000,0.726901,-0.033752,-0.683289,0.059937,0.974240,-0.146502,0.062508,-13.869583,-47.120674,65.156647
1703417408.740341,1703417408.740232,21.000000,0.000000,4341.282227,4305.256348,4388.205078,4342.051270,4299.230957,4293.717773,4282.692383,4310.769043,4318.333496,4288.333496,4646.794922,4565.256348,4487.436035,4602.179688,0.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417408.748149,1703417408.748040,22.000000,0.000000,4339.871582,4310.512695,4395.897461,4346.282227,4297.948730,4293.461426,4281.282227,4313.077148,4318.589844,4288.974121,4645.000000,4568.077148,4483.589844,4603.077148,0.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417408.755957,1703417408.755948,23.000000,0.000000,4341.538574,4312.692383,4393.846191,4349.102539,4293.717773,4285.384766,4276.025879,4309.487305,4317.436035,4288.077148,4643.974121,4570.384766,4483.205078,4605.256348,0.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417408.763765,1703417408.763756,24.000000,0.000000,4349.487305,4312.948730,4390.384766,4345.897461,4294.871582,4276.153809,4273.333496,4303.717773,4324.230957,4294.615234,4651.282227,4571.025879,4492.563965,4608.846191,0.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,6.000000,0.000000,0.726771,-0.033875,-0.683411,0.060059,0.981565,-0.146502,0.060066,-13.832624,-46.891937,65.174316
1703417408.771573,1703417408.771664,25.000000,0.000000,4356.153809,4320.512695,4392.820313,4346.538574,4301.410156,4280.128418,4276.666504,4301.794922,4333.717773,4308.461426,4662.563965,4570.384766,4506.282227,4611.153809,0.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417408.779381,1703417408.779472,26.000000,0.000000,4349.871582,4323.717773,4385.512695,4347.436035,4302.051270,4284.743652,4278.717773,4292.692383,4320.897461,4305.897461,4654.871582,4556.282227,4502.692383,4600.384766,0.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
