title:حلاق تشغيل, start timestamp:1703153794.828356, stop timestamp:1703153805.580036, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1378      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703153794.828356,1703153794.829474,35.000000,0.000000,4265.641113,4273.205078,4322.179688,4323.846191,4260.000000,4253.077148,4318.077148,4263.461426,4267.948730,4245.512695,4612.307617,4521.666504,4429.102539,4505.512695,0.000000,4.000000,87.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153794.836165,1703153794.837182,36.000000,0.000000,4264.487305,4268.717773,4328.846191,4324.487305,4264.615234,4250.897461,4323.077148,4256.666504,4261.538574,4233.717773,4600.128418,4521.666504,4419.230957,4497.179688,0.000000,4.000000,87.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,9.000000,0.000000,0.660757,0.379150,-0.561707,0.322693,0.979612,0.136735,0.086436,-16.776272,-29.130322,64.715004
1703153794.843973,1703153794.844990,37.000000,0.000000,4278.974121,4277.051270,4334.358887,4328.333496,4264.358887,4250.128418,4317.948730,4255.897461,4261.025879,4235.512695,4594.230957,4520.256348,4412.307617,4503.333496,0.000000,4.000000,87.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153794.851781,1703153794.852698,38.000000,0.000000,4281.410156,4285.128418,4334.615234,4329.358887,4260.641113,4250.384766,4316.153809,4262.051270,4265.000000,4249.102539,4605.000000,4522.563965,4426.282227,4511.666504,0.000000,4.000000,87.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,1.000000,66.666664,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,
1703153794.859589,1703153794.860506,39.000000,0.000000,4277.436035,4281.410156,4331.538574,4327.307617,4256.922852,4249.230957,4318.846191,4261.922852,4262.179688,4243.077148,4608.333496,4524.743652,4432.692383,4512.948730,0.000000,4.000000,87.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153794.867397,1703153794.868214,40.000000,0.000000,4283.333496,4278.333496,4330.769043,4325.769043,4259.487305,4247.436035,4319.871582,4259.487305,4264.358887,4228.974121,4601.025879,4523.205078,4427.051270,4516.922852,0.000000,4.000000,87.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,10.000000,0.000000,0.660875,0.379333,-0.561584,0.322449,0.974240,0.141131,0.085948,-16.615313,-29.150623,64.660172
1703153794.875205,1703153794.876022,41.000000,0.000000,4289.871582,4280.384766,4335.897461,4326.410156,4263.205078,4246.922852,4321.282227,4255.000000,4265.000000,4227.948730,4591.282227,4518.333496,4420.897461,4513.589844,0.000000,4.000000,87.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153794.883013,1703153794.883730,42.000000,0.000000,4288.461426,4281.666504,4333.077148,4327.948730,4258.077148,4247.563965,4319.358887,4250.512695,4259.743652,4233.333496,4591.922852,4518.333496,4423.205078,4506.666504,0.000000,4.000000,87.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153794.890821,1703153794.891538,43.000000,0.000000,4284.615234,4279.615234,4322.692383,4325.769043,4254.743652,4248.333496,4321.538574,4249.102539,4258.846191,4231.282227,4598.461426,4517.307617,4424.615234,4504.743652,0.000000,4.000000,87.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153794.898629,1703153794.899246,44.000000,0.000000,4275.384766,4274.230957,4316.666504,4316.153809,4259.871582,4247.563965,4322.307617,4248.077148,4261.153809,4222.051270,4591.282227,4506.282227,4415.897461,4494.102539,0.000000,4.000000,87.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,11.000000,0.000000,0.660887,0.379456,-0.561523,0.322388,0.971310,0.139665,0.089366,-16.987114,-29.102228,64.627487
