title:حمزة تشغيل, start timestamp:1703409959.839616, stop timestamp:1703409970.599108, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1379      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703409959.839616,1703409959.839937,23.000000,0.000000,4229.487305,4187.563965,4275.897461,4247.436035,4169.743652,4093.718018,4184.358887,4180.384766,4167.051270,4173.717773,4546.794922,4434.871582,4364.102539,4463.974121,0.000000,3.000000,67.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409959.847424,1703409959.847845,24.000000,0.000000,4245.897461,4187.307617,4274.871582,4248.077148,4167.692383,4092.948730,4183.461426,4180.641113,4168.333496,4170.128418,4547.563965,4428.846191,4368.205078,4479.358887,0.000000,3.000000,67.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,6.000000,0.000000,0.549151,0.241150,-0.683044,0.416809,0.938103,-0.305701,-0.050299,-8.777839,-46.824520,59.279678
1703409959.855233,1703409959.855653,25.000000,0.000000,4233.717773,4186.666504,4269.102539,4242.692383,4167.692383,4096.538574,4187.563965,4182.307617,4169.871582,4168.589844,4537.948730,4426.410156,4357.948730,4473.205078,0.000000,3.000000,67.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409959.863041,1703409959.863561,26.000000,0.000000,4231.153809,4186.794922,4270.384766,4241.025879,4168.205078,4105.769043,4185.384766,4185.384766,4169.871582,4171.922852,4537.051270,4429.358887,4350.000000,4459.102539,0.000000,3.000000,67.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409959.870849,1703409959.871369,27.000000,0.000000,4237.948730,4187.179688,4280.128418,4248.589844,4170.384766,4107.179688,4185.769043,4185.512695,4170.256348,4170.512695,4543.205078,4433.077148,4359.615234,4460.512695,0.000000,3.000000,67.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409959.878657,1703409959.879077,28.000000,0.000000,4236.025879,4186.666504,4283.077148,4247.051270,4169.615234,4095.256348,4185.512695,4182.563965,4171.410156,4167.436035,4538.461426,4433.846191,4362.692383,4461.025879,0.000000,3.000000,67.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,7.000000,0.000000,0.549109,0.240967,-0.683105,0.416870,0.939079,-0.301306,-0.044439,-8.850055,-46.958736,59.268375
1703409959.886465,1703409959.886885,29.000000,0.000000,4234.358887,4183.974121,4277.436035,4235.256348,4166.025879,4090.769287,4180.256348,4182.948730,4169.743652,4170.384766,4533.589844,4427.692383,4346.410156,4452.051270,0.000000,3.000000,67.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409959.894273,1703409959.894593,30.000000,0.000000,4239.102539,4184.615234,4277.563965,4237.820313,4167.436035,4100.641113,4179.102539,4182.563965,4166.666504,4168.461426,4539.615234,4424.102539,4338.846191,4460.512695,0.000000,3.000000,67.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409959.902081,1703409959.902401,31.000000,0.000000,4236.538574,4187.436035,4289.102539,4248.461426,4168.077148,4106.666504,4183.589844,4177.948730,4166.282227,4162.051270,4533.333496,4436.794922,4342.436035,4462.436035,0.000000,3.000000,67.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409959.909889,1703409959.910109,32.000000,0.000000,4225.128418,4184.871582,4296.666504,4244.615234,4159.743652,4103.846191,4184.871582,4172.820313,4162.051270,4165.512695,4526.153809,4448.589844,4339.743652,4448.077148,0.000000,3.000000,67.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,8.000000,0.000000,0.549253,0.240601,-0.683044,0.416992,0.931266,-0.288121,-0.047857,-8.815049,-46.929531,59.241539
