title:شويكي جوع, start timestamp:1703500957.350156, stop timestamp:1703500968.297043, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1403      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703500957.350156,1703500957.350646,49.000000,0.000000,4325.384766,4298.846191,4324.615234,4326.282227,4272.436035,4248.717773,4258.717773,4240.128418,4234.743652,4247.051270,4485.641113,4465.769043,4367.820313,4387.563965,0.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500957.357964,1703500957.358354,50.000000,0.000000,4332.179688,4294.487305,4317.692383,4321.410156,4265.512695,4247.436035,4256.282227,4247.051270,4233.589844,4241.922852,4480.512695,4479.358887,4360.128418,4395.769043,0.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500957.365772,1703500957.366162,51.000000,0.000000,4329.743652,4285.128418,4311.410156,4312.692383,4258.205078,4253.846191,4256.538574,4252.692383,4238.846191,4243.974121,4484.487305,4482.436035,4354.487305,4400.641113,0.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500957.373580,1703500957.373870,52.000000,0.000000,4319.615234,4279.743652,4311.282227,4308.589844,4266.025879,4265.769043,4262.051270,4268.461426,4253.846191,4251.410156,4494.358887,4482.179688,4358.974121,4397.179688,0.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,13.000000,0.000000,0.639668,0.226624,-0.660217,0.321838,0.977658,-0.152851,0.024417,-12.554869,-37.620888,60.981541
1703500957.381388,1703500957.381678,53.000000,0.000000,4311.153809,4278.205078,4309.230957,4307.307617,4276.025879,4275.128418,4265.128418,4281.410156,4268.717773,4245.512695,4494.102539,4488.333496,4359.487305,4398.846191,0.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500957.389196,1703500957.389386,54.000000,0.000000,4304.871582,4276.794922,4304.358887,4304.615234,4274.487305,4280.769043,4264.743652,4284.743652,4277.307617,4249.358887,4491.282227,4491.666504,4356.794922,4393.333496,0.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500957.397004,1703500957.397194,55.000000,0.000000,4301.794922,4275.769043,4305.128418,4302.692383,4266.666504,4277.820313,4265.384766,4279.871582,4272.051270,4267.692383,4489.743652,4477.948730,4356.538574,4377.692383,0.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500957.404812,1703500957.404902,56.000000,0.000000,4305.384766,4277.820313,4305.256348,4304.230957,4261.538574,4268.461426,4262.948730,4268.461426,4261.153809,4266.922852,4480.641113,4461.025879,4351.922852,4377.179688,0.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,14.000000,0.000000,0.639511,0.226624,-0.660339,0.321899,0.988402,-0.137224,0.021487,-12.649382,-37.625465,60.966717
1703500957.412620,1703500957.412810,57.000000,0.000000,4312.307617,4283.461426,4304.358887,4307.948730,4265.512695,4266.153809,4260.000000,4261.538574,4262.948730,4256.025879,4473.205078,4464.102539,4349.358887,4387.692383,0.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500957.420429,1703500957.420618,58.000000,0.000000,4320.769043,4290.256348,4312.692383,4313.333496,4271.153809,4269.871582,4263.205078,4264.487305,4267.948730,4262.307617,4479.487305,4480.256348,4358.461426,4395.641113,0.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
