title:عمار جوع, start timestamp:1703503631.039300, stop timestamp:1703503641.790990, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1378      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703503631.039300,1703503631.039684,99.000000,0.000000,4294.487305,4282.948730,4316.666504,4264.743652,4263.589844,4235.256348,4258.846191,4265.000000,4261.025879,4246.410156,4537.820313,4463.717773,4387.051270,4459.615234,6322.000000,3.000000,61.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503631.047108,1703503631.047392,100.000000,0.000000,4290.897461,4282.051270,4312.820313,4262.563965,4263.333496,4232.820313,4261.153809,4262.051270,4265.512695,4246.922852,4531.282227,4460.384766,4385.000000,4452.436035,6848.000000,3.000000,61.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,25.000000,0.000000,0.451692,0.528564,-0.479248,0.535645,0.993774,-0.042486,-0.017092,-13.028873,-36.175228,58.110680
1703503631.054917,1703503631.055200,101.000000,0.000000,4285.256348,4278.333496,4309.743652,4262.436035,4261.666504,4240.641113,4263.717773,4271.538574,4263.717773,4248.717773,4523.205078,4460.769043,4377.563965,4443.974121,7242.000000,3.000000,61.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503631.062724,1703503631.062908,102.000000,0.000000,4279.871582,4276.025879,4308.077148,4259.230957,4264.230957,4247.436035,4265.128418,4279.358887,4258.974121,4240.000000,4522.436035,4457.436035,4367.948730,4439.487305,6055.000000,3.000000,61.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503631.070532,1703503631.070716,103.000000,0.000000,4277.563965,4276.538574,4307.436035,4252.307617,4264.487305,4246.666504,4269.871582,4279.487305,4261.282227,4241.282227,4525.128418,4452.436035,4367.692383,4437.820313,6322.000000,3.000000,61.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503631.078341,1703503631.078424,104.000000,0.000000,4277.179688,4276.410156,4305.512695,4247.948730,4261.922852,4247.179688,4276.153809,4281.538574,4261.538574,4245.128418,4524.487305,4454.743652,4371.538574,4438.974121,6848.000000,3.000000,61.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,26.000000,0.000000,0.451791,0.528320,-0.479492,0.535583,0.987425,-0.041021,-0.019045,-13.059319,-36.174374,58.032944
1703503631.086149,1703503631.086232,105.000000,0.000000,4274.487305,4275.384766,4304.230957,4250.256348,4263.974121,4251.153809,4276.025879,4278.205078,4248.717773,4231.794922,4519.487305,4455.512695,4366.794922,4440.641113,7242.000000,3.000000,61.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503631.093957,1703503631.093940,106.000000,0.000000,4278.974121,4277.563965,4313.333496,4258.974121,4270.769043,4252.179688,4271.282227,4266.538574,4243.846191,4232.692383,4523.846191,4458.589844,4372.692383,4447.820313,6055.000000,3.000000,61.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503631.101765,1703503631.101848,107.000000,0.000000,4290.512695,4280.384766,4324.487305,4267.051270,4271.666504,4252.179688,4271.410156,4265.769043,4255.897461,4250.128418,4537.820313,4473.205078,4391.922852,4461.153809,6322.000000,3.000000,61.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503631.109573,1703503631.109656,108.000000,0.000000,4293.205078,4278.205078,4326.025879,4262.436035,4264.871582,4248.461426,4269.102539,4266.794922,4252.820313,4246.538574,4541.282227,4480.384766,4393.589844,4463.077148,6848.000000,3.000000,61.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,27.000000,0.000000,0.451739,0.528198,-0.479675,0.535583,0.995727,-0.024905,-0.010255,-12.820054,-36.140270,57.746315
