title:فارس جوع, start timestamp:1703504927.063721, stop timestamp:1703504937.838832, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1381      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703504927.063721,1703504927.064279,58.000000,0.000000,4247.948730,4233.974121,4278.077148,4261.025879,4268.333496,4230.512695,4243.589844,4245.641113,4228.333496,4202.179688,4413.077148,4358.974121,4353.461426,4350.384766,0.000000,3.000000,57.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504927.071529,1703504927.072187,59.000000,0.000000,4245.256348,4231.282227,4280.128418,4248.077148,4262.179688,4229.230957,4243.589844,4247.948730,4231.153809,4200.000000,4417.179688,4360.256348,4353.077148,4350.897461,0.000000,3.000000,57.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504927.079337,1703504927.079995,60.000000,0.000000,4246.153809,4230.512695,4281.410156,4245.897461,4261.794922,4231.153809,4243.077148,4247.820313,4232.820313,4194.487305,4411.538574,4362.436035,4347.179688,4346.153809,0.000000,3.000000,57.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,15.000000,0.000000,0.519108,-0.614807,-0.374268,-0.460938,0.959590,-0.285191,-0.046392,-7.485963,-45.182911,59.152206
1703504927.087145,1703504927.087803,61.000000,0.000000,4246.282227,4231.538574,4281.666504,4249.871582,4265.384766,4232.436035,4243.461426,4248.846191,4235.769043,4200.897461,4418.077148,4370.256348,4351.922852,4347.563965,0.000000,3.000000,57.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504927.094953,1703504927.095511,62.000000,0.000000,4248.717773,4233.333496,4283.717773,4247.948730,4264.487305,4227.692383,4242.307617,4251.153809,4238.205078,4211.153809,4430.641113,4375.769043,4363.461426,4357.948730,0.000000,3.000000,57.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504927.102761,1703504927.103419,63.000000,0.000000,4250.897461,4234.230957,4286.666504,4242.563965,4260.769043,4222.307617,4237.051270,4249.230957,4233.846191,4200.769043,4419.358887,4369.487305,4356.538574,4356.153809,0.000000,3.000000,57.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.000000,58.333332,4.000000,4.000000,3.000000,3.000000,1.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,
1703504927.110569,1703504927.111227,64.000000,0.000000,4251.666504,4239.871582,4282.820313,4251.410156,4262.692383,4227.820313,4234.230957,4247.948730,4235.641113,4192.179688,4416.282227,4367.563965,4354.358887,4356.538574,5163.000000,3.000000,57.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,16.000000,0.000000,0.519229,-0.614624,-0.374023,-0.461243,0.942498,-0.283238,-0.042486,-7.537367,-45.247952,59.203651
1703504927.118377,1703504927.119135,65.000000,0.000000,4252.051270,4241.282227,4283.333496,4263.974121,4265.512695,4234.102539,4234.487305,4250.769043,4241.794922,4205.128418,4431.025879,4374.102539,4363.717773,4365.769043,5559.000000,3.000000,57.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504927.126185,1703504927.126943,66.000000,0.000000,4252.948730,4235.769043,4288.461426,4261.666504,4264.487305,4231.794922,4235.128418,4248.333496,4234.871582,4205.769043,4421.282227,4368.461426,4350.512695,4355.897461,5402.000000,3.000000,57.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703504927.133993,1703504927.134851,67.000000,0.000000,4256.025879,4236.922852,4287.436035,4256.538574,4263.589844,4231.153809,4239.230957,4245.256348,4228.846191,4195.000000,4408.717773,4362.563965,4340.256348,4347.436035,5474.000000,3.000000,57.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
